cell_id,Lathrotriccus euleri,Lathrotriccus euleri [flaviventris Group],Lathrotriccus euleri euleri/argentinus
835f58fffffffff,4.0,3.0,0.0
836609fffffffff,1.0,0.0,0.0
83660dfffffffff,4.0,0.0,0.0
8366e0fffffffff,2.0,0.0,0.0
8366e5fffffffff,5.0,0.0,0.0
8366ecfffffffff,4.0,0.0,0.0
836741fffffffff,1.0,0.0,0.0
836742fffffffff,2.0,0.0,0.0
83674cfffffffff,6.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0
838036fffffffff,2.0,0.0,2.0
838136fffffffff,1.0,0.0,1.0
838b61fffffffff,5.0,0.0,0.0
838f46fffffffff,1.0,0.0,0.0
83a918fffffffff,2.0,0.0,0.0
83a919fffffffff,1.0,0.0,0.0
83a92cfffffffff,3.0,0.0,0.0
83a941fffffffff,1.0,0.0,0.0
83a945fffffffff,5.0,0.0,0.0
83a94dfffffffff,2.0,0.0,0.0
83a950fffffffff,6.0,0.0,0.0
83a952fffffffff,1.0,0.0,0.0
83a953fffffffff,2.0,0.0,0.0
83a961fffffffff,43.0,0.0,0.0
83a962fffffffff,9.0,0.0,0.0
83a964fffffffff,2.0,0.0,0.0
83a965fffffffff,13.0,0.0,0.0
83a96cfffffffff,23.0,0.0,0.0
83a96efffffffff,9.0,0.0,0.0
83a971fffffffff,1.0,0.0,0.0
83b243fffffffff,9.0,0.0,0.0
83b24dfffffffff,2.0,0.0,0.0
83b269fffffffff,4.0,0.0,0.0
83b26bfffffffff,5.0,0.0,0.0
83b26dfffffffff,8.0,0.0,0.0
83b270fffffffff,3.0,0.0,0.0
83b272fffffffff,12.0,0.0,0.0
83b342fffffffff,3.0,1.0,0.0
83b344fffffffff,11.0,0.0,0.0
83b34bfffffffff,4.0,0.0,0.0
83b351fffffffff,6.0,0.0,0.0
83b358fffffffff,2.0,0.0,0.0
83b35efffffffff,4.0,0.0,2.0
83c2c5fffffffff,2.0,0.0,0.0
83c2c9fffffffff,2.0,0.0,0.0
83c2ccfffffffff,1.0,0.0,0.0
83c2cdfffffffff,2.0,0.0,0.0
83c2d8fffffffff,1.0,0.0,0.0
83c2e3fffffffff,2.0,0.0,0.0
