cell_id,Spizella breweri,Spizella breweri breweri,Spizella breweri taverneri
8212c7fffffffff,75.0,0.0,29.0
8212cffffffffff,145.0,0.0,18.0
8212d7fffffffff,24.0,0.0,0.0
8212dffffffffff,537.0,0.0,0.0
8212f7fffffffff,9.0,0.0,2.0
822617fffffffff,18.0,0.0,0.0
822687fffffffff,3363.0,0.0,0.0
82268ffffffffff,4022.0,1.0,0.0
822697fffffffff,3519.0,0.0,0.0
82269ffffffffff,3431.0,0.0,0.0
8226a7fffffffff,291.0,0.0,0.0
8226affffffffff,2028.0,2.0,0.0
8226b7fffffffff,1289.0,0.0,0.0
8226d7fffffffff,193.0,0.0,0.0
8226dffffffffff,62.0,0.0,0.0
8226f7fffffffff,437.0,0.0,0.0
822787fffffffff,312.0,0.0,0.0
82278ffffffffff,130.0,0.0,0.0
822797fffffffff,285.0,0.0,0.0
82279ffffffffff,669.0,0.0,0.0
8227affffffffff,4.0,0.0,0.0
8227b7fffffffff,337.0,26.0,0.0
822817fffffffff,1992.0,0.0,0.0
82281ffffffffff,34.0,0.0,0.0
822837fffffffff,382.0,30.0,0.0
822887fffffffff,2416.0,0.0,0.0
82288ffffffffff,2643.0,0.0,0.0
822897fffffffff,1956.0,0.0,0.0
82289ffffffffff,266.0,0.0,0.0
8228a7fffffffff,764.0,0.0,0.0
8228affffffffff,3989.0,0.0,0.0
8228b7fffffffff,2500.0,6.0,0.0
8228d7fffffffff,1021.0,0.0,0.0
8228f7fffffffff,81.0,0.0,0.0
822917fffffffff,10.0,0.0,0.0
822987fffffffff,1851.0,0.0,0.0
82298ffffffffff,4473.0,0.0,0.0
822997fffffffff,996.0,16.0,0.0
82299ffffffffff,1059.0,0.0,0.0
8229a7fffffffff,3131.0,2.0,0.0
8229affffffffff,1433.0,0.0,0.0
8229b7fffffffff,3526.0,15.0,0.0
824807fffffffff,16.0,0.0,0.0
82480ffffffffff,332.0,0.0,0.0
824817fffffffff,73.0,0.0,0.0
82481ffffffffff,36.0,0.0,0.0
824827fffffffff,26.0,0.0,0.0
82482ffffffffff,155.0,0.0,0.0
824837fffffffff,13.0,0.0,0.0
824847fffffffff,98.0,0.0,0.0
82484ffffffffff,11.0,0.0,0.0
824857fffffffff,338.0,0.0,0.0
82485ffffffffff,694.0,2.0,0.0
824877fffffffff,111.0,0.0,0.0
824887fffffffff,75.0,0.0,0.0
82488ffffffffff,930.0,0.0,0.0
824897fffffffff,2.0,0.0,0.0
8248a7fffffffff,113.0,0.0,0.0
8248affffffffff,542.0,0.0,0.0
8248c7fffffffff,4584.0,68.0,0.0
8248cffffffffff,1138.0,8.0,0.0
8248d7fffffffff,1046.0,0.0,0.0
8248dffffffffff,2697.0,0.0,0.0
8248e7fffffffff,198.0,1.0,0.0
8248effffffffff,16951.0,171.0,0.0
8248f7fffffffff,997.0,0.0,0.0
824987fffffffff,25.0,0.0,0.0
82498ffffffffff,25.0,0.0,0.0
8249affffffffff,2.0,0.0,0.0
