cell_id,Patagioenas fasciata,Patagioenas fasciata [fasciata Group],Patagioenas fasciata vioscae,Patagioenas fasciata [albilinea Group]
8412865ffffffff,2.0,0.0,0.0,0.0
84129b7ffffffff,2.0,0.0,0.0,0.0
84129bbffffffff,1.0,1.0,0.0,0.0
84129d9ffffffff,2.0,2.0,0.0,0.0
8412b03ffffffff,3.0,0.0,0.0,0.0
8412c37ffffffff,2.0,0.0,0.0,0.0
8412ccdffffffff,6.0,0.0,0.0,0.0
8412d35ffffffff,4.0,0.0,0.0,0.0
8412d37ffffffff,10.0,0.0,0.0,0.0
8412d3bffffffff,2.0,0.0,0.0,0.0
8412d85ffffffff,1.0,0.0,0.0,0.0
8412d95ffffffff,2.0,0.0,0.0,0.0
8412e27ffffffff,1.0,0.0,0.0,0.0
841383dffffffff,2.0,0.0,0.0,0.0
84260a9ffffffff,1.0,0.0,0.0,0.0
842619dffffffff,2.0,0.0,0.0,0.0
84262c9ffffffff,3.0,0.0,0.0,0.0
8426801ffffffff,3.0,0.0,0.0,0.0
842680bffffffff,2.0,0.0,0.0,0.0
842680dffffffff,2.0,0.0,0.0,0.0
8426811ffffffff,9.0,0.0,0.0,0.0
8426813ffffffff,67.0,1.0,0.0,0.0
8426817ffffffff,5.0,0.0,0.0,0.0
8426819ffffffff,12.0,0.0,0.0,0.0
842681bffffffff,22.0,0.0,0.0,0.0
8426831ffffffff,3.0,0.0,0.0,0.0
8426857ffffffff,2.0,0.0,0.0,0.0
8426885ffffffff,25.0,0.0,0.0,0.0
8426887ffffffff,1.0,0.0,0.0,0.0
84268bbffffffff,6.0,0.0,0.0,0.0
84268c5ffffffff,2.0,0.0,0.0,0.0
84268c7ffffffff,70.0,0.0,0.0,0.0
84268c9ffffffff,3.0,0.0,0.0,0.0
84268e1ffffffff,2.0,0.0,0.0,0.0
84268e5ffffffff,2.0,0.0,0.0,0.0
84268e7ffffffff,4.0,0.0,0.0,0.0
8426905ffffffff,1.0,0.0,0.0,0.0
8426947ffffffff,10.0,0.0,0.0,0.0
8426961ffffffff,2.0,0.0,0.0,0.0
8426963ffffffff,50.0,1.0,0.0,0.0
842696bffffffff,60.0,0.0,0.0,0.0
8426987ffffffff,2.0,0.0,0.0,0.0
8426989ffffffff,6.0,0.0,0.0,0.0
842698bffffffff,6.0,0.0,0.0,0.0
8426991ffffffff,18.0,0.0,0.0,0.0
84269cbffffffff,4.0,0.0,0.0,0.0
84269cdffffffff,2.0,0.0,0.0,0.0
84269d5ffffffff,28.0,0.0,0.0,0.0
84269ddffffffff,5.0,0.0,0.0,0.0
84269ebffffffff,2.0,0.0,0.0,0.0
8426b47ffffffff,3.0,0.0,0.0,0.0
84271c9ffffffff,3.0,0.0,0.0,0.0
8427569ffffffff,2.0,0.0,0.0,0.0
84275a3ffffffff,11.0,0.0,0.0,0.0
8427b17ffffffff,2.0,0.0,0.0,0.0
842802bffffffff,6.0,0.0,0.0,0.0
8428061ffffffff,3.0,0.0,0.0,0.0
8428063ffffffff,4.0,0.0,0.0,0.0
8428065ffffffff,2.0,0.0,0.0,0.0
8428109ffffffff,2.0,0.0,0.0,0.0
8428133ffffffff,4.0,0.0,0.0,0.0
842813bffffffff,1.0,0.0,0.0,0.0
8428141ffffffff,23.0,0.0,0.0,0.0
8428147ffffffff,2.0,0.0,0.0,0.0
8428149ffffffff,12.0,0.0,0.0,0.0
842814bffffffff,2.0,0.0,0.0,0.0
8428153ffffffff,9.0,0.0,0.0,0.0
8428155ffffffff,6.0,0.0,0.0,0.0
8428157ffffffff,9.0,0.0,0.0,0.0
8428159ffffffff,1.0,0.0,0.0,0.0
842816bffffffff,2.0,0.0,0.0,0.0
842818dffffffff,5.0,0.0,0.0,0.0
842819dffffffff,2.0,0.0,0.0,0.0
84281a1ffffffff,2.0,0.0,0.0,0.0
84281b1ffffffff,1.0,0.0,0.0,0.0
84281b3ffffffff,10.0,0.0,0.0,0.0
84281b5ffffffff,22.0,0.0,0.0,0.0
84281b7ffffffff,1.0,0.0,0.0,0.0
84281c7ffffffff,2.0,0.0,0.0,0.0
84281cbffffffff,4.0,0.0,0.0,0.0
84281e5ffffffff,52.0,0.0,0.0,0.0
84281e7ffffffff,8.0,0.0,0.0,0.0
84281e9ffffffff,15.0,0.0,0.0,0.0
84281ebffffffff,4.0,0.0,0.0,0.0
84281edffffffff,25.0,0.0,0.0,0.0
8428301ffffffff,18.0,0.0,0.0,0.0
8428303ffffffff,11.0,2.0,0.0,0.0
8428305ffffffff,8.0,0.0,0.0,0.0
8428307ffffffff,67.0,0.0,0.0,0.0
8428309ffffffff,267.0,0.0,0.0,0.0
842830bffffffff,8.0,3.0,0.0,0.0
842830dffffffff,2.0,0.0,0.0,0.0
8428317ffffffff,3.0,0.0,0.0,0.0
8428321ffffffff,83.0,0.0,0.0,0.0
8428323ffffffff,9.0,0.0,0.0,0.0
8428327ffffffff,328.0,0.0,0.0,0.0
8428329ffffffff,63.0,0.0,0.0,0.0
842832bffffffff,50.0,2.0,0.0,0.0
8428333ffffffff,10.0,0.0,0.0,0.0
8428335ffffffff,7.0,0.0,0.0,0.0
8428339ffffffff,38.0,0.0,0.0,0.0
842833bffffffff,4.0,0.0,0.0,0.0
8428341ffffffff,27.0,2.0,0.0,0.0
8428343ffffffff,8.0,6.0,0.0,0.0
8428345ffffffff,1.0,0.0,0.0,0.0
8428347ffffffff,6.0,0.0,0.0,0.0
842834dffffffff,41.0,6.0,0.0,0.0
8428355ffffffff,42.0,0.0,0.0,0.0
8428357ffffffff,25.0,0.0,0.0,0.0
8428361ffffffff,10.0,0.0,0.0,0.0
8428363ffffffff,28.0,0.0,0.0,0.0
8428365ffffffff,5.0,0.0,0.0,0.0
8428367ffffffff,2.0,2.0,0.0,0.0
8428369ffffffff,5.0,0.0,0.0,0.0
842836bffffffff,7.0,0.0,0.0,0.0
