cell_id,Anas bahamensis,Anas bahamensis bahamensis/rubrirostris,Anas bahamensis galapagensis
84194adffffffff,1.0,0.0,0.0
84194d9ffffffff,2.0,0.0,0.0
84195bbffffffff,1.0,0.0,0.0
84195c9ffffffff,1.0,0.0,0.0
841e103ffffffff,3.0,0.0,0.0
841e13bffffffff,2.0,0.0,0.0
841f1a1ffffffff,1.0,0.0,0.0
841f333ffffffff,1.0,0.0,0.0
841f827ffffffff,4.0,0.0,0.0
841f8adffffffff,4.0,0.0,0.0
841f8d1ffffffff,2.0,0.0,0.0
841f8e9ffffffff,2.0,0.0,0.0
841f91bffffffff,6.0,0.0,0.0
841fb55ffffffff,3.0,0.0,0.0
8426e2dffffffff,2.0,2.0,0.0
8428d5dffffffff,1.0,0.0,0.0
8429b6dffffffff,3.0,0.0,0.0
842a123ffffffff,9.0,0.0,0.0
842aa85ffffffff,4.0,0.0,0.0
842aa9bffffffff,8.0,0.0,0.0
842aaadffffffff,5.0,1.0,0.0
842af15ffffffff,1.0,0.0,0.0
842baa5ffffffff,2.0,0.0,0.0
84344c5ffffffff,2.0,0.0,0.0
843825bffffffff,4.0,0.0,0.0
84390cbffffffff,4.0,0.0,0.0
84390e3ffffffff,3.0,0.0,0.0
8439229ffffffff,4.0,0.0,0.0
843928dffffffff,2.0,0.0,0.0
84392abffffffff,2.0,0.0,0.0
84392c5ffffffff,2.0,0.0,0.0
84392d9ffffffff,15.0,0.0,0.0
84392dbffffffff,2.0,0.0,0.0
8439333ffffffff,4.0,0.0,0.0
8439435ffffffff,4.0,0.0,0.0
8439447ffffffff,2.0,0.0,0.0
8439541ffffffff,2.0,0.0,0.0
8439547ffffffff,38.0,0.0,0.0
8439741ffffffff,2.0,0.0,0.0
8439743ffffffff,7.0,0.0,0.0
8443a13ffffffff,29.0,0.0,0.0
8443ae5ffffffff,4.0,0.0,0.0
844413dffffffff,75.0,2.0,0.0
8444363ffffffff,2.0,0.0,0.0
844436bffffffff,3.0,0.0,0.0
8444555ffffffff,10.0,0.0,0.0
844473bffffffff,2.0,0.0,0.0
844484bffffffff,1.0,1.0,0.0
844486bffffffff,11.0,0.0,0.0
8444a11ffffffff,17.0,0.0,0.0
8444a13ffffffff,34.0,0.0,0.0
8444a37ffffffff,21.0,2.0,0.0
8444a65ffffffff,2.0,0.0,0.0
8444a67ffffffff,2.0,0.0,0.0
8444a81ffffffff,32.0,0.0,0.0
8444abbffffffff,2.0,0.0,0.0
8444ac5ffffffff,4.0,0.0,0.0
8444ae9ffffffff,6.0,0.0,0.0
8444b17ffffffff,3.0,0.0,0.0
8444b57ffffffff,12.0,0.0,0.0
8444d99ffffffff,26.0,1.0,0.0
8444f4dffffffff,6.0,0.0,0.0
8445883ffffffff,2.0,0.0,0.0
84458adffffffff,1.0,0.0,0.0
8448907ffffffff,4.0,1.0,0.0
844893dffffffff,7.0,0.0,0.0
8448b23ffffffff,3.0,3.0,0.0
8448b3dffffffff,2.0,0.0,0.0
844c837ffffffff,13.0,0.0,0.0
844c883ffffffff,3.0,1.0,0.0
844c985ffffffff,3.0,0.0,0.0
844cabdffffffff,4.0,0.0,0.0
844cc0bffffffff,133.0,0.0,0.0
844cc57ffffffff,19.0,0.0,0.0
844cc59ffffffff,13.0,0.0,0.0
844cc5dffffffff,198.0,0.0,0.0
844cc61ffffffff,46.0,22.0,0.0
844cd09ffffffff,15.0,0.0,0.0
844cd21ffffffff,2.0,0.0,0.0
844cd4dffffffff,4.0,0.0,0.0
844cd51ffffffff,1.0,1.0,0.0
844ce81ffffffff,1.0,1.0,0.0
844ce85ffffffff,125.0,0.0,0.0
844ce8bffffffff,11.0,0.0,0.0
844cea9ffffffff,2.0,0.0,0.0
844cee5ffffffff,2.0,0.0,0.0
844cf23ffffffff,8.0,0.0,0.0
844d497ffffffff,2.0,0.0,0.0
844d4bbffffffff,7.0,4.0,0.0
845e4b7ffffffff,7.0,7.0,0.0
845e5cbffffffff,2.0,0.0,0.0
845e5d3ffffffff,2.0,1.0,0.0
845f4b3ffffffff,2.0,0.0,0.0
845f583ffffffff,2.0,0.0,0.0
845f5bdffffffff,42.0,1.0,0.0
84658b7ffffffff,1.0,0.0,0.0
8466221ffffffff,3.0,3.0,0.0
8466a39ffffffff,2.0,0.0,0.0
8466a5bffffffff,14.0,0.0,0.0
8466b57ffffffff,49.0,0.0,0.0
8466c63ffffffff,17.0,0.0,0.0
8466d0dffffffff,12.0,0.0,0.0
8466d33ffffffff,243.0,0.0,0.0
8466d3bffffffff,2.0,0.0,0.0
8466de5ffffffff,10.0,0.0,0.0
8466e47ffffffff,2.0,0.0,0.0
8467447ffffffff,3.0,0.0,0.0
8467461ffffffff,13.0,0.0,0.0
846746bffffffff,11.0,0.0,0.0
84674d9ffffffff,2.0,0.0,0.0
8467523ffffffff,22.0,0.0,0.0
8467599ffffffff,1.0,0.0,0.0
846c5b1ffffffff,5.0,0.0,3.0
846c5b9ffffffff,4.0,0.0,4.0
846c5bbffffffff,4.0,0.0,3.0
846d695ffffffff,48.0,2.0,0.0
8480541ffffffff,4.0,0.0,0.0
848054bffffffff,13.0,0.0,0.0
8480737ffffffff,4.0,0.0,0.0
