cell_id,Sula sula,Sula sula sula,Sula sula rubripes,Sula sula websteri
842f415ffffffff,2.0,0.0,1.0,0.0
842f437ffffffff,1.0,0.0,1.0,0.0
8436ce3ffffffff,2.0,0.0,0.0,0.0
8444241ffffffff,3.0,0.0,0.0,0.0
8444249ffffffff,2.0,0.0,0.0,0.0
8445033ffffffff,2.0,0.0,0.0,0.0
8445043ffffffff,135.0,0.0,0.0,0.0
8445053ffffffff,3.0,0.0,0.0,0.0
8445055ffffffff,4.0,0.0,0.0,0.0
8445057ffffffff,2.0,0.0,0.0,0.0
8445059ffffffff,2.0,0.0,0.0,0.0
844505dffffffff,4.0,0.0,0.0,0.0
84450a7ffffffff,1.0,0.0,0.0,0.0
84450e1ffffffff,3.0,0.0,0.0,0.0
844510dffffffff,1.0,0.0,0.0,0.0
8445237ffffffff,11.0,0.0,0.0,0.0
84455cbffffffff,2.0,0.0,0.0,0.0
8445843ffffffff,106.0,0.0,0.0,0.0
8445847ffffffff,5.0,0.0,0.0,0.0
8446007ffffffff,2.0,0.0,0.0,0.0
8446061ffffffff,2.0,0.0,0.0,0.0
8446063ffffffff,2.0,0.0,0.0,0.0
8446065ffffffff,2.0,0.0,0.0,0.0
844606dffffffff,1.0,0.0,0.0,0.0
8446081ffffffff,6.0,0.0,0.0,0.0
8446083ffffffff,13.0,0.0,0.0,0.0
844608bffffffff,17.0,0.0,0.0,0.0
844608dffffffff,8.0,0.0,0.0,0.0
8446091ffffffff,8.0,0.0,0.0,0.0
8446093ffffffff,6.0,0.0,0.0,0.0
8446095ffffffff,6.0,0.0,0.0,0.0
84460b1ffffffff,4.0,0.0,0.0,0.0
84460ebffffffff,2.0,0.0,0.0,0.0
844633dffffffff,97.0,0.0,0.0,0.0
8446363ffffffff,2.0,0.0,0.0,0.0
8446417ffffffff,3.0,0.0,0.0,0.0
8446421ffffffff,9.0,0.0,0.0,0.0
8446423ffffffff,13.0,0.0,0.0,0.0
8446425ffffffff,12.0,0.0,0.0,0.0
8446427ffffffff,4.0,0.0,0.0,0.0
8446429ffffffff,3.0,0.0,0.0,0.0
844642dffffffff,4.0,0.0,0.0,0.0
8446431ffffffff,2.0,0.0,0.0,0.0
8446433ffffffff,17.0,0.0,0.0,0.0
8446435ffffffff,3.0,0.0,0.0,0.0
8446437ffffffff,8.0,0.0,0.0,0.0
844643dffffffff,4.0,0.0,0.0,0.0
8446467ffffffff,3.0,0.0,0.0,0.0
8446481ffffffff,5.0,0.0,0.0,0.0
8446483ffffffff,262.0,0.0,0.0,0.0
8446485ffffffff,12.0,0.0,0.0,0.0
8446487ffffffff,89.0,0.0,0.0,0.0
8446493ffffffff,2.0,0.0,0.0,0.0
8446495ffffffff,1036.0,0.0,0.0,0.0
84464a9ffffffff,8.0,0.0,0.0,0.0
84464b9ffffffff,68.0,0.0,0.0,0.0
84464bbffffffff,30.0,0.0,0.0,0.0
