cell_id,Cinclus mexicanus,Cinclus mexicanus [mexicanus Group],Cinclus mexicanus ardesiacus
820c17fffffffff,4.0,0.0,0.0
820c47fffffffff,9.0,2.0,0.0
820c67fffffffff,4.0,4.0,0.0
820c77fffffffff,21.0,0.0,0.0
820d0ffffffffff,2.0,0.0,0.0
820d77fffffffff,9.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0
82125ffffffffff,7.0,0.0,0.0
8212affffffffff,3.0,0.0,0.0
8212b7fffffffff,3.0,3.0,0.0
8212c7fffffffff,4.0,0.0,0.0
8212cffffffffff,6.0,1.0,0.0
8212d7fffffffff,2.0,2.0,0.0
8212dffffffffff,14.0,0.0,0.0
8212effffffffff,2.0,0.0,0.0
8212f7fffffffff,4.0,0.0,0.0
821387fffffffff,6.0,0.0,0.0
821397fffffffff,3.0,0.0,0.0
8213b7fffffffff,2.0,0.0,0.0
821d27fffffffff,1.0,1.0,0.0
8222d7fffffffff,5.0,0.0,0.0
822687fffffffff,64.0,1.0,0.0
82268ffffffffff,125.0,1.0,0.0
822697fffffffff,145.0,0.0,0.0
82269ffffffffff,15.0,2.0,0.0
8226b7fffffffff,4.0,2.0,0.0
82278ffffffffff,8.0,3.0,0.0
822797fffffffff,15.0,0.0,0.0
822817fffffffff,37.0,0.0,0.0
82281ffffffffff,22.0,0.0,0.0
822837fffffffff,215.0,0.0,0.0
822887fffffffff,17.0,0.0,0.0
82288ffffffffff,46.0,4.0,0.0
822897fffffffff,36.0,0.0,0.0
82289ffffffffff,11.0,2.0,0.0
8228a7fffffffff,4.0,0.0,0.0
8228b7fffffffff,2.0,0.0,0.0
8228c7fffffffff,2.0,0.0,0.0
8228d7fffffffff,20.0,0.0,0.0
8228dffffffffff,3.0,0.0,0.0
8228f7fffffffff,7.0,0.0,0.0
822917fffffffff,1.0,0.0,0.0
82291ffffffffff,20.0,0.0,0.0
82298ffffffffff,10.0,0.0,0.0
822997fffffffff,27.0,2.0,0.0
8229a7fffffffff,201.0,0.0,0.0
8229affffffffff,7.0,2.0,0.0
8229b7fffffffff,28.0,0.0,0.0
824527fffffffff,16.0,0.0,0.0
8248c7fffffffff,37.0,2.0,0.0
8248cffffffffff,24.0,2.0,0.0
8248d7fffffffff,1.0,0.0,0.0
8248dffffffffff,213.0,0.0,0.0
8248effffffffff,17.0,0.0,0.0
824987fffffffff,2.0,2.0,0.0
824997fffffffff,24.0,2.0,0.0
82499ffffffffff,6.0,0.0,0.0
8266a7fffffffff,2.0,0.0,0.0
8266b7fffffffff,50.0,0.0,38.0
826797fffffffff,50.0,0.0,0.0
826d2ffffffffff,77.0,0.0,0.0
826d37fffffffff,7.0,0.0,0.0
826d67fffffffff,7.0,0.0,0.0
826d6ffffffffff,93.0,0.0,3.0
