cell_id,Saucerottia beryllina,Saucerottia beryllina beryllina/viola,Saucerottia beryllina [devillei Group]
8427449ffffffff,21.0,0.0,0.0
844520bffffffff,8.0,0.0,0.0
844520dffffffff,7.0,0.0,0.0
8445221ffffffff,2.0,0.0,0.0
8445225ffffffff,14.0,0.0,0.0
844522dffffffff,1.0,0.0,0.0
8445249ffffffff,10.0,0.0,0.0
844524dffffffff,7.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0
8445255ffffffff,3.0,0.0,0.0
844525bffffffff,1.0,0.0,0.0
8445263ffffffff,137.0,0.0,0.0
8445267ffffffff,6.0,0.0,0.0
844526bffffffff,8.0,0.0,0.0
8445343ffffffff,2.0,0.0,0.0
84481d7ffffffff,2.0,0.0,0.0
8448337ffffffff,5.0,0.0,0.0
8448361ffffffff,1.0,0.0,0.0
8448369ffffffff,1.0,0.0,0.0
8448c59ffffffff,591.0,2.0,0.0
8448c5bffffffff,3.0,0.0,0.0
8448e37ffffffff,2.0,0.0,0.0
8448e8dffffffff,935.0,20.0,0.0
8448ee9ffffffff,517.0,8.0,0.0
8448eebffffffff,39.0,0.0,0.0
8448f21ffffffff,3.0,0.0,0.0
8449821ffffffff,2.0,0.0,0.0
8449823ffffffff,2.0,0.0,0.0
844983dffffffff,6.0,0.0,0.0
8449945ffffffff,1.0,0.0,0.0
8449951ffffffff,1.0,1.0,0.0
8449959ffffffff,3.0,3.0,0.0
8449961ffffffff,2.0,0.0,0.0
8449963ffffffff,4.0,3.0,0.0
8449969ffffffff,1.0,0.0,0.0
84499c1ffffffff,2.0,0.0,0.0
84499cdffffffff,5.0,0.0,0.0
8449ab1ffffffff,2.0,0.0,0.0
8449b37ffffffff,1.0,1.0,0.0
8449b3bffffffff,20.0,0.0,0.0
846d04dffffffff,15.0,0.0,0.0
846d05bffffffff,2.0,0.0,0.0
846d231ffffffff,9.0,0.0,0.0
846d239ffffffff,2.0,0.0,0.0
846d23bffffffff,4.0,0.0,0.0
846d23dffffffff,4.0,0.0,0.0
846d295ffffffff,6.0,0.0,0.0
846d2b9ffffffff,15.0,0.0,0.0
846d2d7ffffffff,1.0,0.0,0.0
846d305ffffffff,1.0,1.0,0.0
846d30dffffffff,2.0,0.0,0.0
846d315ffffffff,2.0,0.0,0.0
846d31bffffffff,2.0,0.0,0.0
846d32bffffffff,16.0,2.0,0.0
846d337ffffffff,6.0,6.0,0.0
846d36dffffffff,2.0,0.0,0.0
846d60dffffffff,2.0,0.0,0.0
846d641ffffffff,4.0,0.0,0.0
846d645ffffffff,2.0,0.0,0.0
846d64dffffffff,1.0,0.0,0.0
846d66dffffffff,12.0,0.0,0.0
