cell_id,Ploceus cucullatus,Ploceus cucullatus collaris,Ploceus cucullatus [cucullatus Group],Ploceus cucullatus nigriceps/graueri,Ploceus cucullatus spilonotus
832c93fffffffff,2.0,1.0,0.0,0.0,0.0
833920fffffffff,1.0,0.0,0.0,0.0,0.0
833933fffffffff,4.0,0.0,0.0,0.0,0.0
8343a0fffffffff,4.0,0.0,0.0,0.0,0.0
8343acfffffffff,1.0,0.0,0.0,0.0,0.0
83441efffffffff,2.0,0.0,0.0,0.0,0.0
834ba0fffffffff,2.0,0.0,0.0,0.0,0.0
834c88fffffffff,2.0,0.0,0.0,0.0,0.0
834cd0fffffffff,1.0,0.0,0.0,0.0,0.0
834cd6fffffffff,2.0,0.0,0.0,0.0,0.0
834cf2fffffffff,9.0,0.0,0.0,0.0,0.0
834cf3fffffffff,4.0,0.0,0.0,0.0,0.0
8354c5fffffffff,2.0,0.0,0.0,0.0,0.0
835f58fffffffff,20.0,0.0,0.0,0.0,0.0
836520fffffffff,3.0,0.0,1.0,0.0,0.0
83662cfffffffff,4.0,0.0,0.0,0.0,0.0
836722fffffffff,1.0,0.0,0.0,0.0,0.0
836725fffffffff,5.0,0.0,0.0,0.0,0.0
836741fffffffff,5.0,0.0,0.0,0.0,0.0
836743fffffffff,12.0,0.0,0.0,0.0,0.0
83674efffffffff,1.0,0.0,0.0,0.0,0.0
836758fffffffff,5.0,0.0,0.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0,0.0,0.0
836ac1fffffffff,1.0,0.0,1.0,0.0,0.0
836ac3fffffffff,9.0,0.0,9.0,0.0,0.0
836ac8fffffffff,2.0,0.0,2.0,0.0,0.0
836acefffffffff,2.0,0.0,2.0,0.0,0.0
836addfffffffff,1.0,0.0,1.0,0.0,0.0
837a40fffffffff,1.0,0.0,0.0,0.0,0.0
837a5efffffffff,1.0,0.0,1.0,0.0,0.0
837a68fffffffff,1.0,0.0,0.0,0.0,0.0
837a6efffffffff,4.0,0.0,0.0,4.0,0.0
8382d0fffffffff,2.0,0.0,2.0,0.0,0.0
839693fffffffff,2.0,0.0,2.0,0.0,0.0
83971cfffffffff,3.0,0.0,0.0,3.0,0.0
83972afffffffff,1.0,0.0,0.0,1.0,0.0
83972cfffffffff,2.0,0.0,0.0,0.0,0.0
839751fffffffff,2.0,0.0,0.0,0.0,2.0
839768fffffffff,3.0,3.0,0.0,0.0,0.0
83bcd2fffffffff,1.0,0.0,0.0,0.0,1.0
83bcd6fffffffff,1.0,0.0,0.0,0.0,1.0
83bcdcfffffffff,7.0,0.0,0.0,0.0,2.0
