cell_id,Geranoaetus polyosoma,Geranoaetus polyosoma polyosoma,Geranoaetus polyosoma exsul,Geranoaetus polyosoma (Puna),Geranoaetus polyosoma (Red-backed)
83269dfffffffff,4.0,0.0,0.0,0.0,2.0
8366d1fffffffff,2.0,0.0,0.0,0.0,2.0
8366d3fffffffff,11.0,0.0,0.0,0.0,0.0
8366defffffffff,12.0,6.0,0.0,0.0,3.0
8366e6fffffffff,1.0,0.0,0.0,0.0,1.0
838b20fffffffff,5.0,0.0,0.0,2.0,3.0
838b21fffffffff,5.0,0.0,0.0,2.0,3.0
838b24fffffffff,1.0,0.0,0.0,0.0,1.0
838b25fffffffff,8.0,0.0,0.0,4.0,4.0
838b2cfffffffff,38.0,0.0,0.0,11.0,20.0
838b61fffffffff,5.0,4.0,0.0,0.0,0.0
838e60fffffffff,3.0,0.0,0.0,0.0,0.0
838e62fffffffff,23.0,8.0,0.0,0.0,0.0
838e63fffffffff,1.0,0.0,0.0,0.0,1.0
838e66fffffffff,9.0,0.0,0.0,7.0,2.0
838e75fffffffff,7.0,0.0,0.0,0.0,7.0
838f0dfffffffff,5.0,0.0,0.0,0.0,0.0
838f2afffffffff,1.0,0.0,0.0,0.0,1.0
838f2dfffffffff,2.0,2.0,0.0,0.0,0.0
838f50fffffffff,6.0,0.0,0.0,0.0,4.0
838f51fffffffff,1.0,0.0,0.0,1.0,0.0
838f55fffffffff,3.0,3.0,0.0,0.0,0.0
838f56fffffffff,1.0,0.0,0.0,0.0,1.0
838f5cfffffffff,1.0,0.0,0.0,1.0,0.0
838f76fffffffff,1.0,0.0,0.0,0.0,0.0
83b219fffffffff,2.0,0.0,0.0,0.0,2.0
83b21dfffffffff,1.0,0.0,0.0,0.0,1.0
83b225fffffffff,1.0,0.0,0.0,0.0,1.0
83b244fffffffff,4.0,0.0,0.0,0.0,4.0
83b24cfffffffff,1.0,0.0,0.0,0.0,0.0
83b24dfffffffff,3.0,0.0,0.0,0.0,0.0
83b258fffffffff,3.0,0.0,0.0,0.0,3.0
83b25cfffffffff,3.0,0.0,0.0,0.0,3.0
83b25efffffffff,3.0,0.0,0.0,0.0,0.0
83b2c0fffffffff,9.0,0.0,0.0,0.0,7.0
83b2c1fffffffff,5.0,0.0,0.0,0.0,5.0
83b2c2fffffffff,3.0,0.0,0.0,0.0,3.0
83b2c3fffffffff,2.0,0.0,0.0,0.0,2.0
83b2c4fffffffff,74.0,0.0,0.0,0.0,67.0
83b2c5fffffffff,73.0,4.0,0.0,0.0,65.0
83b2cafffffffff,9.0,0.0,0.0,0.0,9.0
83b2cefffffffff,9.0,2.0,0.0,0.0,5.0
83b2d8fffffffff,3.0,0.0,0.0,0.0,1.0
83b2d9fffffffff,3.0,2.0,0.0,0.0,0.0
83b2dafffffffff,2.0,0.0,0.0,0.0,2.0
83b2dbfffffffff,10.0,0.0,0.0,0.0,10.0
83b2dcfffffffff,11.0,0.0,0.0,0.0,11.0
83b2ddfffffffff,9.0,0.0,0.0,0.0,7.0
83b2e2fffffffff,20.0,0.0,0.0,0.0,16.0
83b2e3fffffffff,7.0,0.0,0.0,0.0,7.0
83b2ebfffffffff,1.0,0.0,0.0,0.0,1.0
83b2edfffffffff,1.0,0.0,0.0,0.0,0.0
83b300fffffffff,3.0,0.0,0.0,0.0,3.0
83b301fffffffff,3.0,0.0,0.0,0.0,3.0
83b304fffffffff,12.0,0.0,0.0,0.0,12.0
83b305fffffffff,11.0,0.0,0.0,1.0,10.0
83b308fffffffff,3.0,0.0,0.0,3.0,0.0
83b30afffffffff,13.0,0.0,0.0,0.0,13.0
83b30bfffffffff,3.0,0.0,0.0,0.0,3.0
83b30dfffffffff,3.0,0.0,0.0,3.0,0.0
83b320fffffffff,6.0,0.0,0.0,6.0,0.0
83b321fffffffff,3.0,0.0,0.0,0.0,3.0
83b323fffffffff,11.0,0.0,0.0,3.0,8.0
83b324fffffffff,2.0,0.0,0.0,0.0,0.0
83b325fffffffff,7.0,0.0,0.0,5.0,2.0
83b32afffffffff,4.0,0.0,0.0,0.0,4.0
83b32cfffffffff,13.0,0.0,0.0,8.0,5.0
83b32dfffffffff,1.0,0.0,0.0,1.0,0.0
83b335fffffffff,1.0,0.0,0.0,1.0,0.0
83b342fffffffff,7.0,0.0,0.0,0.0,0.0
83b351fffffffff,1.0,0.0,0.0,0.0,0.0
83b355fffffffff,3.0,0.0,0.0,0.0,1.0
83b356fffffffff,1.0,0.0,0.0,1.0,0.0
83b35efffffffff,6.0,0.0,0.0,0.0,2.0
83b373fffffffff,4.0,0.0,0.0,0.0,4.0
83c21bfffffffff,2.0,0.0,0.0,0.0,0.0
83c221fffffffff,3.0,0.0,0.0,0.0,0.0
83c320fffffffff,4.0,0.0,0.0,0.0,4.0
83c32afffffffff,8.0,4.0,0.0,0.0,4.0
83c32bfffffffff,2.0,0.0,0.0,0.0,2.0
83c32efffffffff,3.0,0.0,0.0,0.0,3.0
83c350fffffffff,2.0,0.0,0.0,0.0,2.0
83c356fffffffff,4.0,0.0,0.0,0.0,0.0
83ce80fffffffff,2.0,0.0,0.0,0.0,2.0
83ce81fffffffff,13.0,0.0,0.0,0.0,2.0
83ce88fffffffff,13.0,0.0,0.0,0.0,13.0
83ce8afffffffff,17.0,0.0,0.0,0.0,17.0
83ce8bfffffffff,2.0,0.0,0.0,0.0,0.0
83ce8cfffffffff,1.0,0.0,0.0,0.0,0.0
83ce8efffffffff,6.0,0.0,0.0,0.0,2.0
83ce93fffffffff,2.0,0.0,0.0,0.0,2.0
83ce99fffffffff,2.0,0.0,0.0,0.0,2.0
83ce9cfffffffff,6.0,0.0,0.0,0.0,6.0
83ce9dfffffffff,10.0,0.0,0.0,0.0,10.0
83cea3fffffffff,4.0,0.0,0.0,0.0,4.0
83ceaafffffffff,2.0,2.0,0.0,0.0,0.0
83ceacfffffffff,5.0,0.0,0.0,0.0,5.0
83cf8afffffffff,2.0,0.0,0.0,0.0,2.0
83de71fffffffff,1.0,0.0,0.0,0.0,1.0
83df69fffffffff,2.0,0.0,0.0,0.0,2.0
