cell_id,Cathartes aura,Cathartes aura [aura Group],Cathartes aura ruficollis,Cathartes aura jota,Cathartes aura [undescribed form]
840c143ffffffff,6.0,0.0,0.0,0.0,0.0
840d499ffffffff,2.0,0.0,0.0,0.0,0.0
840e5b3ffffffff,2.0,0.0,0.0,0.0,0.0
840e805ffffffff,2.0,0.0,0.0,0.0,0.0
840ec95ffffffff,2.0,2.0,0.0,0.0,0.0
840ec97ffffffff,9.0,9.0,0.0,0.0,0.0
840ecc1ffffffff,3.0,0.0,0.0,0.0,0.0
840eea7ffffffff,13.0,0.0,0.0,0.0,0.0
8412017ffffffff,2.0,0.0,0.0,0.0,0.0
8412515ffffffff,6.0,5.0,0.0,0.0,0.0
8412539ffffffff,9.0,0.0,0.0,0.0,0.0
8412591ffffffff,7.0,0.0,0.0,0.0,0.0
841259bffffffff,2.0,0.0,0.0,0.0,0.0
84125d3ffffffff,2.0,0.0,0.0,0.0,0.0
84125d7ffffffff,1.0,0.0,0.0,0.0,0.0
8412847ffffffff,2.0,0.0,0.0,0.0,0.0
8412883ffffffff,2.0,2.0,0.0,0.0,0.0
8412891ffffffff,2.0,0.0,0.0,0.0,0.0
8412899ffffffff,7.0,0.0,0.0,0.0,0.0
84128bdffffffff,17.0,0.0,0.0,0.0,0.0
84129bbffffffff,1.0,1.0,0.0,0.0,0.0
84129d9ffffffff,2.0,0.0,0.0,0.0,0.0
8412c1bffffffff,43.0,0.0,0.0,0.0,0.0
8412c3bffffffff,2.0,0.0,0.0,0.0,0.0
8412cb1ffffffff,2.0,0.0,0.0,0.0,0.0
8412cc1ffffffff,5.0,0.0,0.0,0.0,0.0
8412cc5ffffffff,3.0,0.0,0.0,0.0,0.0
8412ccdffffffff,10.0,0.0,0.0,0.0,0.0
8412ce3ffffffff,2.0,0.0,0.0,0.0,0.0
8412d01ffffffff,4.0,4.0,0.0,0.0,0.0
8412d11ffffffff,1.0,0.0,0.0,0.0,0.0
8412d17ffffffff,2.0,0.0,0.0,0.0,0.0
8412d47ffffffff,1.0,0.0,0.0,0.0,0.0
8412d55ffffffff,2.0,2.0,0.0,0.0,0.0
8412d57ffffffff,2.0,2.0,0.0,0.0,0.0
8412d59ffffffff,2.0,2.0,0.0,0.0,0.0
8412d5dffffffff,3.0,3.0,0.0,0.0,0.0
8412d89ffffffff,4.0,0.0,0.0,0.0,0.0
8412d8dffffffff,1.0,1.0,0.0,0.0,0.0
8412da7ffffffff,2.0,0.0,0.0,0.0,0.0
8412db1ffffffff,1.0,0.0,0.0,0.0,0.0
8412db3ffffffff,1.0,0.0,0.0,0.0,0.0
8412db7ffffffff,9.0,0.0,0.0,0.0,0.0
8412dd7ffffffff,4.0,4.0,0.0,0.0,0.0
8412ddbffffffff,7.0,0.0,0.0,0.0,0.0
8412de3ffffffff,2.0,2.0,0.0,0.0,0.0
8412de5ffffffff,9.0,9.0,0.0,0.0,0.0
8412e13ffffffff,2.0,0.0,0.0,0.0,0.0
8412e27ffffffff,1.0,0.0,0.0,0.0,0.0
8412e87ffffffff,3.0,1.0,0.0,0.0,0.0
8412e89ffffffff,2.0,0.0,0.0,0.0,0.0
8412ebdffffffff,2.0,0.0,0.0,0.0,0.0
8412ec9ffffffff,4.0,0.0,0.0,0.0,0.0
8412edbffffffff,3.0,0.0,0.0,0.0,0.0
8412ee3ffffffff,1.0,0.0,0.0,0.0,0.0
8412f01ffffffff,2.0,0.0,0.0,0.0,0.0
8412f03ffffffff,2.0,0.0,0.0,0.0,0.0
8412f15ffffffff,2.0,0.0,0.0,0.0,0.0
841383dffffffff,1.0,0.0,0.0,0.0,0.0
84139e1ffffffff,2.0,0.0,0.0,0.0,0.0
841aa07ffffffff,2.0,0.0,0.0,0.0,0.0
841aa3dffffffff,9.0,2.0,0.0,0.0,0.0
841ab53ffffffff,2.0,0.0,0.0,0.0,0.0
