cell_id,Trachyphonus darnaudii,Trachyphonus darnaudii darnaudii/boehmi,Trachyphonus darnaudii usambiro,Trachyphonus darnaudii emini
836ac9fffffffff,1.0,0.0,1.0,0.0
837a40fffffffff,6.0,6.0,0.0,0.0
837a41fffffffff,2.0,1.0,0.0,0.0
837a44fffffffff,4.0,4.0,0.0,0.0
837a48fffffffff,7.0,0.0,0.0,0.0
837a4cfffffffff,2.0,2.0,0.0,0.0
837a63fffffffff,2.0,2.0,0.0,0.0
837a68fffffffff,11.0,2.0,4.0,0.0
837a6afffffffff,1.0,0.0,0.0,0.0
837a6bfffffffff,1.0,0.0,1.0,0.0
837a6efffffffff,2.0,2.0,0.0,0.0
837b4cfffffffff,1.0,0.0,0.0,0.0
839690fffffffff,2.0,0.0,2.0,0.0
839692fffffffff,1.0,0.0,0.0,0.0
839693fffffffff,2.0,0.0,2.0,0.0
83969afffffffff,1.0,0.0,1.0,0.0
