cell_id,Falco tinnunculus,Falco tinnunculus [tinnunculus Group],Falco tinnunculus canariensis/dacotiae,Falco tinnunculus neglectus/alexandri,Falco tinnunculus rufescens
83074efffffffff,8.0,0.0,0.0,0.0,0.0
83075dfffffffff,2.0,0.0,0.0,0.0,0.0
830762fffffffff,2.0,0.0,0.0,0.0,0.0
830886fffffffff,4.0,4.0,0.0,0.0,0.0
83089afffffffff,3.0,1.0,0.0,0.0,0.0
8308a3fffffffff,2.0,2.0,0.0,0.0,0.0
8308c2fffffffff,2.0,2.0,0.0,0.0,0.0
830999fffffffff,1.0,1.0,0.0,0.0,0.0
831181fffffffff,9.0,9.0,0.0,0.0,0.0
83118cfffffffff,7.0,7.0,0.0,0.0,0.0
83118efffffffff,10.0,10.0,0.0,0.0,0.0
8311aafffffffff,3.0,3.0,0.0,0.0,0.0
8311abfffffffff,2.0,2.0,0.0,0.0,0.0
8311aefffffffff,32.0,32.0,0.0,0.0,0.0
831592fffffffff,2.0,0.0,0.0,0.0,0.0
831828fffffffff,4.0,0.0,0.0,0.0,0.0
83182efffffffff,1.0,0.0,0.0,0.0,0.0
831849fffffffff,4.0,0.0,0.0,0.0,0.0
83184bfffffffff,8.0,2.0,0.0,0.0,0.0
83185bfffffffff,34.0,30.0,0.0,0.0,0.0
831942fffffffff,3.0,2.0,0.0,0.0,0.0
831943fffffffff,2.0,0.0,0.0,0.0,0.0
83194dfffffffff,1.0,1.0,0.0,0.0,0.0
83194efffffffff,2.0,0.0,0.0,0.0,0.0
831950fffffffff,2.0,2.0,0.0,0.0,0.0
83195bfffffffff,7.0,2.0,0.0,0.0,0.0
831969fffffffff,2.0,2.0,0.0,0.0,0.0
831e02fffffffff,3.0,1.0,0.0,0.0,0.0
831e04fffffffff,13.0,0.0,0.0,0.0,0.0
831e05fffffffff,2.0,0.0,0.0,0.0,0.0
831e0afffffffff,3.0,2.0,0.0,0.0,0.0
831e0bfffffffff,3.0,3.0,0.0,0.0,0.0
831e0efffffffff,18.0,0.0,0.0,0.0,0.0
831e13fffffffff,2.0,0.0,0.0,0.0,0.0
831e15fffffffff,1.0,0.0,0.0,0.0,0.0
831e1bfffffffff,1.0,0.0,0.0,0.0,0.0
831e1cfffffffff,1.0,0.0,0.0,0.0,0.0
831e1dfffffffff,8.0,3.0,0.0,0.0,0.0
831e23fffffffff,6.0,0.0,0.0,0.0,0.0
831e2afffffffff,2.0,0.0,0.0,0.0,0.0
831e2efffffffff,4.0,0.0,0.0,0.0,0.0
831e34fffffffff,3.0,0.0,0.0,0.0,0.0
831e35fffffffff,6.0,0.0,0.0,0.0,0.0
831e41fffffffff,2.0,0.0,0.0,0.0,0.0
