cell_id,Sayornis nigricans,Sayornis nigricans [nigricans Group],Sayornis nigricans latirostris/angustirostris
840d595ffffffff,2.0,0.0,0.0
8412d17ffffffff,2.0,0.0,0.0
8412dc3ffffffff,10.0,0.0,0.0
8426801ffffffff,2.0,0.0,0.0
842681bffffffff,98.0,0.0,0.0
842682bffffffff,3.0,0.0,0.0
8426831ffffffff,4.0,0.0,0.0
8426835ffffffff,11.0,0.0,0.0
8426853ffffffff,25.0,0.0,0.0
8426859ffffffff,4.0,0.0,0.0
8426881ffffffff,21.0,0.0,0.0
8426885ffffffff,4.0,0.0,0.0
8426889ffffffff,3.0,0.0,0.0
842688dffffffff,20.0,0.0,0.0
8426891ffffffff,4.0,0.0,0.0
8426893ffffffff,1.0,0.0,0.0
8426897ffffffff,2.0,0.0,0.0
84268a1ffffffff,2.0,0.0,0.0
84268a3ffffffff,8.0,0.0,0.0
84268a5ffffffff,2.0,0.0,0.0
84268b5ffffffff,2.0,0.0,0.0
84268b7ffffffff,4.0,0.0,0.0
84268b9ffffffff,1.0,0.0,0.0
84268c5ffffffff,7.0,0.0,0.0
84268c7ffffffff,19.0,0.0,0.0
84268cdffffffff,64.0,0.0,0.0
84268d5ffffffff,13.0,0.0,0.0
84268e7ffffffff,1.0,0.0,0.0
8426905ffffffff,50.0,0.0,0.0
8426915ffffffff,24.0,4.0,0.0
8426917ffffffff,24.0,2.0,0.0
842691dffffffff,16.0,2.0,0.0
8426927ffffffff,1.0,0.0,0.0
8426945ffffffff,14.0,2.0,0.0
842695bffffffff,2.0,0.0,0.0
8426961ffffffff,17.0,2.0,0.0
8426963ffffffff,19.0,0.0,0.0
8426969ffffffff,2.0,0.0,0.0
842696bffffffff,1.0,0.0,0.0
8426987ffffffff,5.0,0.0,0.0
8426989ffffffff,16.0,2.0,0.0
842698dffffffff,17.0,3.0,0.0
8426991ffffffff,2.0,0.0,0.0
8426995ffffffff,14.0,0.0,0.0
8426997ffffffff,2.0,0.0,0.0
842699bffffffff,2.0,0.0,0.0
84269a1ffffffff,3.0,0.0,0.0
84269adffffffff,2.0,0.0,0.0
84269bbffffffff,4.0,0.0,0.0
84269c1ffffffff,110.0,0.0,0.0
84269c3ffffffff,10.0,0.0,0.0
84269c5ffffffff,36.0,0.0,0.0
84269c9ffffffff,2.0,0.0,0.0
84269cbffffffff,2.0,0.0,0.0
84269cdffffffff,27.0,0.0,0.0
84269d1ffffffff,4.0,0.0,0.0
84269d5ffffffff,64.0,0.0,0.0
84269e1ffffffff,9.0,0.0,0.0
84269e5ffffffff,3.0,0.0,0.0
84269e7ffffffff,2.0,0.0,0.0
84269e9ffffffff,20.0,0.0,0.0
84269ebffffffff,4.0,2.0,0.0
