cell_id,Myiozetetes similis,Myiozetetes similis [texensis Group],Myiozetetes similis [similis Group],Myiozetetes similis grandis
824427fffffffff,26.0,9.0,0.0,0.0
824507fffffffff,3018.0,120.0,0.0,0.0
82450ffffffffff,16688.0,2114.0,0.0,0.0
82451ffffffffff,358.0,53.0,0.0,0.0
824527fffffffff,18958.0,412.0,0.0,0.0
82452ffffffffff,36239.0,2045.0,0.0,0.0
824537fffffffff,3705.0,0.0,0.0,0.0
82456ffffffffff,4.0,0.0,0.0,0.0
824577fffffffff,1345.0,292.0,0.0,0.0
824807fffffffff,394.0,0.0,0.0,0.0
82480ffffffffff,804.0,0.0,0.0,0.0
82481ffffffffff,3.0,0.0,0.0,0.0
824837fffffffff,8608.0,75.0,0.0,0.0
8248a7fffffffff,103.0,7.0,0.0,0.0
8248b7fffffffff,31.0,6.0,0.0,0.0
824987fffffffff,341.0,8.0,0.0,0.0
82498ffffffffff,12.0,0.0,0.0,0.0
824997fffffffff,12543.0,1844.0,0.0,0.0
82499ffffffffff,1389.0,42.0,0.0,0.0
8249a7fffffffff,229.0,0.0,0.0,0.0
8249affffffffff,5732.0,182.0,0.0,0.0
8249b7fffffffff,1945.0,6.0,0.0,0.0
825f47fffffffff,185.0,0.0,3.0,0.0
825f4ffffffffff,174.0,0.0,0.0,0.0
825f5ffffffffff,4.0,0.0,0.0,0.0
825f6ffffffffff,24.0,0.0,0.0,0.0
825f77fffffffff,40.0,0.0,0.0,0.0
826607fffffffff,593.0,0.0,0.0,0.0
82660ffffffffff,1003.0,0.0,2.0,0.0
826617fffffffff,431.0,0.0,9.0,0.0
82661ffffffffff,694.0,0.0,2.0,0.0
826627fffffffff,2900.0,0.0,73.0,0.0
82662ffffffffff,594.0,0.0,6.0,0.0
826637fffffffff,690.0,0.0,1.0,0.0
826647fffffffff,384.0,0.0,7.0,0.0
82664ffffffffff,2.0,0.0,0.0,0.0
826657fffffffff,309.0,0.0,0.0,0.0
82665ffffffffff,252.0,0.0,1.0,0.0
826667fffffffff,123.0,0.0,0.0,0.0
82666ffffffffff,8.0,0.0,0.0,0.0
826677fffffffff,227.0,0.0,0.0,0.0
8266a7fffffffff,15688.0,0.0,1084.0,0.0
8266b7fffffffff,24991.0,0.0,106.0,0.0
8266c7fffffffff,2061.0,0.0,5.0,0.0
8266cffffffffff,166.0,0.0,0.0,0.0
8266d7fffffffff,3052.0,0.0,0.0,182.0
8266dffffffffff,5243.0,0.0,685.0,0.0
8266e7fffffffff,5180.0,0.0,41.0,0.0
8266effffffffff,571.0,0.0,0.0,0.0
8266f7fffffffff,53.0,0.0,0.0,0.0
826747fffffffff,1131.0,0.0,37.0,0.0
82674ffffffffff,4084.0,0.0,99.0,0.0
826757fffffffff,2365.0,0.0,0.0,0.0
82675ffffffffff,1006.0,0.0,12.0,0.0
82678ffffffffff,2.0,0.0,0.0,0.0
826797fffffffff,792.0,0.0,0.0,0.0
82679ffffffffff,4997.0,0.0,21.0,0.0
8267b7fffffffff,17.0,0.0,0.0,0.0
826d07fffffffff,1278.0,254.0,0.0,0.0
826d17fffffffff,1157.0,129.0,0.0,0.0
826d27fffffffff,3502.0,367.0,0.0,0.0
826d2ffffffffff,14666.0,3226.0,0.0,0.0
826d37fffffffff,10498.0,591.0,0.0,0.0
826d67fffffffff,10430.0,0.0,0.0,0.0
826d6ffffffffff,51115.0,0.0,0.0,0.0
826d77fffffffff,4048.0,29.0,0.0,0.0
828007fffffffff,41.0,0.0,1.0,0.0
82800ffffffffff,7.0,0.0,2.0,0.0
828017fffffffff,880.0,0.0,27.0,0.0
828027fffffffff,6.0,0.0,0.0,0.0
828037fffffffff,265.0,0.0,20.0,0.0
828047fffffffff,13.0,0.0,0.0,0.0
828067fffffffff,7.0,0.0,0.0,0.0
82806ffffffffff,22.0,0.0,0.0,0.0
828077fffffffff,9.0,0.0,1.0,0.0
8280a7fffffffff,4.0,0.0,1.0,0.0
828107fffffffff,191.0,0.0,3.0,0.0
82810ffffffffff,5.0,0.0,0.0,0.0
828117fffffffff,93.0,0.0,5.0,0.0
82811ffffffffff,27.0,0.0,1.0,0.0
828127fffffffff,263.0,0.0,5.0,0.0
82812ffffffffff,31.0,0.0,2.0,0.0
828137fffffffff,715.0,0.0,51.0,0.0
828147fffffffff,41.0,0.0,0.0,0.0
82814ffffffffff,95.0,0.0,0.0,0.0
82815ffffffffff,21.0,0.0,1.0,0.0
828167fffffffff,39.0,0.0,0.0,0.0
828177fffffffff,7.0,0.0,0.0,0.0
828187fffffffff,943.0,0.0,56.0,0.0
82818ffffffffff,153.0,0.0,0.0,0.0
82819ffffffffff,88.0,0.0,0.0,0.0
8281a7fffffffff,31.0,0.0,9.0,0.0
8281affffffffff,58.0,0.0,2.0,0.0
828a07fffffffff,33.0,0.0,5.0,0.0
828a1ffffffffff,6.0,0.0,3.0,0.0
828a27fffffffff,8.0,0.0,3.0,0.0
828a47fffffffff,682.0,0.0,8.0,0.0
828a57fffffffff,24.0,0.0,0.0,0.0
828a6ffffffffff,1605.0,0.0,0.0,0.0
828a77fffffffff,37.0,0.0,0.0,0.0
828a87fffffffff,3.0,0.0,0.0,0.0
828a8ffffffffff,34.0,0.0,1.0,0.0
828a9ffffffffff,12.0,0.0,0.0,0.0
828aaffffffffff,66.0,0.0,0.0,0.0
828adffffffffff,14.0,0.0,3.0,0.0
828ae7fffffffff,3.0,0.0,0.0,0.0
828aeffffffffff,6.0,0.0,0.0,0.0
828af7fffffffff,331.0,0.0,20.0,0.0
828b07fffffffff,15.0,0.0,0.0,0.0
828b0ffffffffff,38.0,0.0,0.0,0.0
828b1ffffffffff,2.0,0.0,0.0,0.0
828b27fffffffff,228.0,0.0,0.0,0.0
828b2ffffffffff,121.0,0.0,0.0,0.0
828b37fffffffff,21.0,0.0,0.0,0.0
828b47fffffffff,1268.0,0.0,4.0,0.0
828b4ffffffffff,16.0,0.0,0.0,0.0
828b57fffffffff,80.0,0.0,4.0,0.0
828b5ffffffffff,82.0,0.0,7.0,0.0
828b67fffffffff,2494.0,0.0,129.0,0.0
828b6ffffffffff,706.0,0.0,3.0,0.0
828b77fffffffff,191.0,0.0,0.0,0.0
828e67fffffffff,430.0,0.0,0.0,0.0
