cell_id,Psophia crepitans,Psophia crepitans napensis,Psophia crepitans ochroptera,Psophia crepitans crepitans
835f00fffffffff,7.0,0.0,0.0,0.0
835f01fffffffff,1.0,0.0,0.0,0.0
835f02fffffffff,1.0,0.0,0.0,0.0
835f03fffffffff,129.0,0.0,0.0,0.0
835f06fffffffff,1.0,0.0,0.0,0.0
835f09fffffffff,1.0,0.0,0.0,0.0
835f0dfffffffff,9.0,0.0,0.0,0.0
835f10fffffffff,3.0,0.0,0.0,0.0
835f12fffffffff,1.0,0.0,0.0,0.0
835f13fffffffff,3.0,0.0,0.0,0.0
835f14fffffffff,10.0,0.0,0.0,0.0
835f15fffffffff,1.0,0.0,0.0,0.0
835f16fffffffff,1.0,0.0,0.0,0.0
835f1cfffffffff,4.0,0.0,0.0,0.0
835f29fffffffff,6.0,0.0,0.0,0.0
835f2bfffffffff,510.0,0.0,0.0,0.0
835f2cfffffffff,2.0,0.0,0.0,0.0
835f2dfffffffff,2.0,0.0,0.0,0.0
835f33fffffffff,1.0,0.0,0.0,0.0
835f42fffffffff,13.0,0.0,0.0,0.0
835f54fffffffff,7.0,0.0,0.0,0.0
835f68fffffffff,5.0,0.0,0.0,0.0
83665afffffffff,8.0,0.0,0.0,0.0
83665bfffffffff,3.0,0.0,0.0,0.0
83666cfffffffff,1.0,0.0,0.0,0.0
83666efffffffff,14.0,0.0,0.0,1.0
8366c2fffffffff,17.0,0.0,0.0,0.0
8366c5fffffffff,1.0,0.0,0.0,0.0
8366d1fffffffff,3.0,0.0,0.0,0.0
8366d8fffffffff,48.0,0.0,0.0,0.0
8366dcfffffffff,185.0,10.0,0.0,0.0
8366ddfffffffff,44.0,0.0,0.0,0.0
8366defffffffff,6.0,0.0,0.0,0.0
8366eafffffffff,5.0,0.0,0.0,0.0
8366ecfffffffff,1.0,0.0,0.0,0.0
838069fffffffff,1.0,0.0,0.0,0.0
838a41fffffffff,3.0,0.0,0.0,0.0
838a45fffffffff,19.0,0.0,0.0,0.0
838a4afffffffff,1.0,0.0,0.0,0.0
838a4bfffffffff,1.0,0.0,0.0,0.0
838a4dfffffffff,1.0,0.0,0.0,0.0
838a69fffffffff,6.0,0.0,0.0,0.0
838a6dfffffffff,3.0,0.0,0.0,0.0
838a8afffffffff,1.0,0.0,0.0,0.0
838a8dfffffffff,2.0,0.0,0.0,0.0
838ad1fffffffff,2.0,0.0,0.0,0.0
838ad8fffffffff,1.0,0.0,0.0,0.0
838adbfffffffff,7.0,0.0,0.0,0.0
838adcfffffffff,25.0,0.0,0.0,0.0
838adefffffffff,2.0,0.0,0.0,0.0
838af0fffffffff,2.0,0.0,2.0,0.0
838af1fffffffff,1.0,0.0,0.0,0.0
838af2fffffffff,24.0,0.0,0.0,9.0
838af6fffffffff,162.0,0.0,0.0,7.0
838f65fffffffff,2.0,0.0,0.0,0.0
838f75fffffffff,1.0,0.0,0.0,0.0
