cell_id,Amazilia yucatanensis,Amazilia yucatanensis yucatanensis,Amazilia yucatanensis cerviniventris/chalconota
8426cbdffffffff,2.0,0.0,0.0
842a8b5ffffffff,59.0,0.0,2.0
842af63ffffffff,11.0,0.0,0.0
8444409ffffffff,1.0,0.0,0.0
844440dffffffff,198.0,0.0,0.0
8444443ffffffff,14.0,0.0,0.0
8444459ffffffff,6.0,0.0,0.0
844445bffffffff,7.0,0.0,0.0
8444461ffffffff,4.0,0.0,0.0
8444465ffffffff,26.0,0.0,0.0
844446bffffffff,1.0,0.0,0.0
8444505ffffffff,4.0,0.0,0.0
8444509ffffffff,12.0,0.0,0.0
844450dffffffff,7.0,0.0,0.0
8444529ffffffff,4.0,0.0,2.0
8444551ffffffff,2.0,0.0,0.0
8444555ffffffff,11.0,0.0,0.0
8444563ffffffff,21.0,0.0,0.0
84446c1ffffffff,1.0,0.0,0.0
84446c5ffffffff,4.0,0.0,0.0
84446c7ffffffff,2.0,0.0,0.0
84446cbffffffff,4.0,0.0,0.0
84446cdffffffff,2.0,0.0,1.0
84446ddffffffff,2.0,0.0,0.0
84446e5ffffffff,4.0,0.0,0.0
84446edffffffff,1.0,0.0,0.0
844473bffffffff,8.0,0.0,0.0
8444a19ffffffff,225.0,0.0,3.0
8444ae9ffffffff,6.0,0.0,0.0
8444d3dffffffff,32.0,0.0,0.0
8444e05ffffffff,8.0,0.0,0.0
8444e25ffffffff,35.0,0.0,0.0
8444e29ffffffff,1.0,0.0,0.0
8444e47ffffffff,13.0,0.0,0.0
8444e63ffffffff,1.0,0.0,0.0
8444f31ffffffff,31.0,0.0,2.0
8444f3dffffffff,14.0,0.0,0.0
8444f61ffffffff,5.0,0.0,0.0
8445019ffffffff,17.0,6.0,0.0
8445233ffffffff,2.0,0.0,0.0
8445281ffffffff,4.0,2.0,0.0
84452e1ffffffff,2.0,0.0,0.0
84452e3ffffffff,38.0,0.0,0.0
84452e5ffffffff,3.0,0.0,0.0
84452ebffffffff,2.0,0.0,0.0
844882dffffffff,2.0,0.0,0.0
8448869ffffffff,2.0,0.0,0.0
844886bffffffff,1.0,0.0,0.0
84488edffffffff,4.0,0.0,0.0
8448923ffffffff,16.0,0.0,0.0
84489c1ffffffff,5.0,0.0,0.0
84489c5ffffffff,3.0,0.0,0.0
84489e3ffffffff,20.0,0.0,0.0
8448b15ffffffff,4.0,0.0,0.0
8448b2bffffffff,3.0,0.0,3.0
8448b39ffffffff,10.0,0.0,0.0
8448b3dffffffff,1.0,0.0,0.0
8449901ffffffff,2.0,0.0,2.0
844992bffffffff,2.0,0.0,0.0
8449961ffffffff,8.0,0.0,0.0
8449963ffffffff,3.0,0.0,2.0
8449965ffffffff,5.0,0.0,0.0
8449969ffffffff,1.0,0.0,0.0
84499cdffffffff,2.0,0.0,2.0
846d239ffffffff,3.0,0.0,2.0
846d23dffffffff,4.0,0.0,2.0
846d315ffffffff,1.0,0.0,0.0
846d319ffffffff,2.0,0.0,2.0
846d34dffffffff,6.0,0.0,0.0
846d35dffffffff,2.0,0.0,0.0
