cell_id,Lanius isabellinus,Lanius isabellinus isabellinus,Lanius isabellinus arenarius/tsaidamensis
8415901ffffffff,2.0,0.0,0.0
8415903ffffffff,4.0,0.0,0.0
8415909ffffffff,2.0,0.0,0.0
8415929ffffffff,1.0,0.0,0.0
8415939ffffffff,1.0,0.0,0.0
84200a5ffffffff,2.0,0.0,0.0
84200a7ffffffff,1.0,1.0,0.0
84200adffffffff,3.0,3.0,0.0
842010dffffffff,3.0,0.0,0.0
842016bffffffff,4.0,0.0,0.0
8420185ffffffff,2.0,0.0,0.0
8420187ffffffff,11.0,4.0,0.0
8420193ffffffff,4.0,2.0,0.0
8420199ffffffff,4.0,4.0,0.0
84201a3ffffffff,1.0,0.0,0.0
84201abffffffff,1.0,0.0,0.0
8420361ffffffff,2.0,0.0,0.0
8420369ffffffff,2.0,0.0,0.0
84204a7ffffffff,5.0,0.0,0.0
8420593ffffffff,5.0,0.0,0.0
84205b9ffffffff,9.0,0.0,0.0
84205e9ffffffff,1.0,0.0,0.0
8420b11ffffffff,2.0,0.0,0.0
8420b13ffffffff,1.0,0.0,0.0
8420b15ffffffff,3.0,0.0,0.0
8420b17ffffffff,3.0,0.0,0.0
8420b3bffffffff,14.0,0.0,0.0
8420c0bffffffff,4.0,0.0,0.0
8420c89ffffffff,6.0,0.0,0.0
8420c8bffffffff,3.0,0.0,3.0
8420c8dffffffff,3.0,0.0,0.0
8420c9bffffffff,9.0,0.0,2.0
8420cd5ffffffff,5.0,0.0,2.0
8420cd7ffffffff,2.0,0.0,2.0
8420e07ffffffff,4.0,0.0,0.0
8420e21ffffffff,2.0,1.0,0.0
8420e39ffffffff,3.0,0.0,0.0
8420e45ffffffff,1.0,1.0,0.0
8420e69ffffffff,4.0,2.0,0.0
8420e93ffffffff,2.0,0.0,0.0
8420e9bffffffff,5.0,0.0,0.0
8420ee9ffffffff,2.0,0.0,0.0
8420f19ffffffff,2.0,0.0,0.0
8420f59ffffffff,1.0,0.0,0.0
8420f63ffffffff,1.0,0.0,0.0
8421567ffffffff,1.0,0.0,0.0
84218e5ffffffff,1.0,0.0,0.0
8421983ffffffff,11.0,0.0,0.0
84219d3ffffffff,6.0,0.0,0.0
84219e5ffffffff,2.0,0.0,0.0
8424001ffffffff,11.0,10.0,0.0
842400bffffffff,1.0,1.0,0.0
842400dffffffff,11.0,2.0,0.0
8424031ffffffff,3.0,0.0,0.0
8424037ffffffff,30.0,13.0,0.0
842403dffffffff,1.0,0.0,0.0
8424045ffffffff,1.0,0.0,0.0
8424047ffffffff,4.0,4.0,0.0
8424053ffffffff,2.0,2.0,0.0
8424055ffffffff,1.0,0.0,0.0
84240a3ffffffff,1.0,0.0,0.0
84240a9ffffffff,32.0,8.0,0.0
84240adffffffff,3.0,3.0,0.0
84240cdffffffff,4.0,0.0,0.0
84240d5ffffffff,3.0,1.0,0.0
84240e1ffffffff,8.0,4.0,0.0
84240e5ffffffff,3.0,0.0,0.0
84240e7ffffffff,3.0,1.0,0.0
842411bffffffff,1.0,0.0,0.0
84241c9ffffffff,2.0,2.0,0.0
84241d9ffffffff,4.0,0.0,0.0
842428bffffffff,1.0,1.0,0.0
842428dffffffff,2.0,0.0,0.0
84242d3ffffffff,2.0,0.0,0.0
8424311ffffffff,14.0,2.0,0.0
8424319ffffffff,1.0,0.0,0.0
8424367ffffffff,2.0,0.0,0.0
8424463ffffffff,1.0,0.0,0.0
8424467ffffffff,14.0,0.0,0.0
84244b7ffffffff,1.0,0.0,0.0
8424505ffffffff,9.0,0.0,0.0
842450dffffffff,3.0,0.0,0.0
842451dffffffff,4.0,0.0,0.0
8424529ffffffff,10.0,0.0,0.0
842452dffffffff,4.0,0.0,0.0
8424563ffffffff,2.0,0.0,0.0
8424567ffffffff,17.0,4.0,0.0
842456bffffffff,2.0,2.0,0.0
842460dffffffff,16.0,0.0,0.0
8424631ffffffff,4.0,0.0,0.0
8424661ffffffff,1.0,0.0,0.0
842469bffffffff,3.0,0.0,0.0
84246c3ffffffff,1.0,0.0,0.0
842474dffffffff,1.0,0.0,0.0
842476dffffffff,14.0,1.0,0.0
8424829ffffffff,14.0,0.0,5.0
842482bffffffff,2.0,0.0,0.0
8424831ffffffff,1.0,0.0,0.0
8424833ffffffff,1.0,0.0,0.0
8424835ffffffff,4.0,0.0,0.0
8424837ffffffff,5.0,0.0,0.0
84248a5ffffffff,4.0,0.0,0.0
84248e5ffffffff,3.0,0.0,0.0
8424941ffffffff,2.0,0.0,2.0
8424943ffffffff,6.0,0.0,0.0
8424949ffffffff,2.0,0.0,0.0
84249cbffffffff,3.0,0.0,3.0
84249d9ffffffff,14.0,0.0,0.0
8424c61ffffffff,2.0,0.0,0.0
8424c63ffffffff,2.0,0.0,0.0
8424d19ffffffff,1.0,0.0,0.0
8424d51ffffffff,1.0,0.0,0.0
8424d57ffffffff,1.0,0.0,0.0
8424d5dffffffff,2.0,0.0,0.0
8424e41ffffffff,2.0,2.0,0.0
8425001ffffffff,4.0,0.0,0.0
8425003ffffffff,2.0,0.0,0.0
8425009ffffffff,2.0,0.0,0.0
842500bffffffff,2.0,0.0,0.0
8425023ffffffff,8.0,0.0,0.0
842502bffffffff,2.0,0.0,0.0
8425105ffffffff,6.0,0.0,0.0
842510dffffffff,4.0,0.0,0.0
8425115ffffffff,5.0,0.0,0.0
8425121ffffffff,1.0,0.0,0.0
8425123ffffffff,24.0,2.0,0.0
842512bffffffff,40.0,6.0,0.0
842512dffffffff,2.0,0.0,0.0
8425131ffffffff,1.0,0.0,0.0
8425135ffffffff,24.0,5.0,0.0
8425139ffffffff,4.0,0.0,0.0
842513dffffffff,2.0,0.0,0.0
8425145ffffffff,9.0,0.0,0.0
842515dffffffff,5.0,0.0,0.0
8425161ffffffff,2.0,0.0,0.0
8425163ffffffff,2.0,0.0,0.0
8425169ffffffff,6.0,0.0,0.0
842516bffffffff,2.0,0.0,0.0
84251b3ffffffff,1.0,0.0,0.0
84251b7ffffffff,1.0,0.0,0.0
84251d5ffffffff,2.0,0.0,0.0
84251e5ffffffff,1.0,0.0,0.0
8425403ffffffff,3.0,0.0,0.0
8425407ffffffff,5.0,0.0,0.0
84255a3ffffffff,4.0,2.0,0.0
84255a7ffffffff,4.0,0.0,0.0
84256e3ffffffff,2.0,0.0,0.0
842596dffffffff,6.0,0.0,0.0
8425a33ffffffff,6.0,0.0,0.0
8425a4dffffffff,9.0,0.0,0.0
8425aabffffffff,2.0,0.0,0.0
8425ac3ffffffff,2.0,2.0,0.0
8425ac9ffffffff,104.0,30.0,0.0
8425acbffffffff,2.0,0.0,0.0
8425ae7ffffffff,1.0,0.0,0.0
8425ae9ffffffff,11.0,1.0,0.0
8425b03ffffffff,2.0,0.0,0.0
8425b07ffffffff,5.0,0.0,0.0
8425b0dffffffff,2.0,0.0,0.0
8425b1dffffffff,2.0,0.0,0.0
842c831ffffffff,5.0,5.0,0.0
842c833ffffffff,25.0,3.0,0.0
842c835ffffffff,11.0,0.0,0.0
842c837ffffffff,3.0,0.0,0.0
842c895ffffffff,2.0,0.0,0.0
842c8d7ffffffff,8.0,0.0,0.0
842c8e5ffffffff,2.0,2.0,0.0
842c8edffffffff,8.0,0.0,0.0
842c903ffffffff,187.0,110.0,0.0
842c911ffffffff,2.0,2.0,0.0
842c915ffffffff,54.0,36.0,0.0
842c917ffffffff,16.0,7.0,0.0
842c931ffffffff,87.0,66.0,0.0
842c933ffffffff,104.0,69.0,0.0
842c935ffffffff,55.0,36.0,0.0
842c937ffffffff,25.0,7.0,0.0
842c939ffffffff,1.0,0.0,0.0
842c93bffffffff,1150.0,704.0,0.0
842c93dffffffff,3.0,2.0,0.0
842c985ffffffff,1.0,0.0,0.0
842c987ffffffff,3.0,3.0,0.0
842c98dffffffff,1.0,0.0,0.0
842c9abffffffff,1.0,0.0,0.0
842c9b9ffffffff,2.0,0.0,0.0
842c9c5ffffffff,1.0,0.0,0.0
842c9c9ffffffff,19.0,3.0,0.0
842c9cbffffffff,4.0,0.0,0.0
842c9d9ffffffff,8.0,0.0,0.0
842c9e9ffffffff,6.0,6.0,0.0
842c9edffffffff,2.0,2.0,0.0
842ca4dffffffff,13.0,0.0,0.0
842cac1ffffffff,2.0,0.0,0.0
842cac3ffffffff,2.0,0.0,0.0
842cac9ffffffff,2.0,0.0,0.0
842cc03ffffffff,3.0,0.0,0.0
842cc05ffffffff,9.0,2.0,0.0
842cc07ffffffff,6.0,0.0,0.0
842cc15ffffffff,3.0,0.0,0.0
842cc21ffffffff,1.0,0.0,0.0
842cc2dffffffff,12.0,0.0,0.0
842cc35ffffffff,2.0,0.0,0.0
842cc37ffffffff,2.0,0.0,0.0
842cc3dffffffff,4.0,2.0,0.0
842cc67ffffffff,5.0,3.0,0.0
842cc6bffffffff,2.0,0.0,0.0
842ccb1ffffffff,9.0,0.0,0.0
842cce1ffffffff,1.0,0.0,0.0
842cd45ffffffff,2.0,2.0,0.0
842cd49ffffffff,1.0,0.0,0.0
842cd4bffffffff,27.0,2.0,0.0
842cd53ffffffff,2.0,0.0,0.0
842cd5bffffffff,3.0,0.0,0.0
842cd5dffffffff,3.0,0.0,0.0
842cd93ffffffff,2.0,0.0,0.0
842cd9bffffffff,2.0,0.0,0.0
842cdcbffffffff,3.0,0.0,0.0
842cdd1ffffffff,2.0,0.0,0.0
842cdd5ffffffff,18.0,0.0,0.0
842cdd7ffffffff,2.0,0.0,0.0
842cf03ffffffff,2.0,0.0,0.0
842cf07ffffffff,19.0,0.0,0.0
842cf15ffffffff,2.0,0.0,0.0
842cf27ffffffff,16.0,2.0,0.0
842cf31ffffffff,9.0,3.0,0.0
842cf35ffffffff,126.0,20.0,0.0
842cf37ffffffff,7.0,0.0,0.0
842cf3dffffffff,1.0,0.0,0.0
842cf5bffffffff,2.0,0.0,0.0
842cf5dffffffff,2.0,0.0,0.0
842db03ffffffff,61.0,23.0,0.0
842db63ffffffff,3.0,3.0,0.0
8431265ffffffff,4.0,1.0,0.0
843ca41ffffffff,1.0,0.0,0.0
843ca67ffffffff,2.0,0.0,0.0
843cb5dffffffff,5.0,0.0,0.0
843cb6dffffffff,1.0,0.0,0.0
843d10dffffffff,3.0,0.0,0.0
843d145ffffffff,2.0,0.0,0.0
843d167ffffffff,1.0,0.0,0.0
843d325ffffffff,16.0,0.0,0.0
843d611ffffffff,4.0,0.0,0.0
843d61bffffffff,2.0,0.0,0.0
843d6c3ffffffff,2.0,0.0,0.0
843d80bffffffff,2.0,0.0,0.0
843d817ffffffff,4.0,0.0,0.0
843d839ffffffff,2.0,0.0,0.0
843d841ffffffff,2.0,0.0,0.0
843d845ffffffff,7.0,0.0,0.0
843d847ffffffff,1.0,0.0,0.0
843d84dffffffff,4.0,0.0,0.0
843d851ffffffff,17.0,0.0,0.0
843d853ffffffff,9.0,0.0,0.0
843d859ffffffff,6.0,0.0,0.0
843d85dffffffff,1.0,0.0,0.0
843d861ffffffff,3.0,0.0,0.0
843d863ffffffff,1.0,0.0,0.0
843d911ffffffff,1.0,0.0,0.0
843d915ffffffff,9.0,0.0,0.0
843d927ffffffff,2.0,0.0,0.0
843d929ffffffff,9.0,0.0,0.0
843d943ffffffff,4.0,0.0,0.0
843d965ffffffff,1.0,0.0,0.0
843d967ffffffff,12.0,0.0,0.0
843d96dffffffff,8.0,0.0,0.0
843d987ffffffff,31.0,0.0,0.0
843d98bffffffff,3.0,0.0,0.0
843d993ffffffff,9.0,0.0,0.0
843d9b1ffffffff,1.0,0.0,0.0
843d9b7ffffffff,17.0,0.0,0.0
843d9b9ffffffff,5.0,0.0,0.0
843d9e5ffffffff,10.0,0.0,0.0
843d9edffffffff,2.0,0.0,0.0
843da0bffffffff,8.0,0.0,0.0
843da0dffffffff,2.0,0.0,0.0
843da11ffffffff,187.0,0.0,0.0
843da13ffffffff,51.0,0.0,0.0
843da15ffffffff,6.0,0.0,0.0
843da17ffffffff,5.0,0.0,0.0
843da19ffffffff,43.0,0.0,0.0
843da1bffffffff,48.0,0.0,0.0
843da1dffffffff,490.0,0.0,0.0
843da2dffffffff,5.0,0.0,0.0
843da33ffffffff,30.0,0.0,0.0
843da37ffffffff,120.0,0.0,0.0
843da43ffffffff,2.0,0.0,0.0
843da53ffffffff,3.0,0.0,0.0
843da57ffffffff,45.0,0.0,0.0
843da59ffffffff,4.0,0.0,0.0
843da63ffffffff,12.0,0.0,0.0
843da69ffffffff,145.0,0.0,0.0
843da6dffffffff,3.0,0.0,0.0
843daa5ffffffff,11.0,0.0,0.0
843dae1ffffffff,2.0,0.0,0.0
843dae7ffffffff,2.0,0.0,0.0
843db09ffffffff,2.0,0.0,0.0
843db0bffffffff,1.0,0.0,0.0
843db13ffffffff,18.0,0.0,0.0
843db23ffffffff,2.0,0.0,0.0
843db25ffffffff,5.0,0.0,0.0
843db29ffffffff,13.0,0.0,0.0
843db2dffffffff,31.0,0.0,0.0
843db33ffffffff,1.0,0.0,0.0
843db35ffffffff,10.0,0.0,0.0
843db37ffffffff,1.0,0.0,0.0
843db3bffffffff,3.0,0.0,0.0
843db3dffffffff,1.0,0.0,0.0
843db49ffffffff,2.0,0.0,0.0
843db4dffffffff,4.0,0.0,0.0
843db57ffffffff,1.0,0.0,0.0
843db5bffffffff,5.0,0.0,0.0
843db63ffffffff,5.0,0.0,0.0
843db67ffffffff,16.0,0.0,0.0
843db6dffffffff,3.0,0.0,0.0
843e5b9ffffffff,3.0,0.0,0.0
843e689ffffffff,25.0,17.0,0.0
843e6c3ffffffff,5.0,0.0,0.0
844206dffffffff,3.0,0.0,0.0
84420a7ffffffff,1.0,0.0,0.0
8442193ffffffff,1.0,0.0,0.0
8442221ffffffff,6.0,0.0,0.0
8442253ffffffff,9.0,0.0,0.0
8442305ffffffff,2.0,0.0,0.0
844231dffffffff,4.0,4.0,0.0
8442357ffffffff,7.0,0.0,0.0
8442481ffffffff,6.0,0.0,0.0
8442493ffffffff,11.0,0.0,0.0
8442499ffffffff,13.0,0.0,0.0
844249bffffffff,4.0,0.0,0.0
844249dffffffff,3.0,0.0,0.0
84424a1ffffffff,4.0,0.0,0.0
84424d3ffffffff,1.0,0.0,0.0
8442515ffffffff,29.0,0.0,0.0
8442531ffffffff,171.0,0.0,0.0
8442533ffffffff,69.0,0.0,0.0
8442545ffffffff,9.0,0.0,0.0
8442569ffffffff,3.0,0.0,0.0
8442581ffffffff,1.0,0.0,0.0
8442585ffffffff,2.0,0.0,0.0
844258bffffffff,8.0,0.0,0.0
844259dffffffff,38.0,0.0,0.0
84425a5ffffffff,4.0,0.0,0.0
84425a7ffffffff,8.0,0.0,0.0
84425a9ffffffff,4.0,0.0,0.0
84425abffffffff,4.0,0.0,0.0
84425e7ffffffff,1.0,0.0,0.0
8442697ffffffff,8.0,0.0,0.0
8442c01ffffffff,175.0,0.0,0.0
8442c05ffffffff,7.0,0.0,0.0
8442c07ffffffff,15.0,0.0,0.0
8442c09ffffffff,3.0,0.0,0.0
8442c0bffffffff,4.0,0.0,0.0
8442c0dffffffff,73.0,0.0,0.0
8442c11ffffffff,11.0,0.0,0.0
8442c13ffffffff,502.0,0.0,0.0
8442c15ffffffff,2.0,0.0,0.0
8442c17ffffffff,1.0,0.0,0.0
8442c19ffffffff,7.0,0.0,0.0
8442c1bffffffff,92.0,0.0,0.0
8442c1dffffffff,9.0,0.0,0.0
8442c25ffffffff,10.0,0.0,0.0
8442c27ffffffff,3.0,0.0,0.0
8442c29ffffffff,2.0,0.0,0.0
8442c2bffffffff,4.0,0.0,0.0
8442c2dffffffff,94.0,0.0,0.0
8442c31ffffffff,8.0,0.0,0.0
