cell_id,Microcerculus marginatus,Microcerculus marginatus luscinia,Microcerculus marginatus taeniatus/occidentalis,Microcerculus marginatus [marginatus Group]
846601bffffffff,22.0,0.0,0.0,1.0
8466027ffffffff,1.0,0.0,0.0,0.0
8466037ffffffff,2.0,0.0,0.0,0.0
8466057ffffffff,2.0,0.0,0.0,0.0
846606bffffffff,5.0,0.0,0.0,0.0
8466085ffffffff,4.0,0.0,0.0,0.0
8466089ffffffff,48.0,0.0,0.0,0.0
846608dffffffff,251.0,0.0,0.0,6.0
8466091ffffffff,2.0,0.0,0.0,0.0
8466097ffffffff,10.0,0.0,0.0,0.0
8466099ffffffff,15.0,0.0,0.0,0.0
84660a1ffffffff,22.0,0.0,0.0,0.0
84660a3ffffffff,10.0,0.0,0.0,0.0
84660a5ffffffff,2.0,0.0,0.0,0.0
84660a7ffffffff,539.0,0.0,0.0,10.0
84660a9ffffffff,2.0,0.0,0.0,0.0
84660b3ffffffff,2.0,0.0,0.0,0.0
84660b5ffffffff,1.0,0.0,0.0,0.0
84660c1ffffffff,9.0,0.0,0.0,0.0
84660c7ffffffff,44.0,0.0,0.0,0.0
84660cbffffffff,21.0,0.0,0.0,0.0
84660d1ffffffff,15.0,0.0,0.0,0.0
84660d3ffffffff,7.0,0.0,0.0,0.0
84660d9ffffffff,3.0,0.0,0.0,0.0
84660e5ffffffff,8.0,0.0,0.0,0.0
8466105ffffffff,5.0,0.0,0.0,0.0
8466107ffffffff,98.0,14.0,0.0,0.0
8466111ffffffff,3.0,0.0,0.0,0.0
8466113ffffffff,41.0,0.0,0.0,0.0
846611bffffffff,1.0,0.0,0.0,0.0
846611dffffffff,2.0,0.0,0.0,0.0
8466129ffffffff,18.0,0.0,0.0,0.0
8466131ffffffff,90.0,24.0,0.0,0.0
8466135ffffffff,7.0,3.0,0.0,0.0
8466139ffffffff,176.0,34.0,0.0,0.0
846613bffffffff,8.0,0.0,0.0,0.0
846613dffffffff,6.0,0.0,0.0,0.0
8466163ffffffff,133.0,17.0,0.0,0.0
8466165ffffffff,262.0,58.0,0.0,0.0
8466167ffffffff,13.0,3.0,0.0,0.0
8466191ffffffff,169.0,0.0,0.0,0.0
8466193ffffffff,924.0,0.0,0.0,18.0
8466197ffffffff,78.0,0.0,0.0,0.0
8466199ffffffff,105.0,0.0,0.0,0.0
846619bffffffff,715.0,0.0,0.0,43.0
846619dffffffff,15.0,0.0,0.0,0.0
84661a5ffffffff,103.0,0.0,3.0,0.0
84661a7ffffffff,54.0,0.0,0.0,0.0
84661adffffffff,69.0,0.0,1.0,0.0
84661b1ffffffff,662.0,0.0,0.0,0.0
84661b3ffffffff,343.0,0.0,0.0,0.0
84661b5ffffffff,2.0,0.0,0.0,0.0
84661b7ffffffff,27.0,0.0,0.0,0.0
84661b9ffffffff,1.0,0.0,0.0,0.0
84661bbffffffff,66.0,0.0,0.0,0.0
84661bdffffffff,26.0,0.0,0.0,0.0
84661c1ffffffff,5.0,0.0,0.0,0.0
84661c3ffffffff,18.0,0.0,0.0,0.0
84661c5ffffffff,3.0,0.0,0.0,0.0
84661c9ffffffff,9.0,0.0,0.0,0.0
84661cbffffffff,23.0,0.0,0.0,0.0
84661cdffffffff,133.0,0.0,0.0,0.0
84661d1ffffffff,212.0,0.0,0.0,13.0
84661d3ffffffff,12.0,0.0,0.0,0.0
84661d5ffffffff,1.0,0.0,0.0,0.0
84661d7ffffffff,19.0,0.0,0.0,0.0
84661d9ffffffff,4.0,0.0,0.0,0.0
84661dbffffffff,3.0,0.0,0.0,0.0
84661ddffffffff,47.0,0.0,0.0,0.0
84661ebffffffff,139.0,0.0,0.0,0.0
8466203ffffffff,8.0,0.0,0.0,0.0
8466205ffffffff,61.0,11.0,0.0,0.0
8466207ffffffff,6.0,0.0,0.0,1.0
8466211ffffffff,9.0,0.0,0.0,0.0
8466213ffffffff,15.0,0.0,0.0,0.0
8466217ffffffff,24.0,0.0,0.0,0.0
8466221ffffffff,6.0,0.0,0.0,0.0
8466227ffffffff,2.0,0.0,0.0,0.0
846622bffffffff,145.0,0.0,0.0,10.0
846623dffffffff,2.0,0.0,0.0,0.0
8466291ffffffff,4.0,0.0,0.0,0.0
8466293ffffffff,3.0,0.0,0.0,0.0
846629bffffffff,6.0,0.0,0.0,0.0
846629dffffffff,19.0,0.0,0.0,0.0
84662b1ffffffff,1.0,0.0,0.0,0.0
84662b5ffffffff,9.0,0.0,0.0,0.0
84662b7ffffffff,8.0,0.0,0.0,0.0
84662d3ffffffff,50.0,0.0,0.0,0.0
84662d7ffffffff,1.0,0.0,0.0,0.0
84662d9ffffffff,1.0,0.0,0.0,0.0
84662dbffffffff,1.0,0.0,0.0,0.0
84662e1ffffffff,8.0,0.0,0.0,0.0
84662e5ffffffff,17.0,0.0,0.0,0.0
84662e9ffffffff,26.0,0.0,0.0,0.0
846631bffffffff,2.0,0.0,0.0,0.0
8466411ffffffff,6.0,0.0,0.0,0.0
846648dffffffff,2.0,0.0,0.0,0.0
84664e9ffffffff,4.0,0.0,0.0,0.0
8466565ffffffff,17.0,0.0,0.0,0.0
846656dffffffff,28.0,0.0,0.0,0.0
84665a3ffffffff,7.0,0.0,0.0,0.0
84665abffffffff,102.0,0.0,0.0,0.0
84665bdffffffff,259.0,0.0,0.0,0.0
84665e9ffffffff,1.0,0.0,0.0,0.0
846676dffffffff,3.0,0.0,0.0,0.0
8466a01ffffffff,140.0,2.0,0.0,0.0
8466a05ffffffff,42.0,0.0,0.0,0.0
8466a09ffffffff,16.0,0.0,0.0,0.0
8466a0bffffffff,746.0,75.0,0.0,0.0
8466a2dffffffff,21.0,1.0,0.0,0.0
8466a51ffffffff,304.0,36.0,0.0,0.0
8466a55ffffffff,32.0,3.0,0.0,0.0
8466a57ffffffff,484.0,28.0,0.0,0.0
8466a59ffffffff,20.0,0.0,0.0,0.0
8466a5bffffffff,431.0,58.0,0.0,0.0
8466a5dffffffff,40.0,11.0,0.0,0.0
8466a65ffffffff,2.0,0.0,0.0,0.0
8466a9bffffffff,12.0,0.0,0.0,0.0
8466b01ffffffff,69.0,0.0,0.0,0.0
8466b09ffffffff,160.0,0.0,0.0,0.0
8466b0bffffffff,323.0,0.0,0.0,0.0
8466b1dffffffff,6.0,0.0,0.0,0.0
8466b41ffffffff,551.0,0.0,0.0,0.0
8466b43ffffffff,207.0,0.0,0.0,0.0
8466b45ffffffff,139.0,0.0,0.0,0.0
8466b47ffffffff,102.0,0.0,0.0,0.0
8466b49ffffffff,1055.0,0.0,0.0,0.0
8466b4bffffffff,24.0,0.0,0.0,0.0
8466b4dffffffff,234.0,0.0,0.0,0.0
