cell_id,Treron calvus,Treron calvus [calvus Group],Treron calvus delalandii/granti
846ac03ffffffff,13.0,0.0,0.0
846ac0bffffffff,8.0,0.0,0.0
846ac93ffffffff,2.0,0.0,0.0
847a409ffffffff,1.0,1.0,0.0
847a41bffffffff,2.0,0.0,0.0
847a4d1ffffffff,2.0,0.0,0.0
847a609ffffffff,4.0,0.0,0.0
847a61dffffffff,2.0,0.0,0.0
847a657ffffffff,54.0,0.0,0.0
847b4c5ffffffff,9.0,0.0,0.0
847b4c7ffffffff,4.0,0.0,0.0
8482c0dffffffff,3.0,0.0,0.0
8496207ffffffff,3.0,0.0,0.0
8496263ffffffff,2.0,0.0,0.0
8496921ffffffff,2.0,0.0,0.0
84974abffffffff,2.0,2.0,0.0
84975ddffffffff,2.0,0.0,0.0
84ac865ffffffff,2.0,0.0,0.0
84ac8e7ffffffff,2.0,0.0,0.0
84bc549ffffffff,4.0,0.0,4.0
84bcc35ffffffff,1.0,0.0,1.0
84bcd05ffffffff,3.0,0.0,2.0
84bcd0bffffffff,2.0,0.0,2.0
84bcd0dffffffff,2.0,0.0,2.0
84bcd13ffffffff,2.0,0.0,2.0
84bcd21ffffffff,1.0,0.0,1.0
84bcd25ffffffff,2.0,0.0,2.0
84bcd27ffffffff,2.0,0.0,2.0
84bcd29ffffffff,29.0,0.0,26.0
84bcd63ffffffff,1.0,0.0,0.0
84bcd67ffffffff,2.0,0.0,2.0
84bcdc9ffffffff,2.0,0.0,0.0
84bcf29ffffffff,5.0,0.0,5.0
