cell_id,Phyllomyias griseiceps,Phyllomyias griseiceps griseiceps,Phyllomyias griseiceps cristatus,Phyllomyias griseiceps caucae,Phyllomyias griseiceps pallidiceps
835f40fffffffff,2.0,0.0,0.0,0.0,0.0
835f42fffffffff,2.0,0.0,0.0,0.0,0.0
835f4afffffffff,2.0,0.0,2.0,0.0,0.0
836616fffffffff,1.0,0.0,1.0,0.0,0.0
836619fffffffff,2.0,0.0,0.0,0.0,0.0
8366d3fffffffff,3.0,2.0,0.0,0.0,0.0
8366e6fffffffff,11.0,0.0,0.0,0.0,0.0
8366f1fffffffff,1.0,0.0,0.0,0.0,0.0
8366f5fffffffff,1.0,0.0,0.0,0.0,0.0
836741fffffffff,1.0,0.0,0.0,0.0,0.0
83674cfffffffff,1.0,0.0,0.0,0.0,0.0
83674efffffffff,10.0,0.0,0.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0,0.0,0.0
838ad8fffffffff,1.0,0.0,0.0,0.0,1.0
838b40fffffffff,2.0,0.0,0.0,0.0,0.0
838b69fffffffff,2.0,0.0,0.0,0.0,0.0
838f0dfffffffff,1.0,0.0,0.0,0.0,0.0
838f2afffffffff,1.0,1.0,0.0,0.0,0.0
838f4bfffffffff,7.0,0.0,0.0,0.0,0.0
