cell_id,Cyanocorax yncas,Cyanocorax yncas [luxuosus Group],Cyanocorax yncas [yncas Group]
8444249ffffffff,53.0,0.0,0.0
8445011ffffffff,66.0,0.0,0.0
8445013ffffffff,7.0,0.0,0.0
8445019ffffffff,135.0,0.0,0.0
844501bffffffff,45.0,1.0,0.0
8445053ffffffff,4.0,0.0,0.0
844505bffffffff,23.0,0.0,0.0
8445081ffffffff,23.0,0.0,0.0
8445083ffffffff,358.0,45.0,0.0
8445085ffffffff,202.0,24.0,0.0
8445087ffffffff,690.0,83.0,0.0
8445089ffffffff,12.0,0.0,0.0
844508bffffffff,9.0,2.0,0.0
844508dffffffff,103.0,2.0,0.0
8445091ffffffff,132.0,52.0,0.0
8445093ffffffff,103.0,43.0,0.0
8445095ffffffff,12.0,9.0,0.0
8445097ffffffff,24.0,11.0,0.0
8445099ffffffff,188.0,4.0,0.0
844509bffffffff,1463.0,623.0,0.0
844509dffffffff,25.0,4.0,0.0
84450a1ffffffff,866.0,33.0,0.0
84450a3ffffffff,260.0,27.0,0.0
84450a5ffffffff,327.0,34.0,0.0
84450a7ffffffff,174.0,6.0,0.0
84450a9ffffffff,74.0,8.0,0.0
84450abffffffff,144.0,9.0,0.0
84450adffffffff,22.0,0.0,0.0
84450b1ffffffff,291.0,28.0,0.0
84450b5ffffffff,263.0,21.0,0.0
84450b9ffffffff,83.0,6.0,0.0
84450bbffffffff,3.0,0.0,0.0
84450bdffffffff,253.0,34.0,0.0
84450c1ffffffff,22.0,1.0,0.0
84450c3ffffffff,6.0,0.0,0.0
84450c5ffffffff,55.0,0.0,0.0
84450c7ffffffff,17.0,2.0,0.0
84450c9ffffffff,5.0,0.0,0.0
84450cbffffffff,1.0,0.0,0.0
84450cdffffffff,42.0,11.0,0.0
84450d1ffffffff,49.0,29.0,0.0
84450d3ffffffff,475.0,183.0,0.0
84450d5ffffffff,103.0,60.0,0.0
84450d7ffffffff,40.0,2.0,0.0
84450d9ffffffff,4.0,0.0,0.0
84450dbffffffff,6.0,3.0,0.0
84450ddffffffff,27.0,14.0,0.0
84450e1ffffffff,15.0,0.0,0.0
84450e3ffffffff,847.0,17.0,0.0
84450ebffffffff,235.0,18.0,0.0
84450edffffffff,2.0,0.0,0.0
844519bffffffff,20.0,3.0,0.0
8445201ffffffff,12.0,0.0,0.0
8445203ffffffff,14.0,0.0,0.0
8445205ffffffff,109.0,0.0,0.0
8445207ffffffff,30.0,0.0,0.0
8445209ffffffff,24.0,0.0,0.0
844520dffffffff,79.0,0.0,0.0
8445213ffffffff,15.0,0.0,0.0
8445215ffffffff,10.0,0.0,0.0
8445217ffffffff,10.0,2.0,0.0
844521bffffffff,6.0,0.0,0.0
844521dffffffff,26.0,0.0,0.0
8445229ffffffff,3.0,0.0,0.0
844522bffffffff,16.0,0.0,0.0
8445233ffffffff,32.0,0.0,0.0
8445243ffffffff,29.0,0.0,0.0
8445255ffffffff,7.0,0.0,0.0
8445257ffffffff,25.0,0.0,0.0
8445263ffffffff,527.0,0.0,0.0
844526bffffffff,43.0,0.0,0.0
8445281ffffffff,10.0,0.0,0.0
8445283ffffffff,27.0,7.0,0.0
8445285ffffffff,14.0,0.0,0.0
8445287ffffffff,68.0,11.0,0.0
8445289ffffffff,194.0,0.0,0.0
844528dffffffff,6.0,0.0,0.0
8445291ffffffff,4.0,0.0,0.0
8445295ffffffff,1.0,0.0,0.0
8445297ffffffff,46.0,2.0,0.0
844529bffffffff,3.0,1.0,0.0
84452a1ffffffff,36.0,6.0,0.0
84452a3ffffffff,18.0,5.0,0.0
84452a5ffffffff,326.0,7.0,0.0
84452a7ffffffff,49.0,2.0,0.0
84452a9ffffffff,70.0,3.0,0.0
84452abffffffff,32.0,2.0,0.0
84452adffffffff,320.0,27.0,0.0
84452b3ffffffff,5.0,0.0,0.0
84452b5ffffffff,58.0,0.0,0.0
84452b7ffffffff,5.0,0.0,0.0
84452b9ffffffff,70.0,0.0,0.0
84452bdffffffff,331.0,40.0,0.0
84452c1ffffffff,17.0,0.0,0.0
84452c3ffffffff,236.0,9.0,0.0
84452c5ffffffff,20.0,4.0,0.0
84452c7ffffffff,447.0,8.0,0.0
84452c9ffffffff,4.0,0.0,0.0
84452cbffffffff,6.0,0.0,0.0
84452d5ffffffff,2.0,0.0,0.0
84452d7ffffffff,2.0,0.0,0.0
84452e1ffffffff,2456.0,89.0,0.0
84452e3ffffffff,17.0,0.0,0.0
84452e5ffffffff,341.0,36.0,0.0
84452e7ffffffff,28.0,0.0,0.0
84452e9ffffffff,46.0,1.0,0.0
84452ebffffffff,133.0,5.0,0.0
84452edffffffff,193.0,6.0,0.0
8445353ffffffff,20.0,0.0,0.0
