cell_id,Nesotriccus murinus,Nesotriccus murinus incomtus/eremonomus,Nesotriccus murinus murinus/wagae
845f299ffffffff,4.0,0.0,0.0
8466139ffffffff,2.0,2.0,0.0
846622bffffffff,1.0,1.0,0.0
8466a1dffffffff,3.0,3.0,0.0
8466a57ffffffff,1.0,1.0,0.0
8466b09ffffffff,1.0,1.0,0.0
8466b51ffffffff,51.0,51.0,0.0
8466b55ffffffff,5.0,5.0,0.0
8466c01ffffffff,10.0,10.0,0.0
8466c05ffffffff,2.0,0.0,0.0
8466c0dffffffff,3.0,0.0,0.0
8466c1dffffffff,2.0,2.0,0.0
8466c21ffffffff,7.0,7.0,0.0
8466c57ffffffff,1.0,1.0,0.0
8466c5dffffffff,7.0,0.0,0.0
8466d03ffffffff,3.0,3.0,0.0
8466d15ffffffff,31.0,31.0,0.0
8466d3bffffffff,5.0,5.0,0.0
8466da1ffffffff,2.0,0.0,0.0
8466dadffffffff,18.0,0.0,0.0
8466de1ffffffff,10.0,0.0,0.0
8466e63ffffffff,12.0,12.0,0.0
8466ec5ffffffff,1.0,1.0,0.0
8466ec7ffffffff,3.0,3.0,0.0
8467413ffffffff,1.0,1.0,0.0
84674cdffffffff,1.0,1.0,0.0
8467599ffffffff,1.0,1.0,0.0
84675cbffffffff,3.0,3.0,0.0
84675ebffffffff,5.0,5.0,0.0
8481339ffffffff,1.0,0.0,1.0
848adb1ffffffff,1.0,0.0,0.0
848b201ffffffff,20.0,0.0,20.0
848b203ffffffff,13.0,0.0,13.0
848b205ffffffff,7.0,0.0,7.0
848b207ffffffff,1.0,0.0,1.0
848b20bffffffff,15.0,0.0,15.0
848b20dffffffff,1.0,0.0,1.0
848b219ffffffff,1.0,0.0,1.0
848b229ffffffff,2.0,0.0,2.0
848b22dffffffff,9.0,0.0,9.0
848b261ffffffff,1.0,0.0,1.0
848b2cdffffffff,1.0,0.0,1.0
848b2ddffffffff,1.0,0.0,1.0
848b563ffffffff,1.0,0.0,1.0
848b611ffffffff,1.0,0.0,1.0
848b6cdffffffff,1.0,0.0,1.0
848b75dffffffff,2.0,0.0,2.0
848e643ffffffff,1.0,0.0,1.0
848f4b3ffffffff,6.0,0.0,6.0
84a9465ffffffff,52.0,0.0,52.0
84a946bffffffff,3.0,0.0,3.0
84a94c7ffffffff,2.0,0.0,2.0
84a94ddffffffff,2.0,0.0,2.0
84a953bffffffff,5.0,0.0,5.0
84a95a5ffffffff,1.0,0.0,1.0
84a9685ffffffff,4.0,0.0,4.0
84a96bbffffffff,2.0,0.0,2.0
84a96c5ffffffff,2.0,0.0,2.0
84a96e7ffffffff,3.0,0.0,3.0
84a973bffffffff,1.0,0.0,1.0
84b26d7ffffffff,2.0,0.0,2.0
84b3253ffffffff,2.0,0.0,2.0
84b325bffffffff,4.0,0.0,4.0
84b32c9ffffffff,2.0,0.0,2.0
84b3423ffffffff,4.0,0.0,4.0
84b3441ffffffff,1.0,0.0,1.0
84b34a5ffffffff,1.0,0.0,1.0
84b34dbffffffff,3.0,0.0,3.0
84b35c3ffffffff,2.0,0.0,2.0
84b35c5ffffffff,4.0,0.0,4.0
84b35e3ffffffff,1.0,0.0,1.0
84b3627ffffffff,3.0,0.0,3.0
