cell_id,Megascops kennicottii,Megascops kennicottii [kennicottii Group],Megascops kennicottii vinaceus,Megascops kennicottii suttoni
830c42fffffffff,24.0,0.0,0.0,0.0
830c45fffffffff,7.0,0.0,0.0,0.0
830c51fffffffff,2.0,0.0,0.0,0.0
830c73fffffffff,16.0,0.0,0.0,0.0
831280fffffffff,4.0,0.0,0.0,0.0
83128efffffffff,1.0,0.0,0.0,0.0
8312b4fffffffff,2.0,0.0,0.0,0.0
8312cafffffffff,1.0,0.0,0.0,0.0
8312cbfffffffff,8.0,0.0,0.0,0.0
8312cefffffffff,2.0,0.0,0.0,0.0
8312d0fffffffff,1.0,0.0,0.0,0.0
8312d8fffffffff,3.0,0.0,0.0,0.0
8312ddfffffffff,6.0,0.0,0.0,0.0
83139efffffffff,1.0,0.0,0.0,0.0
832681fffffffff,1.0,0.0,0.0,0.0
832682fffffffff,2.0,0.0,0.0,0.0
832688fffffffff,26.0,0.0,0.0,0.0
832689fffffffff,31.0,0.0,0.0,0.0
83268afffffffff,27.0,0.0,0.0,0.0
83268cfffffffff,57.0,0.0,0.0,0.0
83268efffffffff,2.0,0.0,0.0,0.0
832690fffffffff,8.0,0.0,0.0,0.0
832692fffffffff,4.0,0.0,0.0,0.0
832696fffffffff,60.0,0.0,0.0,0.0
832698fffffffff,22.0,0.0,0.0,0.0
83269afffffffff,2.0,0.0,0.0,0.0
83269cfffffffff,16.0,0.0,0.0,0.0
83269dfffffffff,1.0,0.0,0.0,0.0
8326b4fffffffff,1.0,0.0,0.0,0.0
8326d4fffffffff,1.0,0.0,0.0,0.0
8326f2fffffffff,20.0,0.0,0.0,0.0
832790fffffffff,4.0,2.0,0.0,0.0
832792fffffffff,3.0,0.0,0.0,0.0
832802fffffffff,11.0,1.0,0.0,0.0
832811fffffffff,2.0,0.0,0.0,0.0
832814fffffffff,10.0,0.0,0.0,0.0
832815fffffffff,2.0,0.0,0.0,0.0
83281efffffffff,23.0,0.0,0.0,0.0
832830fffffffff,19.0,0.0,0.0,0.0
832831fffffffff,2.0,0.0,0.0,0.0
832832fffffffff,10.0,0.0,0.0,0.0
832833fffffffff,3.0,0.0,0.0,0.0
832836fffffffff,17.0,0.0,0.0,0.0
832884fffffffff,5.0,0.0,0.0,0.0
832886fffffffff,2.0,0.0,0.0,0.0
83288afffffffff,1.0,0.0,0.0,0.0
832892fffffffff,25.0,0.0,0.0,0.0
832893fffffffff,7.0,0.0,0.0,0.0
83289afffffffff,2.0,0.0,0.0,0.0
83289dfffffffff,3.0,0.0,0.0,0.0
8328a9fffffffff,22.0,0.0,0.0,0.0
8328aefffffffff,5.0,0.0,0.0,0.0
8328c6fffffffff,2.0,0.0,0.0,0.0
8328d0fffffffff,2.0,0.0,0.0,0.0
8328d3fffffffff,6.0,0.0,0.0,0.0
8328d4fffffffff,5.0,0.0,0.0,0.0
8328d5fffffffff,19.0,0.0,0.0,0.0
8328dcfffffffff,6.0,2.0,0.0,0.0
8328defffffffff,6.0,0.0,0.0,0.0
8328f0fffffffff,20.0,0.0,0.0,0.0
8328f3fffffffff,3.0,0.0,0.0,0.0
8328f5fffffffff,3.0,0.0,0.0,0.0
832989fffffffff,1.0,0.0,0.0,0.0
83298cfffffffff,7.0,0.0,0.0,0.0
8329a0fffffffff,13.0,1.0,0.0,0.0
8329a1fffffffff,2.0,0.0,0.0,0.0
8329a4fffffffff,75.0,0.0,0.0,0.0
8329acfffffffff,1.0,0.0,0.0,0.0
8329b0fffffffff,2.0,0.0,0.0,0.0
8329b2fffffffff,2.0,0.0,0.0,0.0
8329b5fffffffff,5.0,0.0,0.0,0.0
83480afffffffff,2.0,0.0,0.0,0.0
834819fffffffff,1.0,0.0,0.0,0.0
83482efffffffff,1.0,0.0,0.0,0.0
83485bfffffffff,16.0,0.0,0.0,0.0
834888fffffffff,2.0,0.0,0.0,1.0
83488afffffffff,11.0,0.0,0.0,0.0
83488efffffffff,53.0,0.0,0.0,0.0
83489dfffffffff,4.0,0.0,0.0,0.0
8348a6fffffffff,1.0,0.0,0.0,1.0
8348abfffffffff,8.0,0.0,0.0,5.0
8348c1fffffffff,4.0,0.0,0.0,0.0
8348c3fffffffff,3.0,0.0,0.0,0.0
8348dbfffffffff,2.0,0.0,0.0,0.0
8348e3fffffffff,3.0,0.0,0.0,0.0
8348e8fffffffff,64.0,2.0,0.0,0.0
8348eafffffffff,3.0,0.0,0.0,0.0
8348ebfffffffff,2.0,0.0,0.0,0.0
8348ecfffffffff,18.0,0.0,0.0,0.0
8348eefffffffff,24.0,0.0,0.0,0.0
834986fffffffff,9.0,0.0,0.0,6.0
834995fffffffff,26.0,0.0,0.0,2.0
83499cfffffffff,3.0,0.0,0.0,0.0
8349b3fffffffff,11.0,0.0,0.0,0.0
