cell_id,Treron curvirostra,Treron curvirostra [curvirostra Group],Treron curvirostra hypothapsinus/smicrus
833c0afffffffff,2.0,0.0,0.0
833c19fffffffff,3.0,0.0,0.0
833c36fffffffff,2.0,0.0,0.0
833c52fffffffff,7.0,0.0,0.0
833c5afffffffff,7.0,0.0,0.0
833c88fffffffff,4.0,0.0,0.0
833c8cfffffffff,13.0,0.0,0.0
833ca9fffffffff,2.0,0.0,0.0
833cc0fffffffff,5.0,0.0,0.0
833cc1fffffffff,3.0,0.0,0.0
833cc5fffffffff,4.0,0.0,0.0
833ce4fffffffff,8.0,1.0,0.0
833ceafffffffff,2.0,0.0,0.0
833cecfffffffff,7.0,0.0,0.0
833cf2fffffffff,19.0,0.0,0.0
834103fffffffff,1.0,0.0,0.0
83411cfffffffff,7.0,0.0,0.0
834171fffffffff,1.0,0.0,0.0
8360b4fffffffff,11.0,0.0,0.0
836416fffffffff,33.0,3.0,0.0
836480fffffffff,1.0,0.0,0.0
83648cfffffffff,1.0,0.0,0.0
8364a3fffffffff,7.0,4.0,0.0
8364a4fffffffff,3.0,2.0,0.0
836500fffffffff,81.0,0.0,0.0
836502fffffffff,23.0,0.0,0.0
836503fffffffff,18.0,0.0,0.0
836505fffffffff,3.0,0.0,0.0
836518fffffffff,49.0,0.0,0.0
836519fffffffff,6.0,0.0,0.0
83651cfffffffff,1.0,0.0,0.0
83651dfffffffff,60.0,0.0,0.0
836520fffffffff,56.0,0.0,0.0
836522fffffffff,1.0,0.0,0.0
836526fffffffff,40.0,0.0,0.0
83658afffffffff,3.0,3.0,0.0
836599fffffffff,3.0,1.0,0.0
8365b0fffffffff,4.0,4.0,0.0
