cell_id,Thraupis episcopus,Thraupis episcopus [cana Group],Thraupis episcopus [episcopus Group]
8444249ffffffff,65.0,0.0,0.0
8445011ffffffff,8.0,0.0,0.0
8445013ffffffff,14.0,0.0,0.0
8445019ffffffff,19.0,0.0,0.0
844501bffffffff,50.0,0.0,0.0
8445053ffffffff,51.0,0.0,0.0
8445059ffffffff,80.0,0.0,0.0
844505bffffffff,433.0,28.0,0.0
8445081ffffffff,5.0,0.0,0.0
8445083ffffffff,88.0,0.0,0.0
8445085ffffffff,195.0,0.0,0.0
8445087ffffffff,125.0,0.0,0.0
8445089ffffffff,9.0,0.0,0.0
844508bffffffff,4.0,0.0,0.0
844508dffffffff,81.0,0.0,0.0
8445091ffffffff,18.0,0.0,0.0
8445093ffffffff,7.0,0.0,0.0
8445097ffffffff,15.0,0.0,0.0
8445099ffffffff,38.0,0.0,0.0
844509bffffffff,867.0,0.0,0.0
844509dffffffff,71.0,0.0,0.0
84450a1ffffffff,29.0,0.0,0.0
84450a3ffffffff,77.0,0.0,0.0
84450a5ffffffff,5.0,0.0,0.0
84450a7ffffffff,57.0,0.0,0.0
84450a9ffffffff,30.0,0.0,0.0
84450abffffffff,25.0,0.0,0.0
84450adffffffff,12.0,0.0,0.0
84450b1ffffffff,38.0,0.0,0.0
84450b5ffffffff,99.0,0.0,0.0
84450b9ffffffff,64.0,0.0,0.0
84450bbffffffff,1.0,0.0,0.0
84450bdffffffff,58.0,0.0,0.0
84450c1ffffffff,11.0,0.0,0.0
84450c3ffffffff,1.0,0.0,0.0
84450c5ffffffff,64.0,0.0,0.0
84450c7ffffffff,3.0,0.0,0.0
84450c9ffffffff,2.0,0.0,0.0
84450cbffffffff,2.0,0.0,0.0
84450cdffffffff,36.0,0.0,0.0
84450d1ffffffff,6.0,0.0,0.0
84450d3ffffffff,73.0,0.0,0.0
84450d5ffffffff,71.0,0.0,0.0
84450d7ffffffff,17.0,0.0,0.0
84450dbffffffff,4.0,0.0,0.0
84450ddffffffff,6.0,0.0,0.0
84450e1ffffffff,47.0,0.0,0.0
84450e3ffffffff,506.0,0.0,0.0
84450e9ffffffff,2.0,0.0,0.0
84450ebffffffff,128.0,0.0,0.0
844519bffffffff,11.0,0.0,0.0
8445201ffffffff,7.0,0.0,0.0
8445203ffffffff,113.0,0.0,0.0
8445205ffffffff,686.0,0.0,0.0
8445207ffffffff,560.0,0.0,0.0
8445209ffffffff,17.0,0.0,0.0
844520bffffffff,3.0,0.0,0.0
844520dffffffff,400.0,0.0,0.0
8445211ffffffff,13.0,0.0,0.0
8445213ffffffff,295.0,2.0,0.0
8445215ffffffff,1894.0,63.0,0.0
8445217ffffffff,476.0,10.0,0.0
8445219ffffffff,36.0,4.0,0.0
844521bffffffff,34.0,0.0,0.0
844521dffffffff,90.0,0.0,0.0
8445221ffffffff,367.0,0.0,0.0
8445225ffffffff,1104.0,0.0,0.0
8445229ffffffff,2.0,0.0,0.0
844522bffffffff,268.0,0.0,0.0
844522dffffffff,17.0,0.0,0.0
8445231ffffffff,93.0,4.0,0.0
8445233ffffffff,1036.0,53.0,0.0
844523bffffffff,308.0,0.0,0.0
8445243ffffffff,78.0,0.0,0.0
8445245ffffffff,5.0,0.0,0.0
8445247ffffffff,201.0,0.0,0.0
8445249ffffffff,46.0,0.0,0.0
844524bffffffff,20.0,0.0,0.0
844524dffffffff,17.0,0.0,0.0
8445251ffffffff,40.0,0.0,0.0
8445253ffffffff,22.0,1.0,0.0
8445255ffffffff,170.0,0.0,0.0
8445257ffffffff,104.0,0.0,0.0
844525bffffffff,43.0,12.0,0.0
844525dffffffff,8.0,0.0,0.0
8445261ffffffff,9.0,0.0,0.0
8445263ffffffff,702.0,0.0,0.0
8445267ffffffff,4.0,0.0,0.0
8445269ffffffff,29.0,0.0,0.0
844526bffffffff,807.0,0.0,0.0
844526dffffffff,2.0,0.0,0.0
8445285ffffffff,21.0,5.0,0.0
8445287ffffffff,12.0,0.0,0.0
8445289ffffffff,68.0,0.0,0.0
844528bffffffff,2.0,0.0,0.0
844528dffffffff,96.0,5.0,0.0
8445291ffffffff,8.0,0.0,0.0
8445293ffffffff,2.0,0.0,0.0
8445295ffffffff,14.0,0.0,0.0
8445297ffffffff,34.0,2.0,0.0
844529bffffffff,20.0,0.0,0.0
84452a1ffffffff,44.0,0.0,0.0
84452a3ffffffff,53.0,0.0,0.0
84452a5ffffffff,310.0,0.0,0.0
84452a7ffffffff,60.0,0.0,0.0
84452a9ffffffff,110.0,8.0,0.0
84452abffffffff,5.0,0.0,0.0
84452adffffffff,2132.0,112.0,0.0
84452b5ffffffff,42.0,2.0,0.0
84452b9ffffffff,20.0,4.0,0.0
84452bdffffffff,135.0,0.0,0.0
84452c1ffffffff,113.0,5.0,0.0
84452c3ffffffff,226.0,1.0,0.0
84452c5ffffffff,306.0,25.0,0.0
84452c7ffffffff,912.0,54.0,0.0
84452c9ffffffff,88.0,28.0,0.0
84452cbffffffff,31.0,0.0,0.0
84452cdffffffff,25.0,0.0,0.0
84452d5ffffffff,7.0,0.0,0.0
84452d9ffffffff,123.0,5.0,0.0
84452dbffffffff,26.0,0.0,0.0
84452ddffffffff,24.0,0.0,0.0
84452e1ffffffff,2954.0,94.0,0.0
84452e3ffffffff,161.0,11.0,0.0
84452e5ffffffff,1826.0,107.0,0.0
84452e7ffffffff,127.0,1.0,0.0
84452e9ffffffff,25.0,0.0,0.0
84452ebffffffff,432.0,8.0,0.0
84452edffffffff,90.0,2.0,0.0
8445303ffffffff,33.0,0.0,0.0
8445305ffffffff,8.0,0.0,0.0
8445307ffffffff,15.0,0.0,0.0
8445309ffffffff,2.0,0.0,0.0
844530dffffffff,10.0,0.0,0.0
8445313ffffffff,75.0,0.0,0.0
8445315ffffffff,6.0,0.0,0.0
8445317ffffffff,15.0,0.0,0.0
8445319ffffffff,140.0,0.0,0.0
844531bffffffff,28.0,0.0,0.0
844531dffffffff,6.0,0.0,0.0
8445321ffffffff,36.0,0.0,0.0
8445329ffffffff,2.0,0.0,0.0
844532bffffffff,166.0,0.0,0.0
844533bffffffff,116.0,0.0,0.0
8445341ffffffff,4.0,0.0,0.0
8445343ffffffff,106.0,0.0,0.0
8445345ffffffff,3.0,0.0,0.0
8445349ffffffff,13.0,0.0,0.0
844534bffffffff,10.0,0.0,0.0
844534dffffffff,13.0,0.0,0.0
8445351ffffffff,8.0,0.0,0.0
8445353ffffffff,97.0,0.0,0.0
8445355ffffffff,2.0,0.0,0.0
8445357ffffffff,55.0,0.0,0.0
844535dffffffff,2.0,0.0,0.0
8445363ffffffff,26.0,0.0,0.0
8445365ffffffff,63.0,0.0,0.0
8445367ffffffff,38.0,0.0,0.0
844536bffffffff,4.0,0.0,0.0
8445649ffffffff,29.0,0.0,0.0
84456dbffffffff,14.0,0.0,0.0
8445721ffffffff,100.0,0.0,0.0
8445723ffffffff,2.0,0.0,0.0
8445725ffffffff,26.0,0.0,0.0
8445727ffffffff,19.0,0.0,0.0
844572dffffffff,12.0,0.0,0.0
8445749ffffffff,232.0,0.0,0.0
844574dffffffff,7.0,0.0,0.0
8445761ffffffff,45.0,4.0,0.0
8445765ffffffff,7.0,0.0,0.0
8445767ffffffff,35.0,3.0,0.0
8445769ffffffff,6.0,5.0,0.0
8448a21ffffffff,28.0,0.0,0.0
8448b5bffffffff,3.0,0.0,0.0
8449901ffffffff,26.0,0.0,0.0
8449903ffffffff,4.0,0.0,0.0
8449905ffffffff,8.0,1.0,0.0
