cell_id,Psittacara holochlorus,Psittacara holochlorus holochlorus/brewsteri,Psittacara holochlorus rubritorquis
8445209ffffffff,21.0,0.0,3.0
8445241ffffffff,4.0,0.0,0.0
8445243ffffffff,64.0,0.0,29.0
8445245ffffffff,13.0,0.0,2.0
8445247ffffffff,105.0,0.0,68.0
8445249ffffffff,4.0,0.0,0.0
844524bffffffff,1.0,0.0,1.0
844524dffffffff,3.0,0.0,0.0
8445255ffffffff,79.0,0.0,53.0
844525dffffffff,2.0,0.0,2.0
8445265ffffffff,2.0,0.0,1.0
8445267ffffffff,5.0,0.0,5.0
8445269ffffffff,19.0,0.0,6.0
844526bffffffff,12.0,0.0,3.0
844526dffffffff,20.0,0.0,19.0
8445309ffffffff,24.0,0.0,15.0
844532bffffffff,1.0,0.0,0.0
8445343ffffffff,6.0,0.0,6.0
8445351ffffffff,243.0,0.0,158.0
8445353ffffffff,4.0,0.0,4.0
8445355ffffffff,18.0,0.0,18.0
8445357ffffffff,3.0,0.0,0.0
8445359ffffffff,5.0,0.0,4.0
844535bffffffff,4.0,0.0,4.0
844535dffffffff,4.0,0.0,3.0
84456dbffffffff,9.0,0.0,0.0
844880dffffffff,259.0,0.0,0.0
8448a05ffffffff,4.0,0.0,0.0
8448a07ffffffff,20.0,0.0,0.0
8448a21ffffffff,903.0,0.0,0.0
8448a29ffffffff,2.0,0.0,0.0
8448a2dffffffff,5.0,0.0,0.0
8448b13ffffffff,21.0,0.0,0.0
8448b15ffffffff,337.0,12.0,0.0
8448b17ffffffff,42.0,0.0,0.0
8448b23ffffffff,20.0,1.0,0.0
8448b2bffffffff,729.0,63.0,0.0
8448b39ffffffff,3835.0,243.0,0.0
8448b3dffffffff,1264.0,92.0,0.0
8448b5bffffffff,3.0,0.0,0.0
8449901ffffffff,2.0,0.0,0.0
8449903ffffffff,5.0,0.0,0.0
8449907ffffffff,1.0,0.0,0.0
8449913ffffffff,6.0,0.0,0.0
844991dffffffff,4.0,0.0,0.0
844992bffffffff,7.0,0.0,0.0
8449931ffffffff,1.0,0.0,0.0
844993dffffffff,3.0,0.0,0.0
8449981ffffffff,37.0,1.0,0.0
8449983ffffffff,1.0,0.0,0.0
8449985ffffffff,2.0,0.0,0.0
8449987ffffffff,104.0,0.0,0.0
844998dffffffff,2.0,0.0,0.0
84499b1ffffffff,43.0,0.0,0.0
84499b5ffffffff,3.0,0.0,0.0
84499b7ffffffff,1.0,0.0,0.0
84499bdffffffff,1.0,0.0,0.0
84499c5ffffffff,79.0,0.0,0.0
84499d1ffffffff,1.0,0.0,0.0
84499e3ffffffff,43.0,7.0,0.0
84499e7ffffffff,2.0,0.0,0.0
84499ebffffffff,50.0,0.0,0.0
846d049ffffffff,3.0,0.0,0.0
846d04bffffffff,2.0,0.0,0.0
846d059ffffffff,41.0,2.0,0.0
846d05bffffffff,11.0,3.0,0.0
846d069ffffffff,2.0,0.0,0.0
846d221ffffffff,2.0,0.0,0.0
846d223ffffffff,42.0,2.0,0.0
846d22bffffffff,1.0,0.0,0.0
846d231ffffffff,253.0,20.0,0.0
846d235ffffffff,12.0,4.0,0.0
846d239ffffffff,27.0,9.0,0.0
846d23bffffffff,14.0,4.0,0.0
846d23dffffffff,246.0,62.0,0.0
846d2e5ffffffff,110.0,56.0,0.0
846d313ffffffff,152.0,11.0,0.0
846d319ffffffff,118.0,49.0,0.0
846d31bffffffff,3.0,0.0,0.0
846d61bffffffff,2.0,0.0,0.0
846d641ffffffff,221.0,0.0,177.0
846d643ffffffff,15.0,0.0,1.0
846d645ffffffff,277.0,0.0,223.0
846d647ffffffff,1.0,0.0,1.0
846d64bffffffff,66.0,0.0,66.0
846d64dffffffff,12.0,0.0,7.0
846d651ffffffff,43.0,0.0,7.0
846d653ffffffff,11.0,0.0,0.0
846d65dffffffff,44.0,0.0,25.0
846d669ffffffff,7.0,0.0,2.0
846d66dffffffff,105.0,0.0,53.0
846d741ffffffff,2.0,0.0,2.0
846d743ffffffff,3.0,0.0,0.0
846d74bffffffff,28.0,0.0,11.0
846d75dffffffff,3.0,0.0,0.0
