cell_id,Setophaga dominica,Setophaga dominica albilora,Setophaga dominica dominica/stoddardi
820e4ffffffffff,10.0,2.0,0.0
820e87fffffffff,1.0,0.0,0.0
820ecffffffffff,1.0,0.0,1.0
82125ffffffffff,2.0,0.0,0.0
8212effffffffff,14.0,0.0,0.0
821aa7fffffffff,72.0,0.0,0.0
822607fffffffff,2.0,0.0,0.0
82260ffffffffff,120.0,8.0,0.0
82262ffffffffff,37.0,0.0,0.0
822647fffffffff,52.0,1.0,0.0
82264ffffffffff,156.0,6.0,0.0
822657fffffffff,66.0,24.0,0.0
82265ffffffffff,48.0,0.0,0.0
822667fffffffff,121.0,4.0,0.0
82266ffffffffff,26.0,0.0,0.0
822677fffffffff,37.0,0.0,0.0
822687fffffffff,61.0,2.0,0.0
82268ffffffffff,229.0,10.0,3.0
82269ffffffffff,12.0,3.0,0.0
8226affffffffff,13.0,0.0,0.0
8226c7fffffffff,50.0,3.0,0.0
8226cffffffffff,51.0,0.0,0.0
8226dffffffffff,7.0,3.0,0.0
8226e7fffffffff,36.0,0.0,0.0
8226effffffffff,43.0,1.0,0.0
8226f7fffffffff,23.0,2.0,0.0
822707fffffffff,2.0,0.0,0.0
822717fffffffff,2.0,0.0,0.0
82271ffffffffff,2.0,0.0,0.0
822747fffffffff,15.0,0.0,0.0
82274ffffffffff,219.0,0.0,0.0
822757fffffffff,84.0,3.0,0.0
82275ffffffffff,397.0,3.0,0.0
822767fffffffff,8.0,0.0,0.0
82276ffffffffff,13.0,0.0,0.0
8227a7fffffffff,3.0,0.0,0.0
822807fffffffff,17.0,2.0,0.0
82281ffffffffff,15.0,0.0,0.0
822837fffffffff,140.0,24.0,4.0
822887fffffffff,28.0,0.0,0.0
822897fffffffff,2.0,0.0,0.0
8228affffffffff,6.0,0.0,0.0
8228b7fffffffff,5.0,0.0,0.0
8228d7fffffffff,2.0,0.0,0.0
8228f7fffffffff,96.0,6.0,0.0
822917fffffffff,7.0,0.0,0.0
82291ffffffffff,5.0,3.0,0.0
822987fffffffff,8.0,0.0,0.0
82298ffffffffff,3.0,0.0,0.0
822997fffffffff,4.0,0.0,0.0
8229a7fffffffff,128.0,27.0,0.0
8229affffffffff,17.0,3.0,0.0
8229b7fffffffff,33.0,5.0,0.0
822a07fffffffff,5.0,0.0,0.0
822a17fffffffff,808.0,8.0,11.0
822a37fffffffff,368.0,31.0,16.0
822a4ffffffffff,3.0,0.0,0.0
822a87fffffffff,241.0,21.0,0.0
822a8ffffffffff,206.0,38.0,4.0
822a97fffffffff,124.0,0.0,0.0
822a9ffffffffff,62.0,13.0,0.0
