cell_id,Cormobates leucophaea,Cormobates leucophaea minor,Cormobates leucophaea [leucophaea Group]
839c21fffffffff,2.0,2.0,0.0
839c23fffffffff,1.0,0.0,0.0
839d0cfffffffff,2.0,0.0,0.0
839d2afffffffff,5.0,0.0,0.0
839d2dfffffffff,1.0,0.0,0.0
83be08fffffffff,2.0,0.0,0.0
83be0cfffffffff,2.0,0.0,0.0
83be19fffffffff,3.0,0.0,0.0
83be1dfffffffff,1.0,0.0,0.0
83be4cfffffffff,2.0,0.0,0.0
83be62fffffffff,3.0,0.0,0.0
83be63fffffffff,4.0,0.0,2.0
83be6afffffffff,3.0,0.0,0.0
83be71fffffffff,1.0,0.0,1.0
83be72fffffffff,11.0,0.0,1.0
83beabfffffffff,2.0,0.0,2.0
83bef6fffffffff,2.0,0.0,0.0
