cell_id,Pogonornis minor,Pogonornis minor minor,Pogonornis minor macclounii
828237fffffffff,5.0,0.0,0.0
8282a7fffffffff,9.0,1.0,0.0
828317fffffffff,10.0,0.0,0.0
828337fffffffff,4.0,0.0,0.0
8283a7fffffffff,5.0,0.0,0.0
829607fffffffff,118.0,0.0,32.0
82960ffffffffff,36.0,0.0,4.0
829617fffffffff,40.0,0.0,4.0
82961ffffffffff,4.0,0.0,0.0
829627fffffffff,30.0,0.0,0.0
82962ffffffffff,71.0,0.0,6.0
829637fffffffff,2.0,0.0,0.0
829657fffffffff,1.0,0.0,0.0
829677fffffffff,2.0,0.0,0.0
8296a7fffffffff,10.0,0.0,0.0
8296affffffffff,3.0,0.0,0.0
