cell_id,Ortygornis sephaena,Ortygornis sephaena rovuma,Ortygornis sephaena [sephaena Group]
826a4ffffffffff,39.0,0.0,0.0
826a5ffffffffff,240.0,0.0,3.0
826ac7fffffffff,269.0,0.0,45.0
826acffffffffff,677.0,0.0,63.0
826adffffffffff,12.0,0.0,0.0
826aeffffffffff,216.0,0.0,14.0
827a47fffffffff,710.0,0.0,0.0
827a4ffffffffff,290.0,0.0,2.0
827a57fffffffff,9.0,0.0,0.0
827a5ffffffffff,14.0,0.0,0.0
827a67fffffffff,971.0,0.0,2.0
827a6ffffffffff,418.0,0.0,0.0
827a77fffffffff,6.0,0.0,0.0
827ac7fffffffff,2.0,0.0,0.0
827acffffffffff,120.0,0.0,7.0
827adffffffffff,138.0,0.0,17.0
827aeffffffffff,184.0,0.0,9.0
827b4ffffffffff,28.0,0.0,0.0
827b5ffffffffff,92.0,0.0,0.0
827b6ffffffffff,11.0,0.0,0.0
828327fffffffff,3.0,0.0,0.0
829627fffffffff,91.0,0.0,13.0
82962ffffffffff,18.0,0.0,10.0
829667fffffffff,1.0,0.0,0.0
829687fffffffff,2.0,0.0,0.0
829697fffffffff,827.0,0.0,18.0
82969ffffffffff,1.0,0.0,0.0
8296a7fffffffff,23.0,0.0,0.0
8296b7fffffffff,109.0,0.0,0.0
829707fffffffff,19.0,0.0,0.0
82970ffffffffff,9.0,0.0,0.0
829717fffffffff,49.0,4.0,0.0
829727fffffffff,39.0,0.0,12.0
82972ffffffffff,519.0,0.0,118.0
829737fffffffff,9.0,0.0,0.0
829747fffffffff,208.0,0.0,3.0
82974ffffffffff,172.0,0.0,39.0
829757fffffffff,74.0,0.0,7.0
82975ffffffffff,293.0,0.0,16.0
82976ffffffffff,3.0,0.0,0.0
829777fffffffff,51.0,0.0,2.0
82978ffffffffff,1.0,0.0,0.0
82979ffffffffff,5.0,0.0,0.0
8297affffffffff,2.0,0.0,0.0
82ac87fffffffff,121.0,0.0,45.0
82ac97fffffffff,19.0,0.0,2.0
82aca7fffffffff,2.0,0.0,0.0
82acb7fffffffff,36.0,0.0,0.0
82bc8ffffffffff,95.0,0.0,21.0
82bcc7fffffffff,10.0,0.0,2.0
82bccffffffffff,17.0,0.0,0.0
82bcd7fffffffff,2140.0,0.0,344.0
82bcdffffffffff,770.0,0.0,142.0
82bcf7fffffffff,850.0,0.0,178.0
