cell_id,Treron calvus,Treron calvus [calvus Group],Treron calvus delalandii/granti
838313fffffffff,6.0,2.0,0.0
838315fffffffff,7.0,3.0,0.0
83831efffffffff,5.0,0.0,0.0
838320fffffffff,5.0,0.0,0.0
838331fffffffff,1.0,0.0,0.0
838333fffffffff,8.0,3.0,0.0
83838afffffffff,4.0,4.0,0.0
838398fffffffff,22.0,0.0,0.0
8383a8fffffffff,7.0,1.0,0.0
8383acfffffffff,17.0,6.0,0.0
8383adfffffffff,2.0,0.0,0.0
839600fffffffff,14.0,6.0,0.0
839601fffffffff,7.0,0.0,0.0
839602fffffffff,26.0,8.0,0.0
839603fffffffff,1.0,0.0,0.0
839604fffffffff,2.0,2.0,0.0
839608fffffffff,3.0,0.0,0.0
839609fffffffff,19.0,6.0,0.0
83960bfffffffff,2.0,0.0,0.0
83960efffffffff,4.0,3.0,0.0
839614fffffffff,3.0,0.0,0.0
839615fffffffff,26.0,12.0,0.0
839620fffffffff,13.0,0.0,0.0
839621fffffffff,9.0,0.0,0.0
839622fffffffff,4.0,0.0,0.0
839623fffffffff,14.0,2.0,0.0
839626fffffffff,8.0,0.0,0.0
839628fffffffff,29.0,2.0,0.0
839629fffffffff,4.0,0.0,0.0
83962bfffffffff,5.0,0.0,0.0
83962cfffffffff,26.0,9.0,0.0
83962dfffffffff,5.0,3.0,0.0
83962efffffffff,21.0,4.0,0.0
839633fffffffff,36.0,3.0,0.0
839636fffffffff,3.0,0.0,0.0
839656fffffffff,7.0,2.0,0.0
839661fffffffff,1.0,0.0,0.0
839686fffffffff,1.0,0.0,0.0
839688fffffffff,2.0,0.0,0.0
83968dfffffffff,2.0,0.0,0.0
839690fffffffff,46.0,0.0,0.0
839692fffffffff,214.0,0.0,0.0
839693fffffffff,70.0,0.0,0.0
83969afffffffff,4.0,0.0,0.0
8396a0fffffffff,2.0,0.0,0.0
8396a2fffffffff,3.0,0.0,0.0
8396a3fffffffff,5.0,0.0,0.0
8396a5fffffffff,9.0,0.0,0.0
8396a6fffffffff,2.0,0.0,0.0
8396b0fffffffff,4.0,0.0,0.0
8396b1fffffffff,60.0,0.0,0.0
8396b4fffffffff,12.0,0.0,0.0
8396b5fffffffff,4.0,0.0,0.0
8396b6fffffffff,9.0,0.0,0.0
8396e4fffffffff,2.0,0.0,0.0
8396eafffffffff,2.0,0.0,0.0
839701fffffffff,3.0,0.0,0.0
839702fffffffff,19.0,0.0,0.0
839703fffffffff,23.0,0.0,0.0
839705fffffffff,8.0,0.0,0.0
83970afffffffff,1.0,0.0,0.0
83970cfffffffff,4.0,0.0,0.0
839710fffffffff,25.0,0.0,0.0
839711fffffffff,53.0,0.0,0.0
839713fffffffff,8.0,0.0,0.0
839715fffffffff,7.0,0.0,0.0
839719fffffffff,14.0,0.0,0.0
83971cfffffffff,2.0,0.0,0.0
839728fffffffff,53.0,0.0,0.0
839729fffffffff,20.0,0.0,0.0
83972afffffffff,2.0,0.0,0.0
83972cfffffffff,96.0,0.0,0.0
83972dfffffffff,7.0,0.0,0.0
83972efffffffff,150.0,0.0,0.0
839735fffffffff,12.0,0.0,0.0
839741fffffffff,135.0,3.0,0.0
839743fffffffff,92.0,6.0,0.0
839744fffffffff,2.0,0.0,0.0
83974afffffffff,306.0,23.0,0.0
83974bfffffffff,8.0,0.0,0.0
83974efffffffff,161.0,27.0,0.0
839750fffffffff,4.0,0.0,0.0
839751fffffffff,101.0,11.0,0.0
839753fffffffff,5.0,5.0,0.0
83975cfffffffff,82.0,8.0,0.0
83975dfffffffff,30.0,0.0,0.0
83975efffffffff,9.0,2.0,0.0
839788fffffffff,3.0,0.0,0.0
83978bfffffffff,16.0,0.0,0.0
83978dfffffffff,4.0,0.0,0.0
83978efffffffff,4.0,0.0,0.0
839791fffffffff,2.0,0.0,0.0
839793fffffffff,6.0,0.0,0.0
839799fffffffff,3.0,0.0,0.0
83979dfffffffff,3.0,0.0,0.0
8397a8fffffffff,13.0,0.0,0.0
8397aafffffffff,3.0,0.0,0.0
8397acfffffffff,1.0,0.0,0.0
83ac80fffffffff,2.0,0.0,0.0
83ac84fffffffff,4.0,0.0,0.0
83ac8afffffffff,7.0,0.0,0.0
83ac8efffffffff,3.0,0.0,0.0
83ac96fffffffff,3.0,0.0,0.0
83acb1fffffffff,3.0,0.0,0.0
83acb3fffffffff,2.0,0.0,0.0
83bc09fffffffff,6.0,0.0,0.0
83bc0bfffffffff,30.0,0.0,0.0
83bc19fffffffff,12.0,0.0,2.0
83bc1bfffffffff,4.0,0.0,0.0
83bc44fffffffff,1.0,0.0,0.0
83bc72fffffffff,1.0,0.0,0.0
83bc73fffffffff,3.0,0.0,0.0
83bc89fffffffff,9.0,0.0,0.0
83bc8bfffffffff,2.0,0.0,0.0
83bc99fffffffff,1.0,0.0,0.0
83bcc2fffffffff,6.0,0.0,0.0
83bcc3fffffffff,18.0,0.0,4.0
83bcd0fffffffff,256.0,0.0,10.0
83bcd1fffffffff,15.0,0.0,2.0
83bcd2fffffffff,905.0,0.0,20.0
83bcd3fffffffff,31.0,0.0,0.0
83bcd4fffffffff,48.0,0.0,0.0
83bcd5fffffffff,3.0,0.0,0.0
83bcd6fffffffff,238.0,0.0,7.0
83bcd8fffffffff,7.0,0.0,0.0
83bcdcfffffffff,18.0,0.0,0.0
83bcddfffffffff,9.0,0.0,0.0
83bcdefffffffff,33.0,0.0,0.0
83bce2fffffffff,2.0,0.0,0.0
83bce6fffffffff,7.0,0.0,2.0
83bcf0fffffffff,69.0,0.0,5.0
83bcf2fffffffff,258.0,0.0,39.0
83bcf3fffffffff,3.0,0.0,2.0
83bcf4fffffffff,23.0,0.0,3.0
83bcf5fffffffff,15.0,0.0,0.0
83bcf6fffffffff,175.0,0.0,10.0
