cell_id,Pezoporus wallicus,Pezoporus wallicus flaviventris,Pezoporus wallicus wallicus
84b864dffffffff,1.0,1.0,0.0
84b9593ffffffff,1.0,1.0,0.0
84b959bffffffff,1.0,1.0,0.0
84be089ffffffff,56.0,0.0,14.0
84be0c3ffffffff,149.0,0.0,44.0
84be0ddffffffff,11.0,0.0,2.0
84be181ffffffff,4.0,0.0,0.0
84be185ffffffff,6.0,0.0,2.0
84be18dffffffff,1.0,0.0,0.0
84be1a5ffffffff,1.0,0.0,0.0
84be1d5ffffffff,2.0,0.0,2.0
84be293ffffffff,75.0,0.0,16.0
84be29bffffffff,6.0,0.0,5.0
84be74bffffffff,32.0,0.0,23.0
84be74dffffffff,33.0,0.0,17.0
84be883ffffffff,146.0,0.0,52.0
84be887ffffffff,33.0,0.0,9.0
84be88bffffffff,8.0,0.0,0.0
84bea91ffffffff,13.0,0.0,12.0
84bea9bffffffff,14.0,0.0,0.0
84bf493ffffffff,3.0,0.0,0.0
84bf495ffffffff,2.0,0.0,0.0
84bf497ffffffff,11.0,0.0,3.0
84bf49bffffffff,41.0,0.0,18.0
84bf49dffffffff,2.0,0.0,2.0
84bf4b9ffffffff,1.0,0.0,0.0
84bf4d1ffffffff,2.0,0.0,1.0
84bf4ddffffffff,25.0,0.0,13.0
84bf6b3ffffffff,41.0,0.0,17.0
84d8961ffffffff,8.0,0.0,6.0
84d8965ffffffff,1.0,0.0,1.0
84d896dffffffff,1.0,0.0,0.0
84d8b65ffffffff,90.0,0.0,31.0
