cell_id,Geospizopsis unicolor,Geospizopsis unicolor nivaria/geospizopsis,Geospizopsis unicolor inca,Geospizopsis unicolor [unicolor Group]
82660ffffffffff,237.0,0.0,0.0,0.0
826627fffffffff,107.0,0.0,0.0,0.0
82662ffffffffff,171.0,0.0,0.0,0.0
8266c7fffffffff,25.0,0.0,0.0,0.0
8266d7fffffffff,1956.0,0.0,0.0,0.0
8266dffffffffff,1966.0,0.0,0.0,0.0
8266e7fffffffff,3992.0,0.0,0.0,0.0
8266f7fffffffff,11.0,0.0,0.0,0.0
828b27fffffffff,29.0,0.0,0.0,0.0
828b2ffffffffff,133.0,0.0,0.0,0.0
828b67fffffffff,335.0,0.0,0.0,0.0
828b6ffffffffff,753.0,0.0,0.0,0.0
828b77fffffffff,2.0,0.0,0.0,0.0
828e67fffffffff,629.0,0.0,0.0,0.0
828e6ffffffffff,233.0,0.0,0.0,0.0
828f0ffffffffff,3.0,0.0,0.0,0.0
828f2ffffffffff,822.0,0.0,0.0,0.0
828f47fffffffff,15.0,0.0,0.0,0.0
828f4ffffffffff,6.0,0.0,0.0,0.0
828f57fffffffff,180.0,0.0,0.0,0.0
828f5ffffffffff,365.0,0.0,0.0,0.0
828f77fffffffff,224.0,0.0,0.0,0.0
82b207fffffffff,11.0,0.0,0.0,0.0
82b20ffffffffff,65.0,0.0,0.0,0.0
82b21ffffffffff,20.0,0.0,0.0,0.0
82b227fffffffff,15.0,0.0,0.0,0.0
82b22ffffffffff,30.0,0.0,0.0,0.0
82b247fffffffff,49.0,0.0,0.0,0.0
82b25ffffffffff,355.0,0.0,0.0,0.0
82b277fffffffff,10.0,0.0,0.0,0.0
82b2c7fffffffff,1248.0,0.0,0.0,0.0
82b2cffffffffff,109.0,0.0,0.0,0.0
82b2dffffffffff,22.0,0.0,0.0,0.0
82b2e7fffffffff,201.0,0.0,0.0,0.0
82b2effffffffff,144.0,0.0,0.0,0.0
82b307fffffffff,994.0,0.0,0.0,0.0
82b30ffffffffff,174.0,0.0,0.0,0.0
82b327fffffffff,173.0,0.0,0.0,0.0
82b32ffffffffff,20.0,0.0,0.0,0.0
82b337fffffffff,94.0,0.0,0.0,0.0
82b347fffffffff,70.0,0.0,0.0,0.0
82b357fffffffff,338.0,0.0,0.0,0.0
82b35ffffffffff,427.0,0.0,0.0,0.0
82b377fffffffff,226.0,0.0,0.0,0.0
82ce87fffffffff,163.0,0.0,0.0,0.0
82ce8ffffffffff,4.0,0.0,0.0,0.0
82ce9ffffffffff,100.0,0.0,0.0,0.0
82cea7fffffffff,14.0,0.0,0.0,0.0
82cf17fffffffff,100.0,0.0,0.0,0.0
82cf87fffffffff,9.0,0.0,0.0,0.0
82cf8ffffffffff,188.0,0.0,0.0,0.0
82cfa7fffffffff,2.0,0.0,0.0,0.0
82cfaffffffffff,63.0,0.0,0.0,0.0
82df6ffffffffff,53.0,0.0,0.0,0.0
