cell_id,Picus canus,Picus canus canus/jessoensis,Picus canus [guerini Group],Picus canus dedemi
8408065ffffffff,3.0,0.0,0.0,0.0
8408133ffffffff,2.0,0.0,0.0,0.0
8408137ffffffff,2.0,0.0,0.0,0.0
8408295ffffffff,1.0,0.0,0.0,0.0
8408809ffffffff,2.0,0.0,0.0,0.0
840880bffffffff,2.0,0.0,0.0,0.0
8408837ffffffff,11.0,0.0,0.0,0.0
8408843ffffffff,11.0,0.0,0.0,0.0
8408845ffffffff,2.0,0.0,0.0,0.0
840884dffffffff,2.0,0.0,0.0,0.0
8408855ffffffff,2.0,0.0,0.0,0.0
8408867ffffffff,2.0,0.0,0.0,0.0
840886bffffffff,6.0,0.0,0.0,0.0
8408889ffffffff,5.0,0.0,0.0,0.0
84088a9ffffffff,3.0,0.0,0.0,0.0
84088adffffffff,5.0,0.0,0.0,0.0
84088b5ffffffff,2.0,0.0,0.0,0.0
840898bffffffff,11.0,0.0,0.0,0.0
8408991ffffffff,9.0,2.0,0.0,0.0
8408993ffffffff,1.0,0.0,0.0,0.0
8408995ffffffff,4.0,0.0,0.0,0.0
8408997ffffffff,15.0,5.0,0.0,0.0
840899bffffffff,1.0,0.0,0.0,0.0
840899dffffffff,4.0,0.0,0.0,0.0
84089a1ffffffff,10.0,0.0,0.0,0.0
84089a7ffffffff,3.0,0.0,0.0,0.0
84089a9ffffffff,9.0,0.0,0.0,0.0
84089abffffffff,3.0,0.0,0.0,0.0
84089adffffffff,1.0,0.0,0.0,0.0
84089bbffffffff,10.0,0.0,0.0,0.0
84089d1ffffffff,12.0,0.0,0.0,0.0
84089d3ffffffff,8.0,0.0,0.0,0.0
84089d7ffffffff,3.0,0.0,0.0,0.0
84089d9ffffffff,7.0,0.0,0.0,0.0
84089dbffffffff,2.0,0.0,0.0,0.0
84089ddffffffff,2.0,0.0,0.0,0.0
84089e5ffffffff,2.0,0.0,0.0,0.0
8408a3dffffffff,2.0,0.0,0.0,0.0
8408a85ffffffff,1.0,0.0,0.0,0.0
8408b1dffffffff,2.0,0.0,0.0,0.0
8408c8bffffffff,3.0,0.0,0.0,0.0
8408d11ffffffff,3.0,0.0,0.0,0.0
8408d51ffffffff,1.0,0.0,0.0,0.0
8408d57ffffffff,1.0,0.0,0.0,0.0
8408ea7ffffffff,1.0,0.0,0.0,0.0
8409821ffffffff,1.0,0.0,0.0,0.0
8409829ffffffff,1.0,0.0,0.0,0.0
84098a9ffffffff,2.0,0.0,0.0,0.0
8409917ffffffff,2.0,0.0,0.0,0.0
840991bffffffff,10.0,0.0,0.0,0.0
8409993ffffffff,2.0,0.0,0.0,0.0
84099cdffffffff,2.0,0.0,0.0,0.0
840b91bffffffff,2.0,0.0,0.0,0.0
840bb03ffffffff,1.0,0.0,0.0,0.0
840bb07ffffffff,3.0,0.0,0.0,0.0
8410a21ffffffff,1.0,0.0,0.0,0.0
8410c23ffffffff,6.0,0.0,0.0,0.0
8410dc9ffffffff,8.0,0.0,0.0,0.0
8410dcdffffffff,6.0,0.0,0.0,0.0
8410f29ffffffff,4.0,0.0,0.0,0.0
841104dffffffff,1.0,0.0,0.0,0.0
8411059ffffffff,7.0,0.0,0.0,0.0
841105bffffffff,4.0,2.0,0.0,0.0
8411061ffffffff,5.0,0.0,0.0,0.0
8411069ffffffff,11.0,0.0,0.0,0.0
841106bffffffff,1.0,0.0,0.0,0.0
8411169ffffffff,22.0,0.0,0.0,0.0
841116dffffffff,3.0,0.0,0.0,0.0
8411221ffffffff,1.0,0.0,0.0,0.0
8411231ffffffff,2.0,0.0,0.0,0.0
8411235ffffffff,2.0,0.0,0.0,0.0
8411237ffffffff,3.0,0.0,0.0,0.0
8411241ffffffff,2.0,0.0,0.0,0.0
8411245ffffffff,2.0,0.0,0.0,0.0
8411249ffffffff,3.0,0.0,0.0,0.0
8411253ffffffff,1.0,0.0,0.0,0.0
8411261ffffffff,20.0,2.0,0.0,0.0
8411263ffffffff,2.0,0.0,0.0,0.0
8411269ffffffff,4.0,0.0,0.0,0.0
841126bffffffff,6.0,0.0,0.0,0.0
841126dffffffff,19.0,2.0,0.0,0.0
84112adffffffff,2.0,2.0,0.0,0.0
84112e7ffffffff,2.0,2.0,0.0,0.0
8411345ffffffff,6.0,0.0,0.0,0.0
8411347ffffffff,52.0,0.0,0.0,0.0
8411349ffffffff,5.0,0.0,0.0,0.0
841134dffffffff,2.0,0.0,0.0,0.0
8411355ffffffff,5.0,0.0,0.0,0.0
841135dffffffff,6.0,0.0,0.0,0.0
8411363ffffffff,6.0,0.0,0.0,0.0
8411365ffffffff,2.0,0.0,0.0,0.0
841136bffffffff,12.0,0.0,0.0,0.0
8411811ffffffff,4.0,0.0,0.0,0.0
8411813ffffffff,9.0,0.0,0.0,0.0
8411817ffffffff,1.0,0.0,0.0,0.0
8411819ffffffff,1.0,0.0,0.0,0.0
841181bffffffff,7.0,0.0,0.0,0.0
841181dffffffff,31.0,0.0,0.0,0.0
8411853ffffffff,8.0,0.0,0.0,0.0
8411897ffffffff,4.0,0.0,0.0,0.0
84118adffffffff,18.0,0.0,0.0,0.0
84118c1ffffffff,2.0,0.0,0.0,0.0
84118c5ffffffff,3.0,0.0,0.0,0.0
84118c9ffffffff,8.0,0.0,0.0,0.0
84118cdffffffff,9.0,0.0,0.0,0.0
84118e9ffffffff,2.0,0.0,0.0,0.0
841191bffffffff,2.0,0.0,0.0,0.0
84119ebffffffff,6.0,0.0,0.0,0.0
8411a43ffffffff,2.0,0.0,0.0,0.0
8411aa5ffffffff,2.0,0.0,0.0,0.0
8411aa7ffffffff,34.0,2.0,0.0,0.0
8411aa9ffffffff,2.0,0.0,0.0,0.0
8411aadffffffff,9.0,0.0,0.0,0.0
8411ab5ffffffff,2.0,0.0,0.0,0.0
8411abdffffffff,3.0,0.0,0.0,0.0
8411ae3ffffffff,44.0,13.0,0.0,0.0
8411ae5ffffffff,2.0,0.0,0.0,0.0
8411ae7ffffffff,5.0,2.0,0.0,0.0
8411b4dffffffff,12.0,0.0,0.0,0.0
8414813ffffffff,21.0,0.0,0.0,0.0
84149adffffffff,2.0,0.0,0.0,0.0
8414ae5ffffffff,9.0,0.0,0.0,0.0
8414aedffffffff,2.0,0.0,0.0,0.0
8414d65ffffffff,2.0,0.0,0.0,0.0
8415889ffffffff,1.0,0.0,0.0,0.0
8415981ffffffff,2.0,0.0,0.0,0.0
841598bffffffff,12.0,0.0,0.0,0.0
8415995ffffffff,1.0,0.0,0.0,0.0
8418619ffffffff,2.0,0.0,0.0,0.0
84186c9ffffffff,3.0,0.0,0.0,0.0
841e001ffffffff,5.0,0.0,0.0,0.0
841e005ffffffff,2.0,0.0,0.0,0.0
841e009ffffffff,5.0,0.0,0.0,0.0
841e00bffffffff,2.0,0.0,0.0,0.0
841e013ffffffff,10.0,0.0,0.0,0.0
841e015ffffffff,1.0,0.0,0.0,0.0
841e01bffffffff,2.0,0.0,0.0,0.0
841e023ffffffff,6.0,0.0,0.0,0.0
841e025ffffffff,7.0,0.0,0.0,0.0
841e027ffffffff,2.0,0.0,0.0,0.0
841e029ffffffff,9.0,0.0,0.0,0.0
841e02dffffffff,8.0,0.0,0.0,0.0
841e031ffffffff,24.0,1.0,0.0,0.0
841e035ffffffff,18.0,1.0,0.0,0.0
841e037ffffffff,19.0,0.0,0.0,0.0
841e03bffffffff,2.0,0.0,0.0,0.0
841e041ffffffff,18.0,0.0,0.0,0.0
841e043ffffffff,15.0,0.0,0.0,0.0
841e045ffffffff,18.0,0.0,0.0,0.0
841e047ffffffff,38.0,0.0,0.0,0.0
841e049ffffffff,4.0,0.0,0.0,0.0
841e04bffffffff,6.0,0.0,0.0,0.0
841e04dffffffff,8.0,0.0,0.0,0.0
841e051ffffffff,1.0,0.0,0.0,0.0
841e053ffffffff,2.0,0.0,0.0,0.0
841e055ffffffff,2.0,0.0,0.0,0.0
841e057ffffffff,1.0,0.0,0.0,0.0
841e059ffffffff,2.0,0.0,0.0,0.0
841e05bffffffff,5.0,0.0,0.0,0.0
841e05dffffffff,9.0,0.0,0.0,0.0
841e061ffffffff,42.0,0.0,0.0,0.0
841e063ffffffff,30.0,0.0,0.0,0.0
841e067ffffffff,21.0,0.0,0.0,0.0
841e069ffffffff,23.0,0.0,0.0,0.0
841e06bffffffff,34.0,0.0,0.0,0.0
841e06dffffffff,13.0,0.0,0.0,0.0
841e085ffffffff,9.0,0.0,0.0,0.0
841e08bffffffff,3.0,0.0,0.0,0.0
841e0b7ffffffff,1.0,0.0,0.0,0.0
841e0bdffffffff,1.0,0.0,0.0,0.0
841e0c1ffffffff,2.0,0.0,0.0,0.0
841e0c3ffffffff,50.0,0.0,0.0,0.0
841e0c5ffffffff,16.0,0.0,0.0,0.0
841e0c7ffffffff,13.0,0.0,0.0,0.0
841e0cbffffffff,2.0,0.0,0.0,0.0
841e0e1ffffffff,11.0,0.0,0.0,0.0
841e0e7ffffffff,3.0,0.0,0.0,0.0
841e0e9ffffffff,5.0,0.0,0.0,0.0
841e0ebffffffff,2.0,0.0,0.0,0.0
841e0edffffffff,22.0,0.0,0.0,0.0
841e103ffffffff,4.0,0.0,0.0,0.0
841e105ffffffff,1.0,0.0,0.0,0.0
841e10bffffffff,1.0,0.0,0.0,0.0
841e113ffffffff,2.0,0.0,0.0,0.0
841e115ffffffff,3.0,0.0,0.0,0.0
841e117ffffffff,11.0,0.0,0.0,0.0
841e121ffffffff,45.0,0.0,0.0,0.0
841e123ffffffff,63.0,0.0,0.0,0.0
841e125ffffffff,22.0,0.0,0.0,0.0
841e129ffffffff,31.0,0.0,0.0,0.0
841e12bffffffff,17.0,0.0,0.0,0.0
841e12dffffffff,12.0,0.0,0.0,0.0
841e131ffffffff,13.0,0.0,0.0,0.0
841e133ffffffff,5.0,0.0,0.0,0.0
841e135ffffffff,44.0,0.0,0.0,0.0
841e137ffffffff,6.0,0.0,0.0,0.0
841e139ffffffff,8.0,0.0,0.0,0.0
841e13bffffffff,12.0,0.0,0.0,0.0
841e13dffffffff,13.0,0.0,0.0,0.0
