cell_id,Cyclopsitta diophthalma,Cyclopsitta diophthalma [diophthalma Group],Cyclopsitta diophthalma coxeni
84728b9ffffffff,2.0,0.0,0.0
84729dbffffffff,3.0,0.0,0.0
8472a07ffffffff,2.0,0.0,0.0
8472a2bffffffff,6.0,0.0,0.0
8472d19ffffffff,1.0,0.0,0.0
8472d23ffffffff,2.0,0.0,0.0
8472d5dffffffff,2.0,0.0,0.0
8472da1ffffffff,4.0,0.0,0.0
8472db3ffffffff,86.0,0.0,0.0
8472dbbffffffff,5.0,0.0,0.0
8472debffffffff,8.0,0.0,0.0
8472f23ffffffff,72.0,0.0,0.0
84739abffffffff,7.0,0.0,0.0
84739b1ffffffff,74.0,0.0,0.0
84739b3ffffffff,2.0,0.0,0.0
84739b5ffffffff,32.0,0.0,0.0
849c003ffffffff,2.0,0.0,0.0
849c009ffffffff,1.0,0.0,0.0
849c055ffffffff,12.0,0.0,0.0
849c059ffffffff,2.0,0.0,0.0
849c05dffffffff,354.0,53.0,0.0
849c0a5ffffffff,2.0,0.0,0.0
849c191ffffffff,332.0,12.0,0.0
849c19bffffffff,2.0,0.0,0.0
849c19dffffffff,28.0,1.0,0.0
849c203ffffffff,109.0,5.0,0.0
849c207ffffffff,2.0,0.0,0.0
849c20bffffffff,34.0,8.0,0.0
849c215ffffffff,75.0,10.0,0.0
849c231ffffffff,1545.0,184.0,0.0
849c233ffffffff,11.0,0.0,0.0
849c237ffffffff,838.0,35.0,0.0
849c239ffffffff,491.0,58.0,0.0
849c23bffffffff,27.0,2.0,0.0
849c23dffffffff,7.0,1.0,0.0
849c251ffffffff,6.0,0.0,0.0
849c257ffffffff,7.0,0.0,0.0
849c259ffffffff,5.0,0.0,0.0
849c8a5ffffffff,1.0,0.0,0.0
849c8e7ffffffff,1.0,0.0,0.0
849c993ffffffff,14.0,0.0,0.0
849c997ffffffff,2.0,0.0,0.0
849c9d1ffffffff,2.0,0.0,0.0
849c9d5ffffffff,2.0,0.0,0.0
849c9d7ffffffff,2.0,0.0,0.0
849c9d9ffffffff,2.0,0.0,0.0
849cb59ffffffff,9.0,0.0,0.0
849cd31ffffffff,137.0,13.0,0.0
849cd33ffffffff,81.0,7.0,0.0
849cd37ffffffff,1.0,1.0,0.0
849cf53ffffffff,1.0,0.0,0.0
849d913ffffffff,1.0,0.0,0.0
