cell_id,Phaethornis longirostris,Phaethornis longirostris [longirostris Group],Phaethornis longirostris baroni
834520fffffffff,1.0,1.0,0.0
834521fffffffff,11.0,2.0,0.0
834525fffffffff,6.0,0.0,0.0
83452afffffffff,2.0,2.0,0.0
83452dfffffffff,1.0,0.0,0.0
83452efffffffff,20.0,19.0,0.0
834564fffffffff,1.0,1.0,0.0
836608fffffffff,2.0,0.0,0.0
83660afffffffff,3.0,0.0,0.0
836619fffffffff,1.0,0.0,0.0
8366b0fffffffff,10.0,6.0,0.0
8366b4fffffffff,3.0,0.0,0.0
8366b5fffffffff,4.0,0.0,0.0
8366d3fffffffff,6.0,0.0,4.0
8366e6fffffffff,6.0,0.0,0.0
836793fffffffff,1.0,0.0,0.0
83679afffffffff,41.0,35.0,0.0
83679bfffffffff,1.0,1.0,0.0
836d20fffffffff,2.0,0.0,0.0
836d21fffffffff,8.0,0.0,0.0
836d2cfffffffff,1.0,0.0,0.0
836d30fffffffff,2.0,0.0,0.0
836d31fffffffff,3.0,1.0,0.0
836d35fffffffff,4.0,4.0,0.0
836d65fffffffff,3.0,0.0,0.0
836d68fffffffff,11.0,0.0,0.0
836d69fffffffff,26.0,7.0,0.0
836d6bfffffffff,2.0,0.0,0.0
836d6dfffffffff,1.0,0.0,0.0
838f0dfffffffff,3.0,0.0,1.0
838f2afffffffff,1.0,0.0,1.0
838f2cfffffffff,16.0,0.0,5.0
