cell_id,Trogon elegans,Trogon elegans [ambiguus Group],Trogon elegans elegans/lubricus
824527fffffffff,552.0,0.0,55.0
824537fffffffff,18.0,0.0,0.0
824807fffffffff,175.0,1.0,0.0
82480ffffffffff,859.0,65.0,0.0
824817fffffffff,77.0,16.0,0.0
82481ffffffffff,30.0,0.0,0.0
824837fffffffff,2855.0,134.0,0.0
824887fffffffff,5.0,0.0,0.0
8248a7fffffffff,791.0,31.0,0.0
8248b7fffffffff,13.0,0.0,0.0
8248c7fffffffff,2687.0,335.0,0.0
8248e7fffffffff,223.0,27.0,0.0
8248effffffffff,7058.0,810.0,0.0
824987fffffffff,67.0,0.0,0.0
82498ffffffffff,151.0,2.0,0.0
824997fffffffff,45.0,4.0,0.0
82499ffffffffff,658.0,45.0,0.0
8249affffffffff,1576.0,109.0,0.0
8249b7fffffffff,354.0,0.0,0.0
826d2ffffffffff,7.0,0.0,0.0
826d37fffffffff,287.0,36.0,0.0
826d67fffffffff,820.0,0.0,0.0
826d6ffffffffff,2407.0,0.0,0.0
826d77fffffffff,807.0,0.0,0.0
