cell_id,Eudyptes chrysocome,Eudyptes chrysocome chrysocome,Eudyptes chrysocome filholi
83c21dfffffffff,2.0,0.0,0.0
83c313fffffffff,1.0,0.0,0.0
83cf32fffffffff,19.0,0.0,0.0
83cf94fffffffff,27.0,2.0,0.0
83cfa4fffffffff,3.0,0.0,0.0
83d18dfffffffff,1.0,0.0,0.0
83d6a9fffffffff,12.0,1.0,3.0
83da00fffffffff,19.0,0.0,14.0
83da06fffffffff,11.0,0.0,11.0
83da18fffffffff,15.0,0.0,15.0
83da85fffffffff,6.0,0.0,6.0
83da95fffffffff,1.0,0.0,1.0
83db85fffffffff,11.0,0.0,11.0
83de62fffffffff,9.0,1.0,0.0
83de66fffffffff,2.0,0.0,0.0
83de71fffffffff,1.0,0.0,0.0
83df06fffffffff,3.0,0.0,2.0
83df0afffffffff,1.0,0.0,0.0
83df0dfffffffff,2.0,0.0,0.0
83df2bfffffffff,1.0,0.0,0.0
83df35fffffffff,1.0,0.0,0.0
83df42fffffffff,12.0,0.0,0.0
83df43fffffffff,4.0,0.0,0.0
83df44fffffffff,2.0,0.0,0.0
83df46fffffffff,4.0,1.0,0.0
83df5cfffffffff,2.0,0.0,0.0
83df62fffffffff,3.0,1.0,0.0
83df6afffffffff,5.0,0.0,0.0
83df6efffffffff,2.0,0.0,0.0
83df72fffffffff,3.0,0.0,0.0
83df73fffffffff,2.0,0.0,0.0
83e093fffffffff,2.0,0.0,2.0
