cell_id,Metallura tyrianthina,Metallura tyrianthina districta,Metallura tyrianthina chloropogon,Metallura tyrianthina oreopola,Metallura tyrianthina tyrianthina/quitensis,Metallura tyrianthina septentrionalis,Metallura tyrianthina smaragdinicollis
8466081ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466083ffffffff,114.0,0.0,0.0,0.0,0.0,0.0,0.0
8466087ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8466089ffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0
846608bffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
8466095ffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
846609dffffffff,69.0,0.0,0.0,0.0,0.0,0.0,0.0
84660a3ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b1ffffffff,85.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b3ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b5ffffffff,159.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b7ffffffff,95.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b9ffffffff,249.0,0.0,0.0,0.0,0.0,0.0,0.0
84660bbffffffff,192.0,0.0,0.0,0.0,0.0,0.0,0.0
84660bdffffffff,288.0,0.0,0.0,0.0,1.0,0.0,0.0
84660c1ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
84660c3ffffffff,351.0,0.0,0.0,0.0,0.0,0.0,0.0
84660c7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84660d5ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
84660ddffffffff,79.0,0.0,0.0,0.0,0.0,0.0,0.0
8466181ffffffff,187.0,0.0,0.0,0.0,2.0,0.0,0.0
8466183ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8466187ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8466189ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
846618bffffffff,321.0,0.0,0.0,0.0,0.0,0.0,0.0
8466191ffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
8466195ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8466197ffffffff,138.0,0.0,0.0,0.0,0.0,0.0,0.0
846619dffffffff,241.0,0.0,0.0,0.0,0.0,0.0,0.0
84661b1ffffffff,340.0,0.0,0.0,0.0,28.0,0.0,0.0
84661b3ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
84661b9ffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
84661bbffffffff,296.0,0.0,0.0,0.0,11.0,0.0,0.0
84661d5ffffffff,127.0,0.0,0.0,0.0,0.0,0.0,0.0
84661d7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8466207ffffffff,70.0,39.0,0.0,0.0,0.0,0.0,0.0
8466217ffffffff,1011.0,0.0,0.0,0.0,0.0,0.0,0.0
846622bffffffff,3165.0,1280.0,0.0,0.0,0.0,0.0,0.0
846623dffffffff,124.0,89.0,0.0,0.0,0.0,0.0,0.0
8466291ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8466299ffffffff,148.0,0.0,0.0,25.0,0.0,0.0,0.0
846629dffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
84662b1ffffffff,34.0,0.0,0.0,4.0,0.0,0.0,0.0
84662b7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84662bbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84662d3ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
84662edffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c0dffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c21ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c25ffffffff,128.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c2dffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c45ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c47ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c4dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c61ffffffff,197.0,0.0,0.0,0.0,1.0,0.0,0.0
8466c63ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c67ffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c69ffffffff,344.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c6bffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c6dffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d03ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d11ffffffff,44.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d15ffffffff,40.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d17ffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d19ffffffff,34.0,0.0,0.0,0.0,4.0,0.0,0.0
8466d1dffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d31ffffffff,2198.0,0.0,0.0,0.0,170.0,0.0,0.0
8466d33ffffffff,1690.0,0.0,0.0,0.0,64.0,0.0,0.0
8466d35ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d37ffffffff,45.0,0.0,0.0,0.0,2.0,0.0,0.0
8466d39ffffffff,52.0,0.0,0.0,0.0,1.0,0.0,0.0
8466d3bffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d53ffffffff,165.0,0.0,0.0,0.0,7.0,0.0,0.0
8466d57ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d59ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d5bffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8466da5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8466de1ffffffff,58.0,0.0,0.0,0.0,0.0,0.0,0.0
8466de5ffffffff,453.0,0.0,0.0,0.0,33.0,0.0,0.0
8466dedffffffff,1484.0,0.0,0.0,0.0,82.0,0.0,0.0
8466e01ffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e03ffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e07ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e09ffffffff,1090.0,0.0,0.0,0.0,16.0,0.0,0.0
8466e0bffffffff,241.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e0dffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e25ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e2dffffffff,130.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e41ffffffff,98.0,0.0,0.0,0.0,2.0,0.0,0.0
8466e43ffffffff,2508.0,0.0,0.0,0.0,47.0,0.0,0.0
8466e47ffffffff,272.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e49ffffffff,83.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e4bffffffff,58.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e55ffffffff,305.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e59ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e5dffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e61ffffffff,229.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e65ffffffff,690.0,0.0,0.0,0.0,18.0,0.0,0.0
8466e67ffffffff,549.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e69ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e6dffffffff,2512.0,0.0,0.0,0.0,61.0,0.0,0.0
8466f15ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f19ffffffff,120.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f1dffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f3bffffffff,13.0,0.0,0.0,0.0,2.0,0.0,0.0
8466f53ffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f59ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f5bffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
