cell_id,Penelope superciliaris,Penelope superciliaris pseudonyma,Penelope superciliaris [superciliaris Group]
8480007ffffffff,1.0,0.0,0.0
8480047ffffffff,1.0,0.0,0.0
8480055ffffffff,1.0,0.0,0.0
8480061ffffffff,2.0,0.0,0.0
8480101ffffffff,3.0,0.0,0.0
8480105ffffffff,5.0,0.0,0.0
8480107ffffffff,9.0,0.0,0.0
8480109ffffffff,7.0,0.0,0.0
848011bffffffff,2.0,0.0,0.0
8480139ffffffff,3.0,0.0,0.0
8480301ffffffff,2.0,0.0,0.0
848030dffffffff,12.0,0.0,0.0
8480655ffffffff,2.0,0.0,0.0
8480747ffffffff,2.0,0.0,0.0
848075bffffffff,2.0,0.0,0.0
848075dffffffff,1.0,0.0,0.0
8481005ffffffff,3.0,0.0,0.0
8481007ffffffff,2.0,0.0,0.0
8481029ffffffff,14.0,0.0,0.0
8481061ffffffff,2.0,0.0,0.0
8481091ffffffff,1.0,0.0,0.0
8481099ffffffff,11.0,0.0,0.0
84810a3ffffffff,2.0,0.0,0.0
8481105ffffffff,2.0,0.0,0.0
848114bffffffff,2.0,0.0,0.0
8481167ffffffff,4.0,0.0,0.0
8481193ffffffff,4.0,0.0,0.0
84811c5ffffffff,2.0,0.0,0.0
848121dffffffff,3.0,0.0,0.0
8481245ffffffff,5.0,0.0,0.0
848124dffffffff,2.0,0.0,0.0
84812c9ffffffff,1.0,0.0,0.0
8481321ffffffff,1.0,0.0,0.0
8481339ffffffff,5.0,0.0,0.0
8481363ffffffff,21.0,0.0,0.0
8481367ffffffff,1.0,0.0,0.0
8481401ffffffff,2.0,0.0,0.0
8481403ffffffff,9.0,0.0,0.0
8481431ffffffff,2.0,0.0,0.0
8481437ffffffff,1.0,0.0,0.0
8481439ffffffff,1.0,0.0,0.0
848144bffffffff,10.0,0.0,0.0
848145dffffffff,19.0,0.0,0.0
848146bffffffff,5.0,0.0,0.0
84814a1ffffffff,1.0,0.0,0.0
84814a9ffffffff,6.0,0.0,0.0
84814adffffffff,3.0,0.0,0.0
84814c7ffffffff,2.0,0.0,0.0
84814d5ffffffff,17.0,0.0,0.0
84814d9ffffffff,3.0,0.0,0.0
84814e3ffffffff,10.0,0.0,0.0
84814e7ffffffff,46.0,0.0,0.0
8481507ffffffff,2.0,0.0,0.0
8481513ffffffff,2.0,0.0,0.0
848151bffffffff,1.0,0.0,0.0
848154bffffffff,1.0,0.0,0.0
84815a7ffffffff,1.0,0.0,0.0
84815c9ffffffff,2.0,0.0,0.0
84815d3ffffffff,1.0,0.0,0.0
84815d9ffffffff,8.0,0.0,0.0
84815dbffffffff,4.0,0.0,0.0
84815e9ffffffff,2.0,0.0,0.0
848162bffffffff,8.0,0.0,0.0
8481635ffffffff,15.0,0.0,0.0
8481637ffffffff,2.0,0.0,0.0
8481705ffffffff,2.0,0.0,0.0
8481711ffffffff,41.0,0.0,0.0
8481713ffffffff,12.0,0.0,0.0
8481729ffffffff,2.0,0.0,0.0
848172bffffffff,2.0,0.0,0.0
848173dffffffff,2.0,0.0,0.0
8481809ffffffff,4.0,0.0,0.0
8481851ffffffff,8.0,0.0,0.0
8481857ffffffff,28.0,0.0,0.0
84818b3ffffffff,2.0,0.0,0.0
84819d1ffffffff,4.0,0.0,0.0
84819d9ffffffff,2.0,0.0,0.0
848a069ffffffff,5.0,0.0,0.0
848a9cdffffffff,4.0,0.0,0.0
848b105ffffffff,2.0,0.0,0.0
848b11bffffffff,4.0,0.0,0.0
848b127ffffffff,1.0,0.0,0.0
848b1c7ffffffff,1.0,0.0,0.0
848b1cdffffffff,2.0,0.0,0.0
848b363ffffffff,2.0,0.0,0.0
848b82bffffffff,1.0,0.0,0.0
848b849ffffffff,4.0,0.0,0.0
848b999ffffffff,4.0,0.0,0.0
848b99dffffffff,12.0,0.0,0.0
848b9d3ffffffff,1.0,0.0,0.0
848ba09ffffffff,8.0,0.0,0.0
848ba45ffffffff,6.0,0.0,0.0
848ba47ffffffff,1.0,0.0,0.0
848ba55ffffffff,2.0,0.0,0.0
848ba63ffffffff,13.0,0.0,0.0
848ba65ffffffff,1.0,0.0,0.0
848bae9ffffffff,1.0,0.0,0.0
848bb53ffffffff,7.0,0.0,0.0
848bb59ffffffff,81.0,0.0,0.0
84a5969ffffffff,69.0,0.0,0.0
84a8019ffffffff,6.0,0.0,0.0
84a801bffffffff,26.0,0.0,0.0
84a8025ffffffff,1.0,0.0,0.0
84a8027ffffffff,1.0,0.0,0.0
84a802dffffffff,1.0,0.0,0.0
84a803dffffffff,2.0,0.0,0.0
84a8067ffffffff,2.0,0.0,0.0
84a80b1ffffffff,1.0,0.0,0.0
84a80c3ffffffff,11.0,0.0,0.0
84a80c5ffffffff,1.0,0.0,0.0
84a80e1ffffffff,1.0,0.0,0.0
84a80e3ffffffff,2.0,0.0,0.0
