cell_id,Polioptila plumbea,Polioptila plumbea plumbiceps/anteocularis,Polioptila plumbea innotata,Polioptila plumbea plumbea,Polioptila plumbea parvirostris,Polioptila plumbea atricapilla
825f4ffffffffff,2.0,1.0,0.0,0.0,0.0,0.0
82660ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
826627fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
82662ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
826647fffffffff,30.0,0.0,0.0,0.0,0.0,0.0
8266e7fffffffff,8.0,3.0,0.0,0.0,0.0,0.0
8266f7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
826747fffffffff,6.0,2.0,0.0,0.0,0.0,0.0
82674ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
826757fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
828047fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
828057fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
828127fffffffff,17.0,0.0,0.0,0.0,0.0,17.0
828137fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
828157fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
8281affffffffff,1.0,0.0,0.0,0.0,0.0,1.0
828af7fffffffff,2.0,0.0,2.0,0.0,0.0,0.0
828b47fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
828f47fffffffff,2.0,0.0,0.0,0.0,2.0,0.0
82a88ffffffffff,1.0,0.0,0.0,0.0,0.0,1.0
