cell_id,Percnostola rufifrons,Percnostola rufifrons minor/jensoni,Percnostola rufifrons rufifrons/subcristata
835f00fffffffff,24.0,0.0,0.0
835f01fffffffff,20.0,0.0,0.0
835f02fffffffff,4.0,0.0,0.0
835f03fffffffff,171.0,0.0,0.0
835f08fffffffff,14.0,0.0,0.0
835f09fffffffff,15.0,0.0,0.0
835f0dfffffffff,8.0,0.0,0.0
835f10fffffffff,24.0,0.0,0.0
835f11fffffffff,7.0,0.0,0.0
835f12fffffffff,13.0,0.0,0.0
835f13fffffffff,20.0,0.0,0.0
835f14fffffffff,27.0,0.0,0.0
835f15fffffffff,5.0,0.0,0.0
835f16fffffffff,8.0,0.0,0.0
835f1cfffffffff,11.0,0.0,0.0
835f29fffffffff,9.0,0.0,0.0
835f2bfffffffff,19.0,0.0,0.0
835f2cfffffffff,2.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
836648fffffffff,5.0,0.0,0.0
83665afffffffff,108.0,9.0,0.0
83665bfffffffff,94.0,15.0,0.0
8366c9fffffffff,17.0,0.0,0.0
8366cdfffffffff,1.0,0.0,0.0
8366e8fffffffff,1.0,0.0,0.0
8366e9fffffffff,10.0,0.0,0.0
8366eefffffffff,2.0,0.0,0.0
83804cfffffffff,2.0,0.0,0.0
83804dfffffffff,1.0,0.0,1.0
838068fffffffff,2.0,0.0,0.0
83806afffffffff,9.0,0.0,0.0
83806bfffffffff,37.0,0.0,5.0
838a45fffffffff,20.0,5.0,0.0
838a5afffffffff,1.0,0.0,0.0
838a63fffffffff,2.0,0.0,0.0
838a68fffffffff,6.0,3.0,0.0
838a69fffffffff,7.0,0.0,0.0
838a6bfffffffff,1.0,0.0,0.0
838a8cfffffffff,1.0,0.0,0.0
838a8dfffffffff,2.0,0.0,0.0
838aabfffffffff,2.0,0.0,1.0
838ad1fffffffff,11.0,0.0,3.0
838adcfffffffff,52.0,0.0,30.0
838adefffffffff,4.0,0.0,2.0
838af0fffffffff,4.0,0.0,1.0
838af2fffffffff,200.0,0.0,112.0
838af4fffffffff,5.0,0.0,0.0
838af6fffffffff,605.0,0.0,117.0
