cell_id,Sporophila morelleti,Sporophila morelleti sharpei,Sporophila morelleti morelleti
8445053ffffffff,4.0,0.0,0.0
84450b1ffffffff,1.0,0.0,0.0
8445201ffffffff,4.0,0.0,0.0
844520dffffffff,1.0,0.0,0.0
8445215ffffffff,4.0,0.0,0.0
8445217ffffffff,1.0,0.0,0.0
8445233ffffffff,3.0,0.0,0.0
8445289ffffffff,5.0,0.0,0.0
84452a7ffffffff,1.0,0.0,0.0
84452a9ffffffff,12.0,0.0,0.0
84452adffffffff,1.0,0.0,0.0
84452bdffffffff,2.0,0.0,0.0
84452c7ffffffff,6.0,0.0,0.0
84452e1ffffffff,2.0,0.0,0.0
84452e3ffffffff,8.0,0.0,0.0
84452e5ffffffff,5.0,0.0,0.0
8445727ffffffff,1.0,0.0,0.0
8448059ffffffff,2.0,0.0,0.0
844880dffffffff,4.0,0.0,0.0
8448815ffffffff,4.0,0.0,0.0
8448817ffffffff,1.0,0.0,0.0
844883bffffffff,1.0,0.0,0.0
8448869ffffffff,8.0,0.0,0.0
844886bffffffff,13.0,0.0,0.0
84488e9ffffffff,120.0,0.0,0.0
84488edffffffff,14.0,0.0,0.0
8448b13ffffffff,1101.0,0.0,0.0
8448b15ffffffff,52.0,0.0,0.0
8448b17ffffffff,37.0,0.0,0.0
8448b39ffffffff,4.0,0.0,0.0
8449901ffffffff,1.0,0.0,0.0
844990dffffffff,2.0,0.0,0.0
8449913ffffffff,1.0,0.0,0.0
8449917ffffffff,1.0,0.0,0.0
844992bffffffff,1.0,0.0,0.0
844993dffffffff,2.0,0.0,0.0
8449959ffffffff,6.0,0.0,0.0
8449961ffffffff,9.0,0.0,0.0
8449963ffffffff,15.0,0.0,0.0
8449965ffffffff,12.0,0.0,0.0
844996bffffffff,3.0,0.0,0.0
8449987ffffffff,3.0,0.0,0.0
84499b5ffffffff,1.0,0.0,0.0
84499c1ffffffff,2.0,0.0,0.0
84499cdffffffff,1.0,0.0,0.0
84499e5ffffffff,1.0,0.0,0.0
8466b0bffffffff,1.0,0.0,0.0
8466b41ffffffff,1.0,0.0,0.0
8466b47ffffffff,1.0,0.0,0.0
8466b4dffffffff,9.0,0.0,0.0
8466b51ffffffff,19.0,0.0,0.0
8466b53ffffffff,2.0,0.0,0.0
84679b7ffffffff,1.0,0.0,0.0
846d053ffffffff,8.0,0.0,0.0
846d05bffffffff,1.0,0.0,0.0
846d21dffffffff,2.0,0.0,0.0
846d231ffffffff,3.0,0.0,0.0
846d23bffffffff,3.0,0.0,0.0
846d2adffffffff,2.0,0.0,0.0
846d2b9ffffffff,2.0,0.0,0.0
846d2d7ffffffff,6.0,0.0,0.0
846d2d9ffffffff,1.0,0.0,0.0
846d30dffffffff,16.0,0.0,0.0
846d319ffffffff,1.0,0.0,0.0
846d34dffffffff,1.0,0.0,0.0
846d35dffffffff,5.0,0.0,0.0
846d36bffffffff,2.0,0.0,0.0
846d605ffffffff,8.0,0.0,0.0
846d60dffffffff,1.0,0.0,0.0
846d639ffffffff,1.0,0.0,0.0
846d683ffffffff,2.0,0.0,0.0
846d689ffffffff,2.0,0.0,0.0
846d691ffffffff,21.0,0.0,0.0
846d695ffffffff,6.0,0.0,0.0
846d697ffffffff,3.0,0.0,0.0
846d69bffffffff,1.0,0.0,0.0
846d69dffffffff,3.0,0.0,0.0
846d6bbffffffff,5.0,0.0,0.0
846d751ffffffff,1.0,0.0,0.0
