cell_id,Todiramphus sanctus,Todiramphus sanctus sanctus,Todiramphus sanctus canacorum,Todiramphus sanctus macmillani,Todiramphus sanctus vagans
82658ffffffffff,9.0,2.0,0.0,0.0,0.0
82681ffffffffff,3.0,0.0,0.0,0.0,0.0
82685ffffffffff,4.0,0.0,0.0,0.0,0.0
8268cffffffffff,2.0,2.0,0.0,0.0,0.0
82728ffffffffff,4.0,0.0,0.0,0.0,0.0
8272a7fffffffff,2.0,2.0,0.0,0.0,0.0
8272affffffffff,7.0,0.0,0.0,0.0,0.0
8272cffffffffff,2.0,0.0,0.0,0.0,0.0
8272d7fffffffff,5.0,1.0,0.0,0.0,0.0
8272f7fffffffff,3.0,3.0,0.0,0.0,0.0
82769ffffffffff,3.0,0.0,0.0,0.0,0.0
82945ffffffffff,1.0,0.0,0.0,0.0,0.0
829487fffffffff,2.0,2.0,0.0,0.0,0.0
829507fffffffff,2.0,2.0,0.0,0.0,0.0
82956ffffffffff,15.0,0.0,0.0,0.0,0.0
829c27fffffffff,3.0,0.0,0.0,0.0,0.0
829c8ffffffffff,1.0,0.0,0.0,0.0,0.0
829c97fffffffff,3.0,1.0,0.0,0.0,0.0
829caffffffffff,3.0,0.0,0.0,0.0,0.0
829cd7fffffffff,14.0,0.0,0.0,0.0,0.0
829f57fffffffff,4.0,0.0,0.0,4.0,0.0
82b887fffffffff,3.0,3.0,0.0,0.0,0.0
82baf7fffffffff,9.0,0.0,0.0,0.0,0.0
82bb0ffffffffff,31.0,0.0,0.0,0.0,18.0
82bb2ffffffffff,178.0,0.0,0.0,0.0,178.0
82bb57fffffffff,75.0,0.0,0.0,0.0,61.0
82bb5ffffffffff,6.0,0.0,0.0,0.0,6.0
82bb77fffffffff,6.0,0.0,0.0,0.0,6.0
82be0ffffffffff,16.0,3.0,0.0,0.0,0.0
82be1ffffffffff,4.0,0.0,0.0,0.0,0.0
82be47fffffffff,12.0,7.0,0.0,0.0,0.0
82be57fffffffff,4.0,2.0,0.0,0.0,0.0
82be67fffffffff,43.0,21.0,0.0,0.0,0.0
82be6ffffffffff,4.0,2.0,0.0,0.0,0.0
82be77fffffffff,29.0,5.0,0.0,0.0,0.0
82be8ffffffffff,28.0,0.0,0.0,0.0,0.0
82bef7fffffffff,3.0,0.0,0.0,0.0,0.0
82bf4ffffffffff,35.0,0.0,0.0,0.0,0.0
82da87fffffffff,8.0,0.0,0.0,0.0,0.0
82da97fffffffff,46.0,0.0,0.0,0.0,41.0
82daaffffffffff,1.0,0.0,0.0,0.0,1.0
