cell_id,Megascops kennicottii,Megascops kennicottii [kennicottii Group],Megascops kennicottii vinaceus,Megascops kennicottii suttoni
820c47fffffffff,31.0,0.0,0.0,0.0
820c57fffffffff,2.0,0.0,0.0,0.0
820c77fffffffff,16.0,0.0,0.0,0.0
821287fffffffff,4.0,0.0,0.0,0.0
82128ffffffffff,1.0,0.0,0.0,0.0
8212b7fffffffff,2.0,0.0,0.0,0.0
8212cffffffffff,13.0,0.0,0.0,0.0
8212d7fffffffff,1.0,0.0,0.0,0.0
8212dffffffffff,7.0,0.0,0.0,0.0
821397fffffffff,1.0,0.0,0.0,0.0
822687fffffffff,2.0,0.0,0.0,0.0
82268ffffffffff,115.0,0.0,0.0,0.0
822697fffffffff,72.0,0.0,0.0,0.0
82269ffffffffff,41.0,0.0,0.0,0.0
8226b7fffffffff,1.0,0.0,0.0,0.0
8226d7fffffffff,32.0,0.0,0.0,0.0
8226f7fffffffff,20.0,0.0,0.0,0.0
822797fffffffff,14.0,2.0,0.0,0.0
822807fffffffff,11.0,1.0,0.0,0.0
822817fffffffff,18.0,0.0,0.0,0.0
82281ffffffffff,19.0,0.0,0.0,0.0
822837fffffffff,51.0,0.0,0.0,0.0
822887fffffffff,5.0,0.0,0.0,0.0
82288ffffffffff,1.0,0.0,0.0,0.0
822897fffffffff,25.0,0.0,0.0,0.0
82289ffffffffff,5.0,0.0,0.0,0.0
8228affffffffff,27.0,0.0,0.0,0.0
8228b7fffffffff,2.0,0.0,0.0,0.0
8228c7fffffffff,2.0,0.0,0.0,0.0
8228d7fffffffff,36.0,0.0,0.0,0.0
8228dffffffffff,8.0,2.0,0.0,0.0
8228f7fffffffff,26.0,0.0,0.0,0.0
822917fffffffff,1.0,0.0,0.0,0.0
82298ffffffffff,8.0,0.0,0.0,0.0
8229a7fffffffff,93.0,1.0,0.0,0.0
8229b7fffffffff,6.0,0.0,0.0,0.0
82480ffffffffff,2.0,0.0,0.0,0.0
82481ffffffffff,1.0,0.0,0.0,0.0
82482ffffffffff,1.0,0.0,0.0,0.0
82485ffffffffff,16.0,0.0,0.0,0.0
82488ffffffffff,66.0,0.0,0.0,1.0
82489ffffffffff,4.0,0.0,0.0,0.0
8248a7fffffffff,1.0,0.0,0.0,1.0
8248affffffffff,8.0,0.0,0.0,5.0
8248c7fffffffff,9.0,0.0,0.0,0.0
8248e7fffffffff,1.0,0.0,0.0,0.0
8248effffffffff,111.0,2.0,0.0,0.0
824987fffffffff,9.0,0.0,0.0,6.0
824997fffffffff,26.0,0.0,0.0,2.0
82499ffffffffff,3.0,0.0,0.0,0.0
8249b7fffffffff,11.0,0.0,0.0,0.0
