cell_id,Setophaga palmarum,Setophaga palmarum palmarum,Setophaga palmarum hypochrysea
820c2ffffffffff,2.0,0.0,0.0
820c47fffffffff,29.0,2.0,0.0
820c77fffffffff,5.0,2.0,0.0
820ca7fffffffff,2.0,2.0,0.0
820d07fffffffff,8.0,8.0,0.0
820d5ffffffffff,5.0,0.0,0.0
820e4ffffffffff,4.0,0.0,1.0
820e87fffffffff,7.0,7.0,0.0
820e9ffffffffff,4.0,4.0,0.0
820ec7fffffffff,1.0,0.0,0.0
820ecffffffffff,22.0,5.0,0.0
820edffffffffff,1.0,0.0,0.0
820eeffffffffff,221.0,3.0,0.0
821227fffffffff,2.0,0.0,0.0
82122ffffffffff,1.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0
82125ffffffffff,5.0,2.0,0.0
82128ffffffffff,2.0,2.0,0.0
821297fffffffff,34.0,6.0,0.0
8212affffffffff,4.0,2.0,0.0
8212b7fffffffff,18.0,0.0,0.0
8212c7fffffffff,36.0,10.0,0.0
8212cffffffffff,92.0,6.0,0.0
8212d7fffffffff,3.0,0.0,0.0
8212dffffffffff,14.0,0.0,0.0
8212effffffffff,7.0,0.0,0.0
8212f7fffffffff,2.0,0.0,0.0
821357fffffffff,10.0,5.0,0.0
821387fffffffff,8.0,0.0,0.0
82139ffffffffff,6.0,0.0,0.0
821aa7fffffffff,120.0,0.0,6.0
821aaffffffffff,1.0,0.0,0.0
821ab7fffffffff,13.0,0.0,2.0
821b8ffffffffff,8.0,0.0,0.0
821b9ffffffffff,13.0,0.0,4.0
821bb7fffffffff,2.0,2.0,0.0
8222d7fffffffff,2.0,0.0,0.0
822607fffffffff,12.0,4.0,0.0
82260ffffffffff,38.0,5.0,0.0
822617fffffffff,8.0,0.0,0.0
82261ffffffffff,2.0,0.0,0.0
822627fffffffff,15.0,2.0,0.0
82262ffffffffff,29.0,2.0,0.0
822637fffffffff,6.0,3.0,0.0
822647fffffffff,141.0,15.0,0.0
82264ffffffffff,350.0,59.0,16.0
