cell_id,Megascops asio,Megascops asio [asio Group],Megascops asio mccallii
832600fffffffff,16.0,0.0,0.0
832601fffffffff,58.0,3.0,0.0
832602fffffffff,11.0,0.0,0.0
832603fffffffff,69.0,19.0,0.0
832604fffffffff,7.0,0.0,0.0
832605fffffffff,36.0,0.0,0.0
832608fffffffff,18.0,2.0,0.0
832609fffffffff,11.0,0.0,0.0
83260afffffffff,58.0,0.0,0.0
83260bfffffffff,66.0,8.0,0.0
83260cfffffffff,15.0,2.0,0.0
83260dfffffffff,6.0,0.0,0.0
83260efffffffff,14.0,6.0,0.0
832610fffffffff,12.0,0.0,0.0
832611fffffffff,9.0,1.0,0.0
832612fffffffff,12.0,0.0,0.0
832614fffffffff,1.0,0.0,0.0
832615fffffffff,4.0,0.0,0.0
832618fffffffff,11.0,0.0,0.0
832619fffffffff,11.0,0.0,0.0
83261afffffffff,3.0,0.0,0.0
83261bfffffffff,17.0,0.0,0.0
83261cfffffffff,9.0,0.0,0.0
83261dfffffffff,3.0,0.0,0.0
83261efffffffff,5.0,0.0,0.0
832620fffffffff,2.0,0.0,0.0
832621fffffffff,14.0,0.0,0.0
832622fffffffff,7.0,0.0,0.0
832623fffffffff,22.0,0.0,0.0
832625fffffffff,4.0,0.0,0.0
832626fffffffff,31.0,10.0,0.0
832628fffffffff,2.0,0.0,0.0
832629fffffffff,3.0,0.0,0.0
83262bfffffffff,6.0,0.0,0.0
83262cfffffffff,126.0,3.0,0.0
83262dfffffffff,8.0,0.0,0.0
83262efffffffff,8.0,0.0,0.0
832632fffffffff,4.0,0.0,0.0
832633fffffffff,22.0,0.0,0.0
832634fffffffff,2.0,0.0,0.0
832635fffffffff,11.0,0.0,0.0
832636fffffffff,43.0,3.0,0.0
832640fffffffff,49.0,2.0,0.0
832641fffffffff,90.0,7.0,0.0
832642fffffffff,34.0,2.0,0.0
832643fffffffff,151.0,2.0,0.0
832644fffffffff,6.0,0.0,0.0
832645fffffffff,13.0,0.0,0.0
832646fffffffff,185.0,0.0,0.0
832648fffffffff,233.0,0.0,0.0
832649fffffffff,149.0,0.0,0.0
83264afffffffff,41.0,0.0,0.0
83264bfffffffff,117.0,0.0,0.0
83264cfffffffff,167.0,2.0,0.0
83264dfffffffff,203.0,0.0,0.0
83264efffffffff,147.0,1.0,0.0
832650fffffffff,24.0,0.0,0.0
832651fffffffff,59.0,0.0,0.0
832652fffffffff,84.0,0.0,0.0
832653fffffffff,89.0,0.0,0.0
832654fffffffff,9.0,0.0,0.0
832655fffffffff,179.0,2.0,0.0
832656fffffffff,134.0,6.0,0.0
832658fffffffff,3.0,0.0,0.0
832659fffffffff,59.0,0.0,0.0
83265afffffffff,30.0,0.0,0.0
83265bfffffffff,52.0,3.0,0.0
83265cfffffffff,22.0,0.0,0.0
83265dfffffffff,88.0,0.0,0.0
83265efffffffff,72.0,0.0,0.0
832660fffffffff,68.0,3.0,0.0
832661fffffffff,171.0,0.0,0.0
832662fffffffff,150.0,9.0,0.0
832663fffffffff,30.0,1.0,0.0
832664fffffffff,603.0,18.0,0.0
832665fffffffff,166.0,0.0,0.0
832666fffffffff,135.0,5.0,0.0
832668fffffffff,202.0,8.0,0.0
832669fffffffff,46.0,11.0,0.0
83266afffffffff,42.0,2.0,0.0
83266bfffffffff,64.0,2.0,0.0
83266cfffffffff,232.0,0.0,0.0
83266dfffffffff,398.0,21.0,0.0
83266efffffffff,94.0,0.0,0.0
832670fffffffff,14.0,0.0,0.0
832671fffffffff,135.0,2.0,0.0
832672fffffffff,9.0,0.0,0.0
832673fffffffff,23.0,0.0,0.0
832674fffffffff,4.0,0.0,0.0
832675fffffffff,28.0,0.0,0.0
832676fffffffff,6.0,0.0,0.0
832681fffffffff,243.0,0.0,0.0
832685fffffffff,13.0,0.0,0.0
83268cfffffffff,244.0,0.0,0.0
83268dfffffffff,5.0,0.0,0.0
8326a1fffffffff,40.0,0.0,0.0
8326a4fffffffff,1.0,0.0,0.0
8326a5fffffffff,8.0,0.0,0.0
8326a8fffffffff,283.0,0.0,0.0
8326a9fffffffff,61.0,1.0,0.0
8326aafffffffff,516.0,0.0,0.0
8326abfffffffff,32.0,0.0,0.0
8326acfffffffff,19.0,1.0,0.0
8326adfffffffff,17.0,2.0,0.0
8326aefffffffff,132.0,6.0,0.0
8326c0fffffffff,2.0,0.0,0.0
8326c1fffffffff,13.0,0.0,0.0
8326c3fffffffff,48.0,0.0,0.0
8326c4fffffffff,12.0,0.0,0.0
8326c5fffffffff,11.0,0.0,0.0
8326c6fffffffff,2.0,0.0,0.0
8326c8fffffffff,196.0,0.0,0.0
8326c9fffffffff,57.0,0.0,0.0
8326cafffffffff,89.0,0.0,0.0
8326cbfffffffff,242.0,0.0,0.0
8326ccfffffffff,12.0,0.0,0.0
8326cdfffffffff,28.0,0.0,0.0
8326cefffffffff,6.0,0.0,0.0
8326d1fffffffff,65.0,0.0,0.0
8326d4fffffffff,4.0,0.0,0.0
8326d5fffffffff,4.0,0.0,0.0
8326d8fffffffff,11.0,0.0,0.0
