cell_id,Edolisoma mindanense,Edolisoma mindanense lecroyae,Edolisoma mindanense elusum,Edolisoma mindanense mindanense/ripleyi,Edolisoma mindanense everetti
836842fffffffff,2.0,0.0,0.0,0.0,0.0
836844fffffffff,12.0,0.0,0.0,0.0,0.0
83684efffffffff,138.0,0.0,0.0,0.0,0.0
836856fffffffff,1.0,0.0,0.0,0.0,0.0
83685cfffffffff,1.0,0.0,0.0,0.0,0.0
83685dfffffffff,8.0,0.0,0.0,0.0,0.0
83685efffffffff,33.0,0.0,0.0,0.0,0.0
83686efffffffff,12.0,0.0,0.0,0.0,0.0
836943fffffffff,9.0,0.0,0.0,0.0,0.0
836958fffffffff,21.0,0.0,0.0,0.0,0.0
836968fffffffff,1.0,0.0,0.0,0.0,0.0
