cell_id,Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomeus assimilis,Pyrrhomyias cinnamomeus [vieillotioides Group],Pyrrhomyias cinnamomeus cinnamomeus/pyrrhopterus
825f4ffffffffff,1.0,0.0,0.0,0.0
82660ffffffffff,15.0,0.0,0.0,0.0
82661ffffffffff,1.0,0.0,0.0,0.0
826627fffffffff,4.0,2.0,0.0,0.0
82662ffffffffff,2.0,0.0,2.0,0.0
8266c7fffffffff,2.0,0.0,0.0,0.0
8266dffffffffff,18.0,0.0,0.0,18.0
8266f7fffffffff,5.0,0.0,0.0,2.0
826747fffffffff,1.0,0.0,1.0,0.0
82675ffffffffff,4.0,0.0,1.0,0.0
828b27fffffffff,2.0,0.0,0.0,2.0
828b2ffffffffff,2.0,0.0,0.0,0.0
828b67fffffffff,1.0,0.0,0.0,0.0
828f4ffffffffff,19.0,0.0,0.0,0.0
828f57fffffffff,2.0,0.0,0.0,0.0
828f5ffffffffff,2.0,0.0,0.0,2.0
82b277fffffffff,1.0,0.0,0.0,0.0
82b347fffffffff,3.0,0.0,0.0,0.0
82b35ffffffffff,3.0,0.0,0.0,0.0
