cell_id,Tachyeres pteneres,Tachyeres pteneres [undescribed form]
84cea89ffffffff,10.0,0.0
84cea8dffffffff,48.0,1.0
84ceac1ffffffff,5.0,5.0
84ceac5ffffffff,32.0,9.0
84ceac7ffffffff,1.0,0.0
84ceacdffffffff,21.0,3.0
84ceae1ffffffff,2.0,0.0
84ceae3ffffffff,3.0,0.0
84ceaebffffffff,11.0,0.0
84cf129ffffffff,4.0,0.0
84cf16dffffffff,2.0,0.0
84cf329ffffffff,2.0,0.0
84df445ffffffff,3.0,0.0
84df451ffffffff,14.0,0.0
84df455ffffffff,2.0,0.0
84df459ffffffff,9.0,0.0
84df689ffffffff,5.0,0.0
84df68bffffffff,1.0,0.0
84df699ffffffff,1.0,0.0
84df69bffffffff,2.0,0.0
84df69dffffffff,1.0,0.0
84df6d7ffffffff,5.0,0.0
