cell_id,Troglodytes pacificus,Troglodytes pacificus [alascensis Group],Troglodytes pacificus [pacificus Group]
8329a6fffffffff,38.0,0.0,0.0
8329a9fffffffff,4.0,0.0,2.0
8329aafffffffff,27.0,0.0,2.0
8329abfffffffff,8.0,0.0,0.0
8329acfffffffff,2.0,0.0,0.0
8329adfffffffff,3.0,0.0,1.0
8329aefffffffff,5.0,0.0,1.0
8329b0fffffffff,5.0,0.0,0.0
8329b1fffffffff,6.0,0.0,0.0
8329b2fffffffff,72.0,0.0,0.0
8329b5fffffffff,2.0,0.0,0.0
8329b6fffffffff,49.0,0.0,1.0
8348c0fffffffff,3.0,0.0,0.0
8348c1fffffffff,2.0,0.0,0.0
8348c5fffffffff,7.0,0.0,0.0
8348c6fffffffff,34.0,0.0,0.0
8348cdfffffffff,6.0,0.0,0.0
8348d0fffffffff,10.0,0.0,0.0
8348d4fffffffff,101.0,0.0,0.0
8348d5fffffffff,2.0,0.0,0.0
8348d8fffffffff,175.0,0.0,1.0
8348dafffffffff,2.0,0.0,0.0
8348defffffffff,1.0,0.0,0.0
8348e8fffffffff,21.0,0.0,2.0
8348e9fffffffff,2.0,0.0,0.0
8348eafffffffff,5.0,0.0,0.0
8348ebfffffffff,16.0,0.0,0.0
8348ecfffffffff,11.0,0.0,0.0
8348eefffffffff,99.0,0.0,3.0
