cell_id,Hemiphaga novaeseelandiae,Hemiphaga novaeseelandiae spadicea,Hemiphaga novaeseelandiae novaeseelandiae
84bb091ffffffff,25.0,0.0,0.0
84bb0ddffffffff,6.0,0.0,0.0
84bb291ffffffff,7.0,0.0,0.0
84bb293ffffffff,11.0,0.0,0.0
84bb295ffffffff,3.0,0.0,0.0
84bb2b9ffffffff,1.0,0.0,0.0
84bb2bbffffffff,4.0,0.0,0.0
84bb507ffffffff,7.0,0.0,0.0
84bb767ffffffff,2.0,0.0,0.0
84da82dffffffff,2.0,0.0,0.0
84da83bffffffff,1.0,0.0,1.0
84da857ffffffff,3.0,0.0,0.0
84da907ffffffff,1.0,0.0,0.0
84daaa5ffffffff,2.0,0.0,0.0
84daaabffffffff,2.0,0.0,0.0
