cell_id,Hydrobates castro,Hydrobates castro castro,Hydrobates castro [undescribed form],Hydrobates castro bangsi
822a1ffffffffff,5.0,0.0,0.0,0.0
822ac7fffffffff,1902.0,0.0,142.0,0.0
822af7fffffffff,179.0,0.0,7.0,0.0
822f8ffffffffff,1.0,0.0,0.0,0.0
823427fffffffff,8.0,0.0,0.0,0.0
823437fffffffff,6.0,0.0,0.0,0.0
82344ffffffffff,2.0,0.0,0.0,0.0
82345ffffffffff,2.0,0.0,0.0,0.0
823467fffffffff,79.0,36.0,0.0,0.0
82346ffffffffff,60.0,0.0,0.0,0.0
82351ffffffffff,22.0,0.0,9.0,0.0
8235affffffffff,2.0,0.0,0.0,0.0
823937fffffffff,13.0,0.0,0.0,0.0
823997fffffffff,34.0,0.0,0.0,0.0
82440ffffffffff,5.0,0.0,0.0,0.0
824417fffffffff,1.0,0.0,0.0,0.0
824457fffffffff,1.0,0.0,0.0,0.0
824477fffffffff,20.0,0.0,0.0,0.0
8244a7fffffffff,50.0,0.0,0.0,0.0
82464ffffffffff,85.0,0.0,0.0,0.0
82512ffffffffff,2.0,0.0,0.0,0.0
825597fffffffff,3.0,0.0,0.0,0.0
8255b7fffffffff,5.0,0.0,0.0,0.0
825caffffffffff,3.0,0.0,0.0,0.0
825d17fffffffff,11.0,0.0,0.0,0.0
826697fffffffff,3.0,0.0,0.0,0.0
82669ffffffffff,54.0,0.0,0.0,0.0
8266b7fffffffff,5.0,0.0,0.0,0.0
82679ffffffffff,3.0,0.0,0.0,0.0
826c57fffffffff,1.0,0.0,0.0,0.0
826c5ffffffffff,623.0,0.0,0.0,170.0
826d4ffffffffff,18.0,0.0,0.0,0.0
826d6ffffffffff,1.0,0.0,0.0,0.0
827caffffffffff,1.0,0.0,0.0,0.0
827cc7fffffffff,1.0,0.0,0.0,0.0
827cf7fffffffff,1.0,0.0,0.0,0.0
827d87fffffffff,2.0,0.0,0.0,0.0
827db7fffffffff,2.0,0.0,0.0,0.0
828f27fffffffff,1.0,0.0,0.0,0.0
828fa7fffffffff,230.0,0.0,0.0,61.0
828fb7fffffffff,5.0,0.0,0.0,2.0
8290d7fffffffff,2.0,0.0,0.0,0.0
829327fffffffff,2.0,0.0,0.0,0.0
82980ffffffffff,6.0,0.0,0.0,0.0
82981ffffffffff,1.0,0.0,0.0,0.0
829837fffffffff,1.0,0.0,0.0,0.0
8299a7fffffffff,3.0,0.0,0.0,0.0
8299affffffffff,1.0,0.0,0.0,0.0
