cell_id,Cyanocorax yncas,Cyanocorax yncas [luxuosus Group],Cyanocorax yncas [yncas Group]
8229a7fffffffff,17.0,1.0,0.0
82446ffffffffff,6.0,0.0,0.0
824507fffffffff,4.0,0.0,0.0
824527fffffffff,60.0,0.0,0.0
82452ffffffffff,11.0,0.0,0.0
824537fffffffff,6.0,0.0,0.0
824817fffffffff,4.0,0.0,0.0
824887fffffffff,11.0,1.0,0.0
82488ffffffffff,20.0,0.0,0.0
824897fffffffff,162.0,1.0,0.0
82489ffffffffff,16.0,0.0,0.0
8248a7fffffffff,15.0,0.0,0.0
8248b7fffffffff,19.0,1.0,0.0
82498ffffffffff,7.0,1.0,0.0
824997fffffffff,51.0,2.0,0.0
82499ffffffffff,6.0,3.0,0.0
8249a7fffffffff,4.0,0.0,0.0
8249b7fffffffff,1.0,1.0,0.0
82660ffffffffff,10.0,0.0,0.0
82661ffffffffff,4.0,0.0,2.0
82662ffffffffff,4.0,0.0,0.0
8266c7fffffffff,3.0,0.0,0.0
8266dffffffffff,19.0,0.0,17.0
8266e7fffffffff,22.0,0.0,10.0
8266f7fffffffff,2.0,0.0,2.0
826747fffffffff,1.0,0.0,1.0
82674ffffffffff,97.0,0.0,7.0
826757fffffffff,2.0,0.0,0.0
82675ffffffffff,7.0,0.0,0.0
826d27fffffffff,18.0,3.0,0.0
826d2ffffffffff,5.0,0.0,0.0
826d37fffffffff,4.0,2.0,0.0
828b2ffffffffff,1.0,0.0,1.0
828e67fffffffff,7.0,0.0,6.0
828f47fffffffff,7.0,0.0,7.0
828f4ffffffffff,29.0,0.0,0.0
828f57fffffffff,5.0,0.0,5.0
828f5ffffffffff,4.0,0.0,1.0
828f77fffffffff,14.0,0.0,0.0
