cell_id,Amaurospiza concolor,Amaurospiza concolor relicta,Amaurospiza concolor concolor
84452c9ffffffff,10.0,0.0,0.0
84452e1ffffffff,80.0,0.0,0.0
84452e5ffffffff,9.0,0.0,0.0
84452e7ffffffff,7.0,0.0,0.0
844980dffffffff,1.0,1.0,0.0
844986dffffffff,4.0,0.0,0.0
844994bffffffff,2.0,2.0,0.0
8449a85ffffffff,4.0,1.0,0.0
8449aedffffffff,1.0,1.0,0.0
8449b33ffffffff,3.0,3.0,0.0
8449b35ffffffff,1.0,1.0,0.0
8466a05ffffffff,3.0,0.0,0.0
8466b41ffffffff,2.0,0.0,0.0
8466b45ffffffff,2.0,0.0,1.0
8466b4dffffffff,66.0,0.0,5.0
8466b51ffffffff,13.0,0.0,0.0
8466b5bffffffff,3.0,0.0,0.0
8467961ffffffff,2.0,0.0,0.0
84679a7ffffffff,1.0,0.0,0.0
846d239ffffffff,3.0,0.0,0.0
846d23dffffffff,2.0,0.0,2.0
846d283ffffffff,2.0,0.0,0.0
846d291ffffffff,3.0,0.0,0.0
846d295ffffffff,13.0,0.0,0.0
846d297ffffffff,2.0,0.0,0.0
846d2a9ffffffff,4.0,0.0,0.0
846d2b9ffffffff,32.0,0.0,0.0
846d2c1ffffffff,1.0,0.0,0.0
846d2c9ffffffff,13.0,0.0,1.0
846d2d1ffffffff,6.0,0.0,0.0
846d2d7ffffffff,9.0,0.0,0.0
846d2d9ffffffff,6.0,0.0,0.0
846d32bffffffff,4.0,4.0,0.0
846d337ffffffff,3.0,0.0,0.0
846d617ffffffff,7.0,0.0,0.0
846d68bffffffff,2.0,0.0,0.0
846d691ffffffff,22.0,0.0,0.0
846d693ffffffff,6.0,0.0,0.0
846d69bffffffff,31.0,0.0,0.0
846d69dffffffff,11.0,0.0,0.0
846d6b9ffffffff,2.0,0.0,0.0
846d6bbffffffff,15.0,0.0,0.0
846d745ffffffff,4.0,0.0,0.0
