cell_id,Corvus corone,Corvus corone corone,Corvus corone orientalis
840811dffffffff,2.0,0.0,0.0
840882bffffffff,1.0,0.0,0.0
8408867ffffffff,2.0,0.0,0.0
8408959ffffffff,1.0,0.0,0.0
840991bffffffff,2.0,0.0,0.0
841828bffffffff,8.0,0.0,0.0
84182c1ffffffff,3.0,0.0,0.0
84182c3ffffffff,4.0,0.0,0.0
84182c9ffffffff,4.0,0.0,0.0
84182cbffffffff,37.0,1.0,0.0
8418491ffffffff,1.0,1.0,0.0
8418495ffffffff,29.0,0.0,0.0
8418497ffffffff,2.0,2.0,0.0
8418499ffffffff,2.0,2.0,0.0
84184b1ffffffff,14.0,2.0,0.0
84184b3ffffffff,2.0,0.0,0.0
84184b7ffffffff,7.0,0.0,0.0
84184b9ffffffff,7.0,0.0,0.0
84184bbffffffff,7.0,0.0,0.0
8418597ffffffff,11.0,0.0,0.0
84185b1ffffffff,2.0,0.0,0.0
84185b3ffffffff,2.0,2.0,0.0
84185b5ffffffff,8.0,0.0,0.0
84185bbffffffff,15.0,1.0,0.0
8418623ffffffff,4.0,0.0,0.0
8418747ffffffff,1.0,0.0,0.0
841909bffffffff,4.0,4.0,0.0
84190bbffffffff,2.0,0.0,0.0
8419229ffffffff,1.0,1.0,0.0
8419415ffffffff,3.0,3.0,0.0
8419417ffffffff,6.0,6.0,0.0
8419423ffffffff,2.0,0.0,0.0
8419427ffffffff,1.0,1.0,0.0
8419431ffffffff,1.0,0.0,0.0
8419435ffffffff,2.0,2.0,0.0
84194a1ffffffff,2.0,2.0,0.0
84194ddffffffff,1.0,0.0,0.0
84194e3ffffffff,7.0,7.0,0.0
84194e7ffffffff,1.0,1.0,0.0
84194edffffffff,10.0,6.0,0.0
8419507ffffffff,1.0,0.0,0.0
8419527ffffffff,2.0,0.0,0.0
8419529ffffffff,1.0,0.0,0.0
8419549ffffffff,1.0,1.0,0.0
841954dffffffff,1.0,1.0,0.0
8419565ffffffff,18.0,0.0,0.0
8419581ffffffff,10.0,10.0,0.0
841959dffffffff,2.0,2.0,0.0
84195cbffffffff,1.0,1.0,0.0
84195d1ffffffff,3.0,3.0,0.0
84195d3ffffffff,2.0,2.0,0.0
8419695ffffffff,1.0,1.0,0.0
8419725ffffffff,1.0,1.0,0.0
8419727ffffffff,4.0,4.0,0.0
841972dffffffff,4.0,4.0,0.0
8419733ffffffff,1.0,1.0,0.0
841e029ffffffff,27.0,0.0,0.0
841e02dffffffff,1.0,0.0,0.0
841e067ffffffff,26.0,0.0,0.0
841e06bffffffff,11.0,0.0,0.0
841e115ffffffff,2.0,0.0,0.0
841e21bffffffff,3.0,0.0,0.0
841e24bffffffff,1.0,0.0,0.0
841e345ffffffff,3.0,0.0,0.0
841e36bffffffff,2.0,0.0,0.0
841ea19ffffffff,3.0,0.0,0.0
841f02dffffffff,2.0,0.0,0.0
841f03bffffffff,3.0,0.0,0.0
841f051ffffffff,23.0,0.0,0.0
841f0c7ffffffff,2.0,0.0,0.0
841f0e9ffffffff,1.0,0.0,0.0
841f119ffffffff,1.0,1.0,0.0
841f11dffffffff,1.0,1.0,0.0
841f15bffffffff,1.0,1.0,0.0
