cell_id,Icterus graduacauda,Icterus graduacauda graduacauda/audubonii,Icterus graduacauda dickeyae/nayaritensis
824837fffffffff,224.0,0.0,76.0
824887fffffffff,2311.0,4.0,0.0
824897fffffffff,594.0,0.0,0.0
82489ffffffffff,419.0,0.0,0.0
8248a7fffffffff,1666.0,43.0,0.0
8248affffffffff,2.0,0.0,0.0
8248b7fffffffff,4134.0,159.0,0.0
824987fffffffff,20.0,0.0,0.0
82498ffffffffff,5.0,0.0,0.0
824997fffffffff,1608.0,612.0,0.0
82499ffffffffff,698.0,68.0,0.0
8249affffffffff,251.0,0.0,68.0
8249b7fffffffff,143.0,0.0,75.0
826d17fffffffff,531.0,0.0,317.0
826d37fffffffff,590.0,0.0,243.0
