cell_id,Cuculus clamosus,Cuculus clamosus gabonensis,Cuculus clamosus clamosus
8354e8fffffffff,9.0,0.0,0.0
835883fffffffff,2.0,0.0,0.0
835894fffffffff,6.0,0.0,0.0
835895fffffffff,5.0,0.0,0.0
835896fffffffff,4.0,0.0,0.0
8358d2fffffffff,7.0,2.0,0.0
8358dbfffffffff,2.0,0.0,0.0
8358defffffffff,1.0,0.0,0.0
8358e2fffffffff,3.0,0.0,0.0
836a10fffffffff,2.0,0.0,0.0
836a5afffffffff,8.0,0.0,0.0
836a69fffffffff,2.0,0.0,0.0
836a9afffffffff,1.0,0.0,0.0
836a9efffffffff,3.0,0.0,0.0
836ac0fffffffff,21.0,7.0,0.0
836ac1fffffffff,54.0,5.0,0.0
836ac3fffffffff,10.0,0.0,0.0
836ac8fffffffff,3.0,3.0,0.0
836ac9fffffffff,3.0,0.0,0.0
836acafffffffff,1.0,0.0,0.0
836accfffffffff,7.0,0.0,0.0
836acdfffffffff,15.0,1.0,0.0
836acefffffffff,43.0,5.0,0.0
836adcfffffffff,93.0,17.0,0.0
836adefffffffff,6.0,0.0,0.0
836ae0fffffffff,1.0,0.0,0.0
836ae8fffffffff,3.0,0.0,0.0
836aeafffffffff,30.0,9.0,0.0
836aebfffffffff,4.0,0.0,0.0
836aedfffffffff,2.0,0.0,0.0
836aeefffffffff,3.0,0.0,0.0
837508fffffffff,38.0,10.0,0.0
837509fffffffff,1.0,0.0,0.0
83750cfffffffff,2.0,0.0,0.0
83750dfffffffff,73.0,5.0,0.0
837519fffffffff,1.0,0.0,0.0
837520fffffffff,8.0,0.0,0.0
837529fffffffff,45.0,6.0,0.0
83752afffffffff,42.0,2.0,0.0
83752bfffffffff,41.0,11.0,0.0
83752dfffffffff,5.0,0.0,0.0
83752efffffffff,1.0,0.0,0.0
8375a8fffffffff,2.0,0.0,0.0
837a40fffffffff,14.0,0.0,0.0
837a41fffffffff,9.0,0.0,0.0
837a45fffffffff,2.0,0.0,0.0
837a48fffffffff,3.0,0.0,0.0
837a4afffffffff,1.0,0.0,0.0
837a4bfffffffff,1.0,0.0,0.0
837a4cfffffffff,60.0,0.0,0.0
837a4dfffffffff,24.0,0.0,0.0
837a53fffffffff,3.0,0.0,0.0
837a60fffffffff,63.0,0.0,0.0
837a61fffffffff,2.0,0.0,0.0
837a63fffffffff,2.0,0.0,0.0
837a65fffffffff,14.0,0.0,0.0
837a68fffffffff,1.0,0.0,0.0
837a6afffffffff,61.0,0.0,0.0
837a6bfffffffff,3.0,0.0,0.0
837a6dfffffffff,6.0,0.0,0.0
837a6efffffffff,4.0,0.0,0.0
837ac1fffffffff,1.0,0.0,0.0
837acdfffffffff,9.0,0.0,4.0
837ae8fffffffff,2.0,0.0,0.0
837ae9fffffffff,9.0,0.0,0.0
837aeafffffffff,2.0,0.0,0.0
837b48fffffffff,2.0,0.0,0.0
837b4bfffffffff,3.0,0.0,0.0
837b6bfffffffff,1.0,0.0,0.0
838218fffffffff,3.0,0.0,0.0
838285fffffffff,3.0,0.0,0.0
83828bfffffffff,2.0,0.0,0.0
83828dfffffffff,171.0,7.0,0.0
8382a0fffffffff,5.0,0.0,0.0
8382a3fffffffff,9.0,0.0,0.0
8382a5fffffffff,4.0,0.0,0.0
8382a8fffffffff,3.0,0.0,0.0
8382aafffffffff,2.0,0.0,0.0
8382d2fffffffff,7.0,0.0,0.0
8382d3fffffffff,7.0,2.0,0.0
838315fffffffff,1.0,0.0,1.0
838333fffffffff,4.0,0.0,0.0
838392fffffffff,1.0,0.0,0.0
838398fffffffff,24.0,2.0,0.0
8383acfffffffff,3.0,0.0,2.0
839600fffffffff,10.0,0.0,1.0
839601fffffffff,12.0,0.0,0.0
839602fffffffff,3.0,0.0,1.0
839603fffffffff,1.0,0.0,1.0
839604fffffffff,2.0,0.0,0.0
839605fffffffff,1.0,0.0,0.0
839609fffffffff,5.0,0.0,0.0
83960bfffffffff,24.0,0.0,6.0
83960efffffffff,6.0,0.0,0.0
839614fffffffff,2.0,0.0,0.0
839615fffffffff,10.0,0.0,4.0
83961afffffffff,2.0,0.0,0.0
839620fffffffff,10.0,0.0,8.0
839621fffffffff,4.0,0.0,0.0
839623fffffffff,13.0,0.0,3.0
839626fffffffff,16.0,0.0,0.0
839628fffffffff,2.0,0.0,0.0
83962bfffffffff,1.0,0.0,0.0
83962cfffffffff,9.0,0.0,4.0
83962efffffffff,8.0,0.0,3.0
839633fffffffff,7.0,0.0,3.0
839656fffffffff,3.0,0.0,2.0
839670fffffffff,3.0,0.0,0.0
839690fffffffff,9.0,0.0,0.0
839692fffffffff,19.0,0.0,0.0
839693fffffffff,15.0,0.0,0.0
8396a3fffffffff,2.0,0.0,0.0
8396abfffffffff,2.0,0.0,0.0
8396b0fffffffff,3.0,0.0,0.0
8396b1fffffffff,40.0,0.0,0.0
8396b4fffffffff,2.0,0.0,0.0
8396b5fffffffff,2.0,0.0,0.0
8396b6fffffffff,2.0,0.0,0.0
8396d2fffffffff,1.0,0.0,0.0
8396e4fffffffff,2.0,0.0,0.0
839701fffffffff,2.0,0.0,0.0
839702fffffffff,13.0,0.0,0.0
839703fffffffff,23.0,0.0,0.0
83970dfffffffff,1.0,0.0,0.0
839710fffffffff,47.0,0.0,0.0
839711fffffffff,33.0,0.0,0.0
839715fffffffff,5.0,0.0,0.0
839719fffffffff,2.0,0.0,0.0
839728fffffffff,2.0,0.0,0.0
839729fffffffff,17.0,0.0,0.0
83972cfffffffff,2.0,0.0,0.0
83972dfffffffff,8.0,0.0,2.0
83972efffffffff,21.0,0.0,4.0
839731fffffffff,1.0,0.0,0.0
839740fffffffff,2.0,0.0,0.0
839741fffffffff,8.0,0.0,0.0
839743fffffffff,27.0,0.0,0.0
839748fffffffff,2.0,0.0,0.0
83974afffffffff,153.0,0.0,5.0
83974bfffffffff,55.0,0.0,10.0
83974efffffffff,20.0,0.0,0.0
839750fffffffff,8.0,0.0,2.0
839751fffffffff,62.0,0.0,5.0
839754fffffffff,2.0,0.0,0.0
839758fffffffff,3.0,0.0,0.0
83975cfffffffff,14.0,0.0,3.0
83975dfffffffff,9.0,0.0,0.0
83975efffffffff,17.0,0.0,2.0
839770fffffffff,5.0,0.0,0.0
839775fffffffff,4.0,0.0,0.0
83978dfffffffff,4.0,0.0,0.0
8397a8fffffffff,3.0,0.0,0.0
83ac80fffffffff,6.0,0.0,0.0
83ac81fffffffff,11.0,0.0,0.0
83ac86fffffffff,37.0,0.0,8.0
83ac8afffffffff,2.0,0.0,0.0
83ac96fffffffff,40.0,0.0,0.0
83aca1fffffffff,2.0,0.0,0.0
83aca2fffffffff,23.0,0.0,0.0
83aca3fffffffff,32.0,0.0,4.0
83aca6fffffffff,24.0,0.0,0.0
83acb1fffffffff,8.0,0.0,0.0
83acb3fffffffff,1.0,0.0,0.0
83ad82fffffffff,2.0,0.0,1.0
83ad86fffffffff,1.0,0.0,0.0
83adb2fffffffff,8.0,0.0,2.0
83bc09fffffffff,3.0,0.0,0.0
83bc0afffffffff,1.0,0.0,0.0
83bc0bfffffffff,4.0,0.0,0.0
83bc19fffffffff,3.0,0.0,0.0
83bc1bfffffffff,4.0,0.0,0.0
83bc44fffffffff,1.0,0.0,0.0
83bc45fffffffff,19.0,0.0,2.0
83bc46fffffffff,6.0,0.0,0.0
83bc56fffffffff,1.0,0.0,0.0
83bc69fffffffff,3.0,0.0,0.0
