cell_id,Trochocercus cyanomelas,Trochocercus cyanomelas [bivittatus Group],Trochocercus cyanomelas cyanomelas/segregus
846ac03ffffffff,4.0,0.0,0.0
846ac15ffffffff,1.0,0.0,0.0
846ad83ffffffff,1.0,0.0,0.0
846ad8bffffffff,1.0,0.0,0.0
846adc1ffffffff,4.0,0.0,0.0
846add7ffffffff,1.0,0.0,0.0
847a657ffffffff,1.0,0.0,0.0
847b487ffffffff,23.0,0.0,0.0
847b4a1ffffffff,2.0,0.0,0.0
847b4a7ffffffff,2.0,0.0,0.0
847b4b3ffffffff,1.0,0.0,0.0
847b4b9ffffffff,7.0,0.0,0.0
847b4dbffffffff,1.0,0.0,0.0
847b591ffffffff,3.0,0.0,0.0
847b595ffffffff,1.0,0.0,0.0
847b597ffffffff,137.0,0.0,0.0
847b6bbffffffff,3.0,0.0,0.0
847b6d5ffffffff,2.0,0.0,0.0
8496009ffffffff,5.0,0.0,0.0
8496019ffffffff,1.0,0.0,0.0
849602dffffffff,3.0,0.0,0.0
849603bffffffff,1.0,0.0,0.0
8496047ffffffff,2.0,0.0,0.0
8496097ffffffff,1.0,0.0,0.0
8496727ffffffff,1.0,0.0,0.0
8496925ffffffff,17.0,0.0,0.0
8496935ffffffff,6.0,0.0,0.0
8496b47ffffffff,9.0,0.0,0.0
8497007ffffffff,3.0,0.0,0.0
849702bffffffff,9.0,0.0,0.0
8497035ffffffff,6.0,0.0,0.0
8497051ffffffff,3.0,0.0,0.0
8497103ffffffff,27.0,0.0,0.0
8497107ffffffff,13.0,0.0,0.0
8497119ffffffff,14.0,0.0,0.0
849711dffffffff,13.0,0.0,0.0
8497139ffffffff,10.0,0.0,0.0
84971c1ffffffff,18.0,0.0,0.0
8497289ffffffff,3.0,0.0,0.0
84972d5ffffffff,2.0,0.0,0.0
84972d9ffffffff,133.0,0.0,10.0
84978b9ffffffff,10.0,0.0,0.0
8497937ffffffff,3.0,0.0,0.0
84ad361ffffffff,2.0,0.0,0.0
84bc091ffffffff,1.0,0.0,0.0
84bc093ffffffff,2.0,0.0,0.0
84bc095ffffffff,2.0,0.0,0.0
84bc099ffffffff,1.0,0.0,0.0
84bc193ffffffff,3.0,0.0,1.0
84bc197ffffffff,1.0,0.0,0.0
84bc19bffffffff,17.0,0.0,0.0
84bc1b3ffffffff,1.0,0.0,0.0
84bc1b7ffffffff,8.0,0.0,0.0
84bc409ffffffff,2.0,0.0,0.0
84bc443ffffffff,4.0,0.0,1.0
84bc445ffffffff,1.0,0.0,0.0
84bc447ffffffff,19.0,0.0,2.0
84bc455ffffffff,81.0,0.0,17.0
84bc457ffffffff,8.0,0.0,0.0
84bc46dffffffff,2.0,0.0,0.0
84bc545ffffffff,4.0,0.0,0.0
84bc695ffffffff,8.0,0.0,2.0
84bc697ffffffff,61.0,0.0,4.0
84bc6a3ffffffff,51.0,0.0,11.0
84bc6a7ffffffff,3.0,0.0,0.0
84bc6abffffffff,1.0,0.0,0.0
84bc723ffffffff,2.0,0.0,0.0
84bc737ffffffff,2.0,0.0,0.0
84bc739ffffffff,1.0,0.0,0.0
84bc73bffffffff,12.0,0.0,0.0
84bc897ffffffff,1.0,0.0,0.0
84bc899ffffffff,6.0,0.0,0.0
84bc89bffffffff,19.0,0.0,0.0
84bc8d3ffffffff,2.0,0.0,0.0
84bcd01ffffffff,6.0,0.0,0.0
84bcd03ffffffff,2.0,0.0,0.0
84bcd05ffffffff,3.0,0.0,0.0
84bcd07ffffffff,39.0,0.0,2.0
84bcd09ffffffff,4.0,0.0,0.0
84bcd0dffffffff,1.0,0.0,0.0
84bcd15ffffffff,2.0,0.0,0.0
84bcd21ffffffff,1.0,0.0,0.0
84bcd23ffffffff,1.0,0.0,0.0
84bcd29ffffffff,1.0,0.0,0.0
84bcd3dffffffff,10.0,0.0,1.0
84bcd43ffffffff,3.0,0.0,0.0
84bcd47ffffffff,2.0,0.0,0.0
84bcd49ffffffff,1.0,0.0,0.0
84bcd4dffffffff,1.0,0.0,0.0
84bcdebffffffff,2.0,0.0,0.0
84bce2dffffffff,1.0,0.0,1.0
84bce4dffffffff,1.0,0.0,0.0
84bce65ffffffff,1.0,0.0,0.0
84bce67ffffffff,31.0,0.0,0.0
84bce69ffffffff,2.0,0.0,0.0
84bce6bffffffff,2.0,0.0,0.0
84bce6dffffffff,2.0,0.0,1.0
84bcf09ffffffff,25.0,2.0,1.0
84bcf0bffffffff,2.0,0.0,0.0
84bcf25ffffffff,17.0,0.0,0.0
84bcf29ffffffff,107.0,3.0,5.0
84bcf2dffffffff,16.0,0.0,0.0
84bcf3dffffffff,1.0,0.0,0.0
84bcf43ffffffff,5.0,0.0,0.0
84bcf47ffffffff,25.0,0.0,3.0
84bcf53ffffffff,25.0,0.0,1.0
84bcf59ffffffff,6.0,0.0,0.0
84bcf5bffffffff,37.0,0.0,6.0
84bcf5dffffffff,2.0,0.0,0.0
84bcf61ffffffff,135.0,3.0,1.0
84bcf63ffffffff,32.0,0.0,0.0
84bcf67ffffffff,22.0,0.0,0.0
84bcf6bffffffff,1.0,0.0,0.0
