cell_id,Butorides virescens,Butorides virescens virescens/bahamensis,Butorides virescens anthonyi,Butorides virescens frazari
822607fffffffff,302.0,0.0,0.0,0.0
82260ffffffffff,790.0,2.0,0.0,0.0
822617fffffffff,9.0,0.0,0.0,0.0
82261ffffffffff,107.0,0.0,0.0,0.0
822627fffffffff,1881.0,0.0,0.0,0.0
82262ffffffffff,4025.0,0.0,0.0,0.0
822637fffffffff,58.0,0.0,0.0,0.0
822647fffffffff,3970.0,0.0,0.0,0.0
82264ffffffffff,3231.0,0.0,0.0,0.0
822657fffffffff,4814.0,0.0,0.0,0.0
82265ffffffffff,3129.0,0.0,0.0,0.0
822667fffffffff,12155.0,0.0,0.0,0.0
82266ffffffffff,3728.0,0.0,0.0,0.0
822677fffffffff,876.0,0.0,0.0,0.0
822687fffffffff,111.0,0.0,0.0,0.0
82268ffffffffff,326.0,0.0,0.0,0.0
82269ffffffffff,31.0,0.0,0.0,0.0
8226affffffffff,182.0,0.0,0.0,0.0
8226c7fffffffff,726.0,0.0,0.0,0.0
8226cffffffffff,4230.0,0.0,0.0,0.0
8226d7fffffffff,46.0,0.0,0.0,0.0
8226dffffffffff,846.0,0.0,0.0,0.0
8226e7fffffffff,1511.0,0.0,0.0,0.0
8226effffffffff,1323.0,1.0,0.0,0.0
8226f7fffffffff,262.0,0.0,0.0,0.0
82270ffffffffff,217.0,0.0,0.0,0.0
82271ffffffffff,165.0,0.0,0.0,0.0
822747fffffffff,2594.0,0.0,0.0,0.0
82274ffffffffff,12772.0,0.0,0.0,0.0
822757fffffffff,3663.0,0.0,0.0,0.0
82275ffffffffff,11485.0,0.0,0.0,0.0
822767fffffffff,11.0,0.0,0.0,0.0
82276ffffffffff,3180.0,0.0,0.0,0.0
822777fffffffff,20.0,0.0,0.0,0.0
8227affffffffff,4.0,0.0,0.0,0.0
822807fffffffff,617.0,0.0,0.0,0.0
822817fffffffff,1289.0,0.0,0.0,0.0
82281ffffffffff,2029.0,0.0,0.0,0.0
822837fffffffff,22426.0,0.0,10.0,0.0
8228c7fffffffff,129.0,0.0,0.0,0.0
8228d7fffffffff,3546.0,0.0,0.0,0.0
8228dffffffffff,304.0,0.0,0.0,0.0
8228f7fffffffff,4507.0,0.0,0.0,0.0
822917fffffffff,1867.0,0.0,0.0,0.0
82291ffffffffff,776.0,0.0,0.0,0.0
822987fffffffff,1655.0,0.0,0.0,0.0
82298ffffffffff,87.0,0.0,0.0,0.0
822997fffffffff,94.0,0.0,0.0,0.0
8229a7fffffffff,23381.0,0.0,0.0,0.0
8229affffffffff,2753.0,0.0,0.0,0.0
8229b7fffffffff,1913.0,0.0,0.0,0.0
822a07fffffffff,59.0,0.0,0.0,0.0
822a17fffffffff,19716.0,2.0,0.0,0.0
822a37fffffffff,13984.0,0.0,0.0,0.0
822a4ffffffffff,1396.0,0.0,0.0,0.0
822a87fffffffff,4997.0,11.0,0.0,0.0
822a8ffffffffff,8575.0,0.0,0.0,0.0
822a97fffffffff,7350.0,0.0,0.0,0.0
822a9ffffffffff,2004.0,2.0,0.0,0.0
822aa7fffffffff,13920.0,0.0,0.0,0.0
822aaffffffffff,43737.0,276.0,0.0,0.0
822ab7fffffffff,27196.0,3.0,0.0,0.0
822ad7fffffffff,3412.0,0.0,0.0,0.0
822af7fffffffff,5650.0,59.0,0.0,0.0
822b17fffffffff,28.0,0.0,0.0,0.0
822b1ffffffffff,711.0,0.0,0.0,0.0
822b87fffffffff,4717.0,164.0,0.0,0.0
822b8ffffffffff,7724.0,0.0,0.0,0.0
822b97fffffffff,2.0,0.0,0.0,0.0
822b9ffffffffff,12154.0,30.0,0.0,0.0
822baffffffffff,8684.0,0.0,0.0,0.0
824417fffffffff,18304.0,158.0,0.0,0.0
82441ffffffffff,11905.0,96.0,0.0,0.0
824427fffffffff,53.0,0.0,0.0,0.0
824437fffffffff,1498.0,0.0,0.0,0.0
824447fffffffff,6718.0,0.0,0.0,0.0
82444ffffffffff,1963.0,0.0,0.0,0.0
824457fffffffff,6509.0,0.0,0.0,0.0
82445ffffffffff,950.0,0.0,0.0,0.0
824467fffffffff,889.0,0.0,0.0,0.0
82446ffffffffff,17581.0,159.0,0.0,0.0
824477fffffffff,2835.0,0.0,0.0,0.0
824487fffffffff,1867.0,0.0,0.0,0.0
8244a7fffffffff,7608.0,106.0,0.0,0.0
8244affffffffff,35833.0,895.0,0.0,0.0
8244b7fffffffff,2112.0,0.0,0.0,0.0
8244c7fffffffff,3934.0,0.0,0.0,0.0
8244cffffffffff,3696.0,0.0,0.0,0.0
8244d7fffffffff,14786.0,0.0,0.0,0.0
8244dffffffffff,4446.0,0.0,0.0,0.0
8244e7fffffffff,2842.0,21.0,0.0,0.0
8244effffffffff,1063.0,0.0,0.0,0.0
8244f7fffffffff,12223.0,39.0,0.0,0.0
824507fffffffff,2747.0,51.0,0.0,0.0
82450ffffffffff,4464.0,0.0,0.0,0.0
824517fffffffff,1.0,0.0,0.0,0.0
82451ffffffffff,251.0,0.0,0.0,0.0
824527fffffffff,6818.0,49.0,0.0,0.0
82452ffffffffff,11481.0,395.0,0.0,0.0
824537fffffffff,1937.0,0.0,0.0,0.0
82454ffffffffff,3.0,0.0,0.0,0.0
824577fffffffff,1057.0,25.0,0.0,0.0
824587fffffffff,236.0,0.0,0.0,0.0
82458ffffffffff,2518.0,0.0,0.0,0.0
824597fffffffff,347.0,0.0,0.0,0.0
82459ffffffffff,1006.0,0.0,0.0,0.0
8245a7fffffffff,1006.0,0.0,0.0,0.0
8245b7fffffffff,978.0,0.0,0.0,0.0
