cell_id,Galbula ruficauda,Galbula ruficauda melanogenia,Galbula ruficauda [ruficauda Group],Galbula ruficauda rufoviridis/heterogyna
82450ffffffffff,2.0,0.0,0.0,0.0
824527fffffffff,1267.0,4.0,0.0,0.0
82452ffffffffff,7587.0,237.0,0.0,0.0
824537fffffffff,297.0,0.0,0.0,0.0
825f0ffffffffff,2.0,0.0,0.0,0.0
825f2ffffffffff,114.0,0.0,0.0,0.0
825f47fffffffff,3.0,0.0,0.0,0.0
825f4ffffffffff,107.0,0.0,0.0,0.0
825f5ffffffffff,1716.0,0.0,54.0,0.0
825f6ffffffffff,7.0,0.0,0.0,0.0
826607fffffffff,941.0,0.0,0.0,0.0
82660ffffffffff,546.0,0.0,6.0,0.0
826617fffffffff,1430.0,73.0,0.0,0.0
82661ffffffffff,911.0,1.0,18.0,0.0
826627fffffffff,3469.0,0.0,395.0,0.0
82662ffffffffff,226.0,0.0,0.0,0.0
826637fffffffff,498.0,0.0,1.0,0.0
826647fffffffff,11.0,0.0,0.0,0.0
826657fffffffff,318.0,0.0,0.0,0.0
826667fffffffff,63.0,0.0,0.0,0.0
826677fffffffff,432.0,0.0,2.0,0.0
8266a7fffffffff,30.0,4.0,0.0,0.0
8266b7fffffffff,2273.0,2.0,0.0,0.0
8266c7fffffffff,314.0,0.0,6.0,0.0
8266d7fffffffff,722.0,56.0,0.0,0.0
8266e7fffffffff,2272.0,0.0,21.0,0.0
8266f7fffffffff,1319.0,22.0,0.0,0.0
826747fffffffff,981.0,0.0,25.0,0.0
82674ffffffffff,2663.0,0.0,45.0,0.0
826757fffffffff,888.0,0.0,7.0,0.0
82675ffffffffff,916.0,0.0,8.0,0.0
826797fffffffff,41.0,0.0,0.0,0.0
82679ffffffffff,75.0,0.0,0.0,0.0
826d27fffffffff,123.0,9.0,0.0,0.0
826d2ffffffffff,431.0,106.0,0.0,0.0
826d37fffffffff,34.0,9.0,0.0,0.0
826d67fffffffff,127.0,0.0,0.0,0.0
826d6ffffffffff,11639.0,0.0,0.0,0.0
828007fffffffff,21.0,0.0,0.0,2.0
82800ffffffffff,10.0,0.0,0.0,0.0
828017fffffffff,200.0,0.0,0.0,5.0
82802ffffffffff,2.0,0.0,0.0,0.0
828037fffffffff,185.0,0.0,0.0,6.0
828047fffffffff,3.0,0.0,0.0,0.0
828057fffffffff,3.0,0.0,0.0,0.0
828067fffffffff,30.0,0.0,0.0,0.0
828077fffffffff,12.0,0.0,0.0,0.0
828107fffffffff,175.0,0.0,0.0,8.0
82810ffffffffff,7.0,0.0,0.0,0.0
828117fffffffff,61.0,0.0,0.0,3.0
82811ffffffffff,7.0,0.0,0.0,0.0
828127fffffffff,223.0,0.0,0.0,20.0
82812ffffffffff,46.0,0.0,0.0,0.0
828137fffffffff,203.0,0.0,0.0,14.0
828147fffffffff,212.0,0.0,0.0,0.0
82814ffffffffff,216.0,0.0,0.0,0.0
828157fffffffff,2.0,0.0,0.0,0.0
82815ffffffffff,51.0,0.0,0.0,0.0
828167fffffffff,170.0,0.0,0.0,0.0
828177fffffffff,286.0,0.0,0.0,0.0
828187fffffffff,635.0,0.0,0.0,36.0
82818ffffffffff,55.0,0.0,0.0,0.0
