cell_id,Anthracothorax nigricollis,Anthracothorax nigricollis nigricollis,Anthracothorax nigricollis iridescens
825f07fffffffff,1.0,1.0,0.0
825f5ffffffffff,11.0,0.0,0.0
826617fffffffff,35.0,0.0,0.0
82661ffffffffff,7.0,0.0,0.0
8266a7fffffffff,85.0,0.0,0.0
8266b7fffffffff,1.0,0.0,0.0
8266d7fffffffff,7.0,0.0,2.0
8266dffffffffff,48.0,0.0,0.0
8266e7fffffffff,12.0,0.0,0.0
8266effffffffff,1.0,0.0,0.0
82674ffffffffff,95.0,0.0,0.0
82679ffffffffff,4.0,0.0,0.0
828b0ffffffffff,1.0,0.0,0.0
828b27fffffffff,1.0,0.0,0.0
828b67fffffffff,1.0,1.0,0.0
828f2ffffffffff,2.0,0.0,2.0
828f77fffffffff,21.0,0.0,0.0
82a92ffffffffff,3.0,0.0,0.0
82a947fffffffff,10.0,0.0,0.0
82a94ffffffffff,2.0,0.0,0.0
82a957fffffffff,33.0,0.0,0.0
82a967fffffffff,2.0,0.0,0.0
82b24ffffffffff,4.0,0.0,0.0
82c2f7fffffffff,20.0,0.0,0.0
