cell_id,Spatula cyanoptera,Spatula cyanoptera septentrionalium,Spatula cyanoptera [orinoma Group],Spatula cyanoptera cyanoptera
831218fffffffff,8.0,0.0,0.0,0.0
831219fffffffff,2.0,0.0,0.0,0.0
831250fffffffff,2.0,0.0,0.0,0.0
831251fffffffff,12.0,0.0,0.0,0.0
831253fffffffff,23.0,0.0,0.0,0.0
831259fffffffff,1.0,0.0,0.0,0.0
83125afffffffff,4.0,0.0,0.0,0.0
831280fffffffff,2.0,0.0,0.0,0.0
831284fffffffff,6.0,0.0,0.0,0.0
831288fffffffff,11.0,0.0,0.0,0.0
831289fffffffff,108.0,0.0,0.0,0.0
83128afffffffff,2.0,0.0,0.0,0.0
83128dfffffffff,6.0,0.0,0.0,0.0
83128efffffffff,2.0,0.0,0.0,0.0
8312a3fffffffff,5.0,0.0,0.0,0.0
8312aafffffffff,3.0,0.0,0.0,0.0
8312abfffffffff,5.0,0.0,0.0,0.0
8312adfffffffff,2.0,0.0,0.0,0.0
8312c0fffffffff,28.0,0.0,0.0,0.0
8312c1fffffffff,290.0,0.0,0.0,0.0
8312c2fffffffff,73.0,0.0,0.0,0.0
8312c3fffffffff,160.0,0.0,0.0,0.0
8312c8fffffffff,260.0,0.0,0.0,0.0
8312c9fffffffff,317.0,0.0,0.0,0.0
8312cafffffffff,84.0,0.0,0.0,0.0
8312cbfffffffff,87.0,0.0,0.0,0.0
8312ccfffffffff,3784.0,0.0,0.0,0.0
8312cdfffffffff,339.0,0.0,0.0,0.0
8312cefffffffff,17.0,0.0,0.0,0.0
8312d0fffffffff,350.0,0.0,0.0,0.0
8312d1fffffffff,868.0,0.0,0.0,0.0
8312d3fffffffff,199.0,0.0,0.0,0.0
8312d4fffffffff,36.0,0.0,0.0,0.0
8312d5fffffffff,12.0,0.0,0.0,0.0
8312d6fffffffff,81.0,0.0,0.0,0.0
8312d8fffffffff,167.0,0.0,0.0,0.0
8312d9fffffffff,199.0,0.0,0.0,0.0
8312dafffffffff,146.0,0.0,0.0,0.0
8312dbfffffffff,884.0,0.0,0.0,0.0
8312dcfffffffff,140.0,0.0,0.0,0.0
8312ddfffffffff,1523.0,0.0,0.0,0.0
8312defffffffff,781.0,0.0,0.0,0.0
8312e1fffffffff,69.0,0.0,0.0,0.0
8312e2fffffffff,1.0,0.0,0.0,0.0
8312e3fffffffff,3.0,0.0,0.0,0.0
8312e4fffffffff,2.0,0.0,0.0,0.0
8312e8fffffffff,31.0,0.0,0.0,0.0
8312e9fffffffff,8.0,0.0,0.0,0.0
8312eafffffffff,396.0,0.0,0.0,0.0
8312ebfffffffff,75.0,0.0,0.0,0.0
8312ecfffffffff,286.0,0.0,0.0,0.0
8312edfffffffff,6.0,0.0,0.0,0.0
8312eefffffffff,17.0,0.0,0.0,0.0
8312f0fffffffff,9.0,0.0,0.0,0.0
8312f1fffffffff,31.0,0.0,0.0,0.0
8312f2fffffffff,2.0,0.0,0.0,0.0
8312f6fffffffff,119.0,0.0,0.0,0.0
832600fffffffff,4.0,0.0,0.0,0.0
