cell_id,Microspingus torquatus,Microspingus torquatus torquatus,Microspingus torquatus pectoralis
848b203ffffffff,2.0,1.0,0.0
848b20bffffffff,7.0,0.0,4.0
848b2c9ffffffff,1.0,0.0,0.0
848b2d9ffffffff,2.0,0.0,0.0
84a9411ffffffff,1.0,0.0,0.0
84a96d3ffffffff,1.0,0.0,0.0
84b2413ffffffff,1.0,0.0,1.0
84b2441ffffffff,4.0,0.0,0.0
84b2463ffffffff,1.0,0.0,0.0
84b248bffffffff,6.0,0.0,0.0
84b24c7ffffffff,1.0,0.0,0.0
84b24d1ffffffff,5.0,0.0,0.0
84b24d9ffffffff,1.0,0.0,0.0
84b24dbffffffff,3.0,0.0,0.0
84b2613ffffffff,3.0,0.0,0.0
84b26bdffffffff,5.0,0.0,0.0
84b26c3ffffffff,3.0,0.0,0.0
84b270dffffffff,2.0,0.0,0.0
84b2e91ffffffff,5.0,0.0,0.0
84b32c9ffffffff,2.0,0.0,0.0
84b32dbffffffff,1.0,0.0,1.0
84b3405ffffffff,1.0,0.0,0.0
84b3429ffffffff,1.0,0.0,0.0
84b342bffffffff,2.0,0.0,0.0
84b343dffffffff,2.0,0.0,0.0
84b35abffffffff,2.0,0.0,0.0
84c2c99ffffffff,3.0,0.0,0.0
84c2cd3ffffffff,14.0,0.0,0.0
84c3501ffffffff,2.0,0.0,0.0
84c3507ffffffff,3.0,0.0,0.0
84c350dffffffff,1.0,0.0,0.0
84c3569ffffffff,2.0,0.0,0.0
84c356bffffffff,9.0,0.0,0.0
84c35c5ffffffff,2.0,0.0,0.0
